feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7898609,PLA2G5,gene_assignment,True
7898616,PLA2G2F,gene_assignment,True
7898623,UBXN10,gene_assignment,True
7898627,VWA5B1,gene_assignment,True
7898653,FAM43B,gene_assignment,True
7898655,CDA,gene_assignment,True
7898663,PINK1,gene_assignment,True
7898673,,,False
7898677,HS6ST1,gene_assignment,True
7898679,NBPF3,gene_assignment,True
7898693,ALPL,gene_assignment,True
7898707,LDLRAD2,gene_assignment,True
7898713,CELA3B,gene_assignment,True
7898721,,,False
7898723,,,False
7898725,CELA3A,gene_assignment,True
7898732,,,False
7898734,,,False
7898736,HSPC157,gene_assignment,True
7898739,CDC42,gene_assignment,True
7898750,ZBTB40,gene_assignment,True
7898773,EPHA8,gene_assignment,True
7898793,C1QA,gene_assignment,True
7898799,C1QC,gene_assignment,True
7898805,C1QB,gene_assignment,True
7898809,EPHB2,gene_assignment,True
7898833,KDM1A,gene_assignment,True
7898854,,,False
7898858,C1ORF213,gene_assignment,True
7898869,MDS2,gene_assignment,True
7898875,RPL11,gene_assignment,True
7898881,TCEB3,gene_assignment,True
7898894,C1ORF128,gene_assignment,True
7898902,LYPLA2,gene_assignment,True
7898910,PNRC2,gene_assignment,True
7898916,GRHL3,gene_assignment,True
7898939,NIPAL3,gene_assignment,True
7898957,RCAN3,gene_assignment,True
7898967,C1ORF130,gene_assignment,True
7898975,SRRM1,gene_assignment,True
7898988,CLIC4,gene_assignment,True
7898998,RHD,gene_assignment,True
7899005,TMEM50A,gene_assignment,True
7899016,SDHD,gene_assignment,True
7899018,TMEM57,gene_assignment,True
7899023,LDLRAP1,gene_assignment,True
7899029,MAN1C1,gene_assignment,True
7899043,SEPN1,gene_assignment,True
7899057,FAM54B,gene_assignment,True
7899069,,,False
7899071,,,False
7899073,,,False
7899075,EXTL1,gene_assignment,True
7899087,PDIK1L,gene_assignment,True
7899093,GRRP1,gene_assignment,True
7899096,ZNF593,gene_assignment,True
7899101,CNKSR1,gene_assignment,True
7899124,CATSPER4,gene_assignment,True
7899134,CCDC21,gene_assignment,True
7899153,SH3BGRL3,gene_assignment,True
7899160,CD52,gene_assignment,True
7899167,LIN28A,gene_assignment,True
7899173,DHDDS,gene_assignment,True
7899187,HMGN2,gene_assignment,True
7899192,RPS6KA1,gene_assignment,True
7899220,ARID1A,gene_assignment,True
7899244,PIGV,gene_assignment,True
7899251,,,False
7899253,ZDHHC18,gene_assignment,True
7899265,SFN,gene_assignment,True
7899273,NUDC,gene_assignment,True
7899284,TRNP1,gene_assignment,True
7899287,,,False
7899289,WDTC1,gene_assignment,True
7899310,TMEM222,gene_assignment,True
7899323,SYTL1,gene_assignment,True
7899343,GPR3,gene_assignment,True
7899346,CCDC72,gene_assignment,True
7899348,,,False
7899350,FAM76A,gene_assignment,True
7899361,STX12,gene_assignment,True
7899375,,,False
7899377,PPP1R8,gene_assignment,True
7899392,SCARNA1,gene_assignment,True
7899394,C1ORF38,gene_assignment,True
7899407,SMPDL3B,gene_assignment,True
7899417,XKR8,gene_assignment,True
7899422,,,False
7899424,ATPIF1,gene_assignment,True
7899436,SESN2,gene_assignment,True
7899448,MED18,gene_assignment,True
7899455,PHACTR4,gene_assignment,True
7899462,RCC1,gene_assignment,True
7899480,SNORA73A,gene_assignment,True
7899484,,,False
7899486,TRNAU1AP,gene_assignment,True
7899499,RAB42,gene_assignment,True
7899502,RNU11,gene_assignment,True
7899504,GMEB1,gene_assignment,True
7899517,,,False
7899519,YTHDF2,gene_assignment,True
7899528,OPRD1,gene_assignment,True
7899534,EPB41,gene_assignment,True
7899560,,,False
7899562,PTPRU,gene_assignment,True
7899595,MATN1,gene_assignment,True
7899600,,,False
7899602,PRO0611,gene_assignment,True
7899604,ZCCHC17,gene_assignment,True
7899615,SERINC2,gene_assignment,True
7899627,TINAGL1,gene_assignment,True
7899643,HCRTR1,gene_assignment,True
7899654,KHDRBS1,gene_assignment,True
7899675,TMEM39B,gene_assignment,True
7899688,KPNA6,gene_assignment,True
7899703,TXLNA,gene_assignment,True
7899719,CCDC28B,gene_assignment,True
7899727,IQCC,gene_assignment,True
7899737,EIF3I,gene_assignment,True
7899750,FAM167B,gene_assignment,True
7899753,LCK,gene_assignment,True
7899774,HDAC1,gene_assignment,True
