feature_id,missing_n,mean_expression,sd_expression
7A5,0,5.975353037813792,0.1224775084477048
A1BG,0,6.217095601248274,0.10769525259325659
A1CF,0,6.108813450572416,0.08645013938047316
A26A1,0,6.064079419399998,0.10782951185006026
A26B1,0,6.036981512958623,0.14993460609716666
A26C1B,0,6.145106782931036,0.12316788802683767
A26C3,0,6.177860507510345,0.08492128561277902
A2BP1,0,6.932652954565517,0.26436386758553587
A2M,0,10.843445500586206,0.45723780883660564
A2ML1,0,5.970533134731036,0.13340516117756684
A3GALT2,0,5.989230817455176,0.1063629914466799
A4GALT,0,8.775687938075862,0.5178396197075187
A4GNT,0,6.037934322172412,0.2144004413669546
AAA1,0,6.084934627165517,0.07108713788883966
AAAS,0,6.880830553517238,0.17391484685558004
AACS,0,7.424180607737927,0.20272428496426623
AACSL,0,6.260631164082756,0.16356930277188683
AADAC,0,6.073549531910344,0.14077082349518621
AADACL1,0,8.785461450620689,0.35778001214449073
AADACL2,0,6.0630727445517225,0.11977253180694018
AADACL3,0,6.029658548565514,0.11440108019599667
AADACL4,0,6.009242450186206,0.18990589403974178
AADAT,0,6.23387396113793,0.07989332634968772
AAK1,0,7.0172969392275855,0.26123822057163476
AAMP,0,7.34035443967586,0.2815525124171124
AANAT,0,5.917709032158617,0.13495932236270414
AARS,0,10.957090709517244,0.2649958705554376
AARS2,0,8.021701700413795,0.2781947355416462
AARSD1,0,8.524333151758618,0.2736773695198794
AASDH,0,7.311213015648278,0.21472329167172213
AASDHPPT,0,8.378848029786207,0.3113812048953278
AASS,0,7.43018988627586,0.2746676690780415
AATF,0,8.342084563510353,0.3277812984085204
AATK,0,6.200842052448279,0.09120453116034354
ABAT,0,6.317196294675858,0.2137901513747794
ABCA1,0,9.011111863889653,0.4510716384830809
ABCA10,0,6.458040423448278,0.23876805431074305
ABCA11,0,6.4747944119931,0.1776394506966169
ABCA12,0,6.138866685358616,0.12325515694928758
ABCA13,0,5.991995591282757,0.15441658291698473
ABCA2,0,6.451332938379309,0.20311451553748405
ABCA3,0,7.0975101295862055,0.2788299665712367
ABCA4,0,6.433252098799998,0.21809812877984508
ABCA5,0,6.3586391865793095,0.1427571663974692
ABCA6,0,7.581030393413795,0.29066900525827105
ABCA7,0,6.134894323400001,0.10423788965819246
ABCA8,0,8.944649082420687,0.4500179940039583
ABCA9,0,7.10469011064138,0.31593196455964156
ABCB1,0,6.494097689055173,0.18438801579929165
ABCB10,0,7.58768797326207,0.27552953383472334
ABCB11,0,6.1728090248137955,0.1292660671525066
ABCB4,0,6.84852403466207,0.2580934766543878
ABCB5,0,5.883988189406896,0.15011980117478216
ABCB6,0,7.704310591220689,0.24070730505094326
ABCB7,0,9.007257342344827,0.3328613189413371
ABCB8,0,6.180904839517243,0.16784172389073032
ABCB9,0,6.896034725820689,0.22398471047362195
ABCC1,0,6.2556148190137915,0.12321976794882751
ABCC10,0,6.465225933096554,0.20804618543827605
ABCC11,0,6.105744819551724,0.08139805694254565
ABCC12,0,6.530237456234481,0.16613401741719402
ABCC13,0,6.197744833193102,0.0766182544454695
ABCC2,0,6.151753235696549,0.1493399765958499
ABCC3,0,6.22154894284138,0.18962880606531313
ABCC4,0,6.5436933425655175,0.21864072350555958
ABCC5,0,8.425704731372413,0.36516579962905654
ABCC6,0,6.089249248882757,0.0742697165373947
ABCC8,0,6.94522633551724,0.39218759289976574
ABCC9,0,6.746283077455173,0.1782827444855945
ABCD1,0,6.916327115965519,0.22434529464311723
ABCD2,0,6.047191882682758,0.09219891958797206
ABCD3,0,7.664725339972413,0.2657878077015429
ABCD4,0,6.135292077875862,0.07654064227773892
ABCE1,0,8.025198538993104,0.29242479298338736
ABCF1,0,9.141698641903448,0.27591426173961253
ABCF2,0,7.169876300855166,0.2181491919100153
ABCF3,0,7.159927770151724,0.22913690803871387
ABCG1,0,6.568833933593103,0.2199915686561743
ABCG2,0,6.147843352682758,0.1783062469874344
ABCG4,0,6.452815779296551,0.18073334935131666
ABCG5,0,6.601390949875864,0.16097507800396738
ABCG8,0,6.053808519531034,0.12482786276399785
ABHD1,0,6.951790191648276,0.2785370668166774
ABHD10,0,8.139280874896553,0.37055922316777834
ABHD11,0,7.0425143215103425,0.25950171784253573
ABHD12,0,7.4079215024,0.21436502070497868
