gse_id,level,gsm_id,file_url_or_value
GSE36961,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36961/suppl/GSE36961_non-normalized.txt.gz
GSE36961,sample,GSM907203,NONE
GSE36961,sample,GSM907204,NONE
GSE36961,sample,GSM907205,NONE
GSE36961,sample,GSM907206,NONE
GSE36961,sample,GSM907207,NONE
GSE36961,sample,GSM907208,NONE
GSE36961,sample,GSM907209,NONE
GSE36961,sample,GSM907210,NONE
GSE36961,sample,GSM907211,NONE
GSE36961,sample,GSM907212,NONE
GSE36961,sample,GSM907213,NONE
GSE36961,sample,GSM907214,NONE
GSE36961,sample,GSM907215,NONE
GSE36961,sample,GSM907216,NONE
GSE36961,sample,GSM907217,NONE
GSE36961,sample,GSM907218,NONE
GSE36961,sample,GSM907219,NONE
GSE36961,sample,GSM907220,NONE
GSE36961,sample,GSM907221,NONE
GSE36961,sample,GSM907222,NONE
GSE36961,sample,GSM907223,NONE
GSE36961,sample,GSM907224,NONE
GSE36961,sample,GSM907225,NONE
GSE36961,sample,GSM907226,NONE
GSE36961,sample,GSM907227,NONE
GSE36961,sample,GSM907228,NONE
GSE36961,sample,GSM907229,NONE
GSE36961,sample,GSM907230,NONE
GSE36961,sample,GSM907231,NONE
GSE36961,sample,GSM907232,NONE
GSE36961,sample,GSM907233,NONE
GSE36961,sample,GSM907234,NONE
GSE36961,sample,GSM907235,NONE
GSE36961,sample,GSM907236,NONE
GSE36961,sample,GSM907237,NONE
GSE36961,sample,GSM907238,NONE
GSE36961,sample,GSM907239,NONE
GSE36961,sample,GSM907240,NONE
GSE36961,sample,GSM907241,NONE
GSE36961,sample,GSM907242,NONE
GSE36961,sample,GSM907243,NONE
GSE36961,sample,GSM907244,NONE
GSE36961,sample,GSM907245,NONE
GSE36961,sample,GSM907246,NONE
GSE36961,sample,GSM907247,NONE
GSE36961,sample,GSM907248,NONE
GSE36961,sample,GSM907249,NONE
GSE36961,sample,GSM907250,NONE
GSE36961,sample,GSM907251,NONE
GSE36961,sample,GSM907252,NONE
GSE36961,sample,GSM907253,NONE
GSE36961,sample,GSM907254,NONE
GSE36961,sample,GSM907255,NONE
GSE36961,sample,GSM907256,NONE
GSE36961,sample,GSM907257,NONE
GSE36961,sample,GSM907258,NONE
GSE36961,sample,GSM907259,NONE
GSE36961,sample,GSM907260,NONE
GSE36961,sample,GSM907261,NONE
GSE36961,sample,GSM907262,NONE
GSE36961,sample,GSM907263,NONE
GSE36961,sample,GSM907264,NONE
GSE36961,sample,GSM907265,NONE
GSE36961,sample,GSM907266,NONE
GSE36961,sample,GSM907267,NONE
GSE36961,sample,GSM907268,NONE
GSE36961,sample,GSM907269,NONE
GSE36961,sample,GSM907270,NONE
GSE36961,sample,GSM907271,NONE
GSE36961,sample,GSM907272,NONE
GSE36961,sample,GSM907273,NONE
GSE36961,sample,GSM907274,NONE
GSE36961,sample,GSM907275,NONE
GSE36961,sample,GSM907276,NONE
GSE36961,sample,GSM907277,NONE
GSE36961,sample,GSM907278,NONE
GSE36961,sample,GSM907279,NONE
GSE36961,sample,GSM907280,NONE
GSE36961,sample,GSM907281,NONE
GSE36961,sample,GSM907282,NONE
GSE36961,sample,GSM907283,NONE
GSE36961,sample,GSM907284,NONE
GSE36961,sample,GSM907285,NONE
GSE36961,sample,GSM907286,NONE
GSE36961,sample,GSM907287,NONE
GSE36961,sample,GSM907288,NONE
GSE36961,sample,GSM907289,NONE
GSE36961,sample,GSM907290,NONE
GSE36961,sample,GSM907291,NONE
GSE36961,sample,GSM907292,NONE
GSE36961,sample,GSM907293,NONE
GSE36961,sample,GSM907294,NONE
GSE36961,sample,GSM907295,NONE
GSE36961,sample,GSM907296,NONE
GSE36961,sample,GSM907297,NONE
GSE36961,sample,GSM907298,NONE
GSE36961,sample,GSM907299,NONE
GSE36961,sample,GSM907300,NONE
GSE36961,sample,GSM907301,NONE
GSE36961,sample,GSM907302,NONE
GSE36961,sample,GSM907303,NONE
GSE36961,sample,GSM907304,NONE
GSE36961,sample,GSM907305,NONE
GSE36961,sample,GSM907306,NONE
GSE36961,sample,GSM907307,NONE
GSE36961,sample,GSM907308,NONE
GSE36961,sample,GSM907309,NONE
GSE36961,sample,GSM907310,NONE
GSE36961,sample,GSM907311,NONE
GSE36961,sample,GSM907312,NONE
GSE36961,sample,GSM907313,NONE
GSE36961,sample,GSM907314,NONE
GSE36961,sample,GSM907315,NONE
GSE36961,sample,GSM907316,NONE
GSE36961,sample,GSM907317,NONE
GSE36961,sample,GSM907318,NONE
GSE36961,sample,GSM907319,NONE
GSE36961,sample,GSM907320,NONE
GSE36961,sample,GSM907321,NONE
GSE36961,sample,GSM907322,NONE
GSE36961,sample,GSM907323,NONE
GSE36961,sample,GSM907324,NONE
GSE36961,sample,GSM907325,NONE
GSE36961,sample,GSM907326,NONE
GSE36961,sample,GSM907327,NONE
GSE36961,sample,GSM907328,NONE
GSE36961,sample,GSM907329,NONE
GSE36961,sample,GSM907330,NONE
GSE36961,sample,GSM907331,NONE
GSE36961,sample,GSM907332,NONE
GSE36961,sample,GSM907333,NONE
GSE36961,sample,GSM907334,NONE
GSE36961,sample,GSM907335,NONE
GSE36961,sample,GSM907336,NONE
GSE36961,sample,GSM907337,NONE
GSE36961,sample,GSM907338,NONE
GSE36961,sample,GSM907339,NONE
GSE36961,sample,GSM907340,NONE
GSE36961,sample,GSM907341,NONE
GSE36961,sample,GSM907342,NONE
GSE36961,sample,GSM907343,NONE
GSE36961,sample,GSM907344,NONE
GSE36961,sample,GSM907345,NONE
GSE36961,sample,GSM907346,NONE
GSE36961,sample,GSM907347,NONE
GSE249925,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249925/suppl/GSE249925_20231208-For-GEO-Raw-Counts.tsv.gz
GSE249925,sample,GSM7967163,NONE
GSE249925,sample,GSM7967164,NONE
GSE249925,sample,GSM7967165,NONE
GSE249925,sample,GSM7967166,NONE
GSE249925,sample,GSM7967167,NONE
GSE249925,sample,GSM7967168,NONE
GSE249925,sample,GSM7967169,NONE
GSE249925,sample,GSM7967170,NONE
GSE249925,sample,GSM7967171,NONE
GSE249925,sample,GSM7967172,NONE
GSE249925,sample,GSM7967173,NONE
GSE249925,sample,GSM7967174,NONE
GSE249925,sample,GSM7967175,NONE
GSE249925,sample,GSM7967176,NONE
GSE249925,sample,GSM7967177,NONE
GSE249925,sample,GSM7967178,NONE
GSE249925,sample,GSM7967179,NONE
GSE249925,sample,GSM7967180,NONE
GSE249925,sample,GSM7967181,NONE
GSE249925,sample,GSM7967182,NONE
GSE249925,sample,GSM7967183,NONE
GSE249925,sample,GSM7967184,NONE
