Unnamed: 0,C00039
ENSG00000000003,11.5153174780371
ENSG00000000005,4.13854090615415
ENSG00000000419,13.2538447123063
ENSG00000000457,11.6094031055679
ENSG00000000460,9.68079895592107
ENSG00000000938,11.0950622694873
ENSG00000000971,14.3914428266044
ENSG00000001036,13.3973424628657
ENSG00000001084,13.2297117961821
ENSG00000001167,12.4810600958148
ENSG00000001460,10.3902599987601
ENSG00000001461,12.8003190039261
ENSG00000001497,12.7773388061058
ENSG00000001561,14.2373625695636
ENSG00000001617,12.2750194245033
ENSG00000001626,6.94589582821175
ENSG00000001629,13.2286533258184
ENSG00000001631,13.2765566596417
ENSG00000002016,11.4550487252573
ENSG00000002330,9.93035497731598
