gene_symbol,disease_group,stratum,n_hcm_cohorts_available,cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,equal_weight_composite,equal_weight_tier_same_thresholds,direction_vote_score,consensus_direction,fisher_combined_p,fisher_minus_log10_p,stouffer_signed_z,stouffer_combined_p,stouffer_minus_log10_p,random_effect_log2FC,random_effect_SE,random_effect_z,random_effect_p,random_effect_minus_log10_p,tau2,I2_percent,rank_original_MCI,rank_equal_weight,rank_direction_vote,rank_fisher,rank_stouffer,rank_random_effects,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,benchmark_n_cohorts,benchmark_cohorts,n_up_cohorts,n_down_cohorts,n_zero_cohorts,fisher_statistic,Q,heldout_matched,heldout_validated_strict,heldout_validated_directional,heldout_same_direction_as_primary,heldout_FDR_lt_0_05,heldout_nominal_p_lt_0_05,heldout_log2FC,heldout_FDR,heldout_p_value,catalog_hcm_gwas_match,gwas_matched,gwas_nominal_p_lt_0_05,gwas_FDR_lt_0_05,gwas_genomewide_p_lt_5e_8,gwas_p_value,minus_log10_gwas_p,gwas_top_decile_signal,top18__original_mci,top18__equal_weight_composite,top18__direction_vote,top18__fisher_combined_significance,top18__signed_stouffer_significance,top18__random_effects_meta_analysis
SLC25A4,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.3218266939627278,0.3333333333333333,0.5959726762202882,MODERATE,0.551720009098687,MODERATE,1.0,DOWN,0.0301309422332229,1.5209872871686243,-2.227790106247669,0.0258945149258198,1.586792220078136,-0.077452166178045,0.0603330288412096,-1.2837440398010054,0.1992315295841717,0.7006419307674615,0.0075233822408188,69.38039611646971,23.0,23.0,13.5,36.0,34.0,26.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.0842482689144887,0.114269854115312,0.0076632974898595,1,3,GSE141910;GSE249925;GSE36961,0,3,0,13.956053450370016,6.531763139743825,True,False,True,True,False,True,-5.568109358177128,0.0837533006647612,0.023838170266826,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
PRKAG2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.2872977260326324,0.3333333333333333,0.5838875374447547,MODERATE,0.5402103531219885,MODERATE,1.0,DOWN,8.321712601143267e-05,4.079787287088238,-3.2264794937776244,0.0012532321188347,2.9019684832014963,-0.1325733373768892,0.107361582105489,-1.234830325494162,0.2168936585602487,0.6637531455079448,0.0299131522658205,86.87189206974327,24.0,24.0,13.5,26.0,26.0,28.0,ClinVar_PLP_review2plus,False,True,6,2.0,-0.1336291743048665,0.1904756327909202,1.5538981905361973e-05,1,3,GSE141910;GSE249925;GSE36961,0,3,0,28.279870681762496,15.234487792338614,True,False,True,True,False,True,-3.3280377058332453,0.0837533006647612,0.0227705697417678,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
TPM1,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.2420243390956957,0.3333333333333333,0.5680418520168269,MODERATE,0.5251192241430097,MODERATE,1.0,UP,0.1997408574783016,0.6995330900494787,1.489993829859625,0.1362258582982428,0.865740447119824,0.0516018759450701,0.0443892455333953,1.1624859878784928,0.2450381131283656,0.6107663603946517,0.0024613476353569,41.56881935147106,25.0,25.0,13.5,42.0,35.0,31.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,0.0476605372000985,0.0722510543665977,0.0313314330687925,1,3,GSE141910;GSE249925;GSE36961,3,0,0,8.56214765069042,3.422830033215069,True,False,False,False,False,True,-6.349668679246138,0.0841136615304652,0.0307245789675417,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
MT-TI,HCM,,2,GSE141910|GSE249925,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE,0.4704089063349581,MODERATE,1.0,DOWN,0.268101611262864,0.5717005759445057,-1.3271731133687754,0.1844514241727409,0.7341179871816892,-0.2085440933639765,0.170593016245337,-1.222465596505196,0.2215316062982291,0.6545643034739583,0.0102548435194625,17.610884723871894,26.0,26.0,13.5,44.0,36.0,29.0,ClinVar_PLP_review2plus,False,True,1,3.0,-0.2049254242782458,0.2413092288232419,0.1328220788472755,0,2,GSE141910;GSE249925,0,2,0,5.192585491748813,1.213752565066985,False,False,False,False,False,False,,,,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
PTPN11,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE,0.4603146081169169,MODERATE,0.6666666666666666,UP,1.1090026565733417e-22,21.955067413513813,7.216246740888416,5.344205175466886e-13,12.272116876718409,0.3444965322096843,0.2148479803914157,1.6034431954262331,0.1088368408743501,0.963224072650724,0.1267316329716562,92.47958299159032,27.0,27.0,36.5,5.0,7.0,21.0,ClinVar_PLP_review2plus,False,True,2,3.0,0.3337111709803695,0.4131719225570806,1.0519159325724516e-18,2,3,GSE141910;GSE249925;GSE36961,2,1,0,116.03234783534212,26.59426994225869,True,False,False,False,False,True,-4.068876039311244,0.0916368687431107,0.0414680595765009,False,True,False,False,False,1.0,-0.0,False,False,False,False,True,True,False
PLN,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.4130468243349183,UNSTABLE,0.4409969755570651,UNSTABLE,0.6666666666666666,UP,5.240438958441526e-07,6.280632333389464,3.835635835778051,0.0001252398635055,3.902257414376989,0.2549577895126015,0.1886334193122258,1.3516045589493113,0.176501851134572,0.7532507354131893,0.0932634744574945,88.74844197874351,28.0,28.0,36.5,21.0,24.0,25.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,0.2662414927797327,0.360495812616969,0.0002921462667866,2,3,GSE141910;GSE249925;GSE36961,2,1,0,39.69015527373187,17.775316060421087,True,False,False,False,False,True,-5.818243089347307,0.0837533006647612,0.0254953415918067,True,True,True,True,True,3e-10,9.522878745280336,True,False,False,False,False,False,False
LZTR1,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE,0.4393610164049051,UNSTABLE,0.6666666666666666,DOWN,1.0404555268927474e-06,5.982776478487293,-3.922350306469432,8.768937396197923e-05,4.057053030456923,-0.1934212419610728,0.132336922220481,-1.4615818375979888,0.1438558344434845,0.8420725194863709,0.0416677009405065,81.38730751550129,29.0,29.0,36.5,22.0,22.0,23.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.2034731979081104,0.2775036453680588,6.145025628838597e-05,2,3,GSE141910;GSE249925;GSE36961,1,2,0,38.170282248798536,10.745355631194514,True,False,True,True,False,False,-2.087534640554563,0.1094910155333299,0.0578166828018126,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
LMNA,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.2856824732441083,0.6666666666666666,0.3999888656354379,UNSTABLE,0.4285608244147028,UNSTABLE,0.6666666666666666,DOWN,2.1523480444964187e-21,20.667087499928297,-7.116868255908905,1.1040692520659849e-12,11.957003684897712,-0.3678817398911109,0.2134071548598805,-1.7238491377323113,0.0847350812968475,1.0719367495353609,0.1189620681641021,88.96058113492047,30.0,30.0,36.5,6.0,9.0,19.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,-0.3461623578906416,0.4945396786888619,2.5909063902644696e-16,2,3,GSE141910;GSE249925;GSE36961,1,2,0,109.88717503355429,18.116895684849023,True,False,True,True,False,True,-3.5967197207475508,0.0837533006647612,0.0275721222434565,False,True,False,False,False,1.0,-0.0,False,False,False,False,True,True,False
MYL2,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,UNSTABLE,0.4210880741952933,UNSTABLE,0.6666666666666666,UP,3.243823921618976e-12,11.488942727810036,4.605230306836676,4.120096276981991e-06,5.385092635405342,0.2534057679672928,0.229113549329325,1.106026984039475,0.2687148400365524,0.5707083485723451,0.1503856944612207,95.56292452436014,31.0,31.0,36.5,11.0,19.0,33.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,0.2541927489442626,0.3745457850129671,8.171591169210441e-11,2,3,GSE141910;GSE249925;GSE36961,2,1,0,65.60620187801993,45.07473472065708,True,False,False,False,False,False,-5.286939588333068,0.1241499686845994,0.0694295637732417,False,True,False,False,False,1.0,-0.0,False,False,False,False,True,False,False
MRPL44,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.2451500827547792,0.6666666666666666,0.3858025289641727,UNSTABLE,0.4150500275849264,UNSTABLE,0.6666666666666666,UP,0.0003142299582114,3.502752412339641,2.811477664896908,0.0049314514433582,2.3070252387211188,0.0770998395495961,0.0607970982522645,1.2681499901473394,0.2047443922438243,0.6887879843217053,0.008643187450136,78.13904438333601,32.0,32.0,36.5,28.0,30.0,27.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.0739280732903633,0.1116092000106587,0.0087221468856378,2,3,GSE141910;GSE249925;GSE36961,2,1,0,25.194775571308654,9.14873089296909,True,False,False,False,False,True,-2.54941386993924,0.0837533006647612,0.0232708320521547,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
PKP2,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.6666666666666666,0.3,UNSTABLE,0.3333333333333333,UNSTABLE,0.6666666666666666,UP,1.3675604510250112e-12,11.86405346721294,4.520175860228177,6.178828260219122e-06,5.209093875780033,0.2141018212143458,0.2169001267851906,0.987098644835666,0.3235942820643708,0.4899991610085641,0.1291425870872142,92.31418489617332,33.0,33.0,36.5,9.0,20.0,35.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.1993440246583064,0.4491018598370247,1.9796343058738784e-08,2,3,GSE141910;GSE249925;GSE36961,2,1,0,67.4406503459131,26.02196348705067,True,False,False,False,False,True,-4.8481891811440345,0.0837533006647612,0.0266916742059779,False,True,False,False,False,1.0,-0.0,False,False,False,False,True,False,False
MYH7,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,UNSTABLE,0.2947058304830491,UNSTABLE,0.6666666666666666,UP,3.2576373834373364e-05,4.487097259848499,2.8373365240484127,0.0045491635971748,2.342068444776392,0.2258690397120778,0.2057213494716537,1.0979367979656398,0.2722320882248294,0.5650606854602498,0.1141436566900724,90.27816642164262,34.0,34.0,36.5,25.0,27.0,34.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,0.2355887776832755,0.3687196073331015,3.624606772096488e-05,1,3,GSE141910;GSE249925;GSE36961,2,1,0,30.42873608085297,20.572250942994696,True,False,False,False,False,False,-7.053717615390776,0.1006085234647237,0.0503493969383597,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
TCAP,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.1612565056792368,0.3333333333333333,0.2731064436543995,UNSTABLE,0.2759743907819678,UNSTABLE,0.6666666666666666,DOWN,0.0002898250476913,3.5378640839992594,-2.7151962008093804,0.0066236516451094,2.178902516287332,-0.1867609764860689,0.154298929652251,-1.2103841349190088,0.2261315267723732,0.6456388850284498,0.0503757702597658,71.27165863641312,35.0,35.0,36.5,27.0,32.0,30.0,ClinVar_PLP_review2plus,False,True,7,2.0,-0.1583089692020477,0.2655612360216872,0.0002633843335537,1,3,GSE141910;GSE249925;GSE36961,1,2,0,25.384068673084904,6.961766343165902,True,False,True,True,False,True,-5.565805397594566,0.0837533006647612,0.029059857237632,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
ACTC1,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.2222222222222222,UNSTABLE,0.6666666666666666,DOWN,0.0333025610721205,1.4775223665921642,1.0715949192796257,0.2839020163829812,0.5468315229341909,0.0559534270605878,0.0961444615405213,0.5819724419279789,0.5605852435003638,0.2513583385249164,0.0214631790925009,77.70275393155589,37.5,37.5,36.5,37.0,39.0,42.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,0.0604673166477784,0.1753238669769115,0.0075797885381488,1,3,GSE141910;GSE249925;GSE36961,1,2,0,13.689584864616585,8.969717577950014,True,False,False,False,False,True,-6.342585148030696,0.0840881701720148,0.0304730332301435,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
COQ9,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.2222222222222222,UNSTABLE,0.6666666666666666,UP,0.0016594610584587,2.7800329344544736,-0.1064692795185702,0.9152100282336122,0.0384792298287386,-0.0207196819804852,0.1259276514047896,-0.1645363964891448,0.8693088969078939,0.0608258755821941,0.0412730423345431,86.9994396874933,37.5,37.5,36.5,30.0,46.0,46.0,ClinVar_PLP_review2plus,False,True,6,2.0,-0.0265839180286942,0.2309963018249076,0.0080675917319001,1,3,GSE141910;GSE249925;GSE36961,2,1,0,21.242290264016557,15.38395232147014,True,False,True,True,False,True,-3.482981691249456,0.0842286303952704,0.0312640961569188,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
MTO1,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.2222222222222222,UNSTABLE,0.6666666666666666,UP,0.0062008671319198,2.2075475743282995,-1.0964326850446615,0.272889466799836,0.5640132272432296,-0.0441560860033266,0.075417656678056,-0.5854873772042636,0.5582200517055285,0.2531945673660968,0.0143365757218278,84.85802997086732,37.5,37.5,36.5,32.0,37.0,41.0,ClinVar_PLP_review2plus,False,True,13,2.0,-0.0478947793058324,0.134115506288489,0.0032713764106017,1,3,GSE141910;GSE249925;GSE36961,2,1,0,18.012566619531,13.20832095263735,True,False,True,True,False,True,-2.367173361110884,0.0837533006647612,0.0177682401454784,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
NEXN,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.2222222222222222,UNSTABLE,0.6666666666666666,UP,7.989957693787462e-09,8.097455520235858,3.2319705092252997,0.0012293974327796,2.910307698105357,0.1253712688606373,0.1812365195792894,0.691755001429436,0.4890911998665842,0.3106101512939604,0.0866121256806239,89.85166623533377,37.5,37.5,36.5,16.0,25.0,38.0,ClinVar_PLP_review2plus,False,True,3,2.0,0.1231790161141297,0.2893329595762849,7.321173813635676e-08,1,3,GSE141910;GSE249925;GSE36961,2,1,0,48.84988026916949,19.707668730441835,True,False,False,False,False,True,-4.276316534930563,0.0924412894683414,0.0422097868211136,False,True,False,False,False,1.0,-0.0,False,False,False,False,True,False,False
TNNT2,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.231249053644304,0.0,0.2142705021088397,UNSTABLE,0.1881941289925457,UNSTABLE,0.6666666666666666,DOWN,0.2228612899524679,0.6519653600527398,-0.9790592814447034,0.3275506892335559,0.4847214823867807,-0.0340629947251637,0.0485235284713763,-0.7019892369380606,0.4826858756727311,0.3163354092963705,0.0032588868011984,45.67932834127305,40.0,40.0,36.5,43.0,40.0,37.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,-0.048889459351539,0.0751676362866279,0.233846544386933,0,3,GSE141910;GSE249925;GSE36961,1,2,0,8.213702950496991,3.6818395997846394,True,False,True,True,False,True,-6.278532090775323,0.0837533006647612,0.0263427928441633,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
CACNA1C,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,DOWN,0.0435146983116793,1.3613640231040147,-0.9648066896084098,0.3346416446581861,0.4754200140017159,-0.0548500488994202,0.090488718343954,-0.6061534509852525,0.5444128600001431,0.2640716245393591,0.0180044594458964,73.65722609598639,43.5,43.5,36.5,38.0,41.0,40.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.064335620706451,0.1475685016814658,0.0513617441302739,0,3,GSE141910;GSE249925;GSE36961,1,2,0,12.970008241468465,7.59221487944851,True,False,True,True,False,False,-3.3189109617740016,0.124184414352933,0.0694915666804739,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
DES,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,DOWN,0.1101650964881926,0.9579559808348254,-0.3456209674406414,0.7296275862675045,0.1368987542612385,-0.0288413738201992,0.0914310381711361,-0.315444015479901,0.7524245518468393,0.1235370417266071,0.0164140140750875,65.89474804821167,43.5,43.5,36.5,40.0,43.0,44.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.0473109209529854,0.1535557298408886,0.1301612926694358,0,3,GSE141910;GSE249925;GSE36961,1,2,0,10.363244856173711,5.864199457688301,True,False,True,True,False,True,-6.742163260204812,0.0837533006647612,0.0280884218729776,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
JPH2,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,UP,0.3414901213769163,0.4666218550675067,0.4864934096777841,0.6266173767972035,0.2029975658180238,0.0197723990487534,0.053518018718026,0.3694531210680575,0.7117900092609115,0.1476481120800049,0.003469722231595,37.5557819898831,43.5,43.5,36.5,45.0,42.0,43.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,0.0199939792573354,0.1194447619036121,0.1762792525917891,0,3,GSE141910;GSE249925;GSE36961,2,1,0,6.7818870031088565,3.202858589206722,True,False,False,False,False,False,-3.50602023220308,0.1067590335957047,0.0555559847939255,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
MYBPC3,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,UP,0.8301912226811947,0.080821862575512,0.0080485358458232,0.9935782668437904,0.0027979166572731,-0.0169012391020225,0.0569552719603438,-0.2967458238772054,0.7666605695079577,0.1153968725797809,0.0,0.0,43.5,43.5,36.5,47.0,47.0,45.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,0.0190331057431457,0.0641582785214783,0.698704809303921,0,3,GSE141910;GSE249925;GSE36961,2,1,0,2.827285392142265,0.714307282253129,True,False,False,False,False,False,-5.290151645378214,0.1038521709466827,0.0531751513191645,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
MYO6,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,UP,0.6886160151903383,0.1620228810970584,0.3255880118119237,0.7447360835778125,0.1279976034292425,0.0190368411338554,0.0268842744423308,0.7081032138208204,0.4788811639848782,0.3197722448916317,0.0,0.0,43.5,43.5,36.5,46.0,44.0,36.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.0005354183293971,0.052978628630767,0.6450664126415696,0,3,GSE141910;GSE249925;GSE36961,2,1,0,3.911763163027417,0.832742297001984,True,False,False,False,False,False,-1.87782655201404,0.1249353436389992,0.0700965911839764,False,True,False,False,False,1.0,-0.0,False,False,False,False,False,False,False
TTN,HCM,,3,GSE141910|GSE249925|GSE36961,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.1111111111111111,UNSTABLE,0.6666666666666666,UP,0.087367065956749,1.0586522489304462,-0.1066743903882859,0.9150473001631274,0.0385564560221837,-0.0165738165801879,0.1179846581234765,-0.1404743366111434,0.8882852278378827,0.0514475601378441,0.0279262601881671,68.97424265715613,43.5,43.5,36.5,39.0,45.0,47.0,ClinVar_PLP_review2plus,False,True,115,2.0,-0.0577673178640442,0.2803379728801225,0.0968923401853897,0,3,GSE141910;GSE249925;GSE36961,2,1,0,11.03282998737493,6.446256824287652,True,False,True,True,False,True,-8.423213614303718,0.0862508088552335,0.0354562326322814,True,True,True,True,False,7e-08,7.154901959985743,False,False,False,False,False,False,False
CEP85L,HCM,,2,GSE141910|GSE249925,0.0,0.0,0.0,0.0,UNSTABLE,0.0,UNSTABLE,0.5,TIE,0.1741446592573553,0.7590898401298133,-1.0930378489938142,0.2743771820570654,0.5616520085584067,-0.11009307703919,0.1610181834133107,-0.6837307110625932,0.4941452268733232,0.3061453952855904,0.0320418692142099,61.78451130247811,47.0,47.0,47.0,41.0,38.0,39.0,ClinVar_PLP_review2plus,False,True,2,2.0,-0.1119601171554263,0.2277294062193911,0.1268641692743559,0,2,GSE141910;GSE249925,1,1,0,6.355215432212066,2.6167400550992967,True,False,True,True,False,True,-2.661229474982066,0.0755053047038248,0.0066101418217533,True,True,True,True,True,6e-28,27.22184874961636,True,False,False,False,False,False,False
