gene_symbol,disease_group,stratum,n_hcm_cohorts_available,cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,equal_weight_composite,equal_weight_tier_same_thresholds,direction_vote_score,consensus_direction,fisher_combined_p,fisher_minus_log10_p,stouffer_signed_z,stouffer_combined_p,stouffer_minus_log10_p,random_effect_log2FC,random_effect_SE,random_effect_z,random_effect_p,random_effect_minus_log10_p,tau2,I2_percent,rank_original_MCI,rank_equal_weight,rank_direction_vote,rank_fisher,rank_stouffer,rank_random_effects,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,benchmark_n_cohorts,benchmark_cohorts,n_up_cohorts,n_down_cohorts,n_zero_cohorts,fisher_statistic,Q,heldout_matched,heldout_validated_strict,heldout_validated_directional,heldout_same_direction_as_primary,heldout_FDR_lt_0_05,heldout_nominal_p_lt_0_05,heldout_log2FC,heldout_FDR,heldout_p_value,catalog_hcm_gwas_match,gwas_matched,gwas_nominal_p_lt_0_05,gwas_FDR_lt_0_05,gwas_genomewide_p_lt_5e_8,gwas_p_value,minus_log10_gwas_p,gwas_top_decile_signal,top18__original_mci,top18__equal_weight_composite,top18__direction_vote,top18__fisher_combined_significance,top18__signed_stouffer_significance,top18__random_effects_meta_analysis
CAV3,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH,0.7778185160688889,HIGH,1.0,UP,2.693951865679612e-18,17.569610168322196,7.700113478080977,1.359454487639442e-14,13.866635327317312,0.4042735584366628,0.0986512380825072,4.098007955040031,4.167209628789953e-05,4.380154652089682,0.0191272346477746,67.61864865340719,11.0,10.0,13.5,8.0,6.0,6.0,ClinVar_PLP_review2plus,False,True,2,2.0,0.3610469164639351,0.2406096937029641,3.2513003854312975e-13,2,3,GSE141910;GSE249925;GSE36961,3,0,0,95.05408454848366,6.176394488892885,True,False,False,False,False,False,-1.9419938211998915,0.1042196737003151,0.0535637024114971,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
ALPK3,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH,0.7754975221972583,HIGH,1.0,UP,4.853842374693278e-06,5.313914331199888,4.760051162454934,1.9354389065612174e-06,5.713220532927872,0.2605860061332913,0.1269522067535076,2.0526307718246213,0.0401084007876932,1.396764653972635,0.040083886560761,84.36358937903152,12.0,11.0,13.5,23.0,18.0,16.0,ClinVar_PLP_review2plus,False,True,7,2.0,0.2724023418901936,0.1853284430215791,8.067123952508962e-05,2,3,GSE141910;GSE249925;GSE36961,3,0,0,34.733245752847445,12.79065924066994,True,False,False,False,False,False,-3.6562246414699286,0.1579989160818521,0.0949951184406675,True,True,True,True,True,1e-16,16.0,True,True,True,True,False,True,True
PMS2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH,0.7543626860100985,HIGH,1.0,UP,4.287607398964948e-07,6.367784988303421,4.94272988568469,7.70361840186193e-07,6.11330523809409,0.1365777355978423,0.0631293338442302,2.163459160441068,0.0305058815823497,1.5156164199154034,0.0077612253058093,66.83562851615936,13.0,13.0,13.5,20.0,16.0,13.0,ClinVar_PLP_review2plus,False,True,1,3.0,0.1370606832033087,0.1106295196518835,0.0001046892457475,2,3,GSE141910;GSE249925;GSE36961,3,0,0,40.13374796241504,6.030568078078916,True,False,False,False,False,True,-1.506813558593923,0.0859949314284396,0.0349677255080358,False,True,False,False,False,1.0,-0.0,False,True,True,True,False,True,True
TNNC1,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,HIGH,0.7223963267645283,HIGH,1.0,UP,0.0139409887758218,1.8557064224607889,2.827482499956534,0.0046915579620592,2.3286829137948013,0.1412065089870072,0.0432532833825999,3.264642541421777,0.0010960229969184,2.960180333324284,0.0,0.0,14.0,16.0,13.5,34.0,28.0,9.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.1299762378745638,0.0431896359044197,0.0197426142010275,1,3,GSE141910;GSE249925;GSE36961,3,0,0,15.96538176022873,0.2959142249294981,True,False,False,False,False,True,-5.635853337522305,0.0860920509495448,0.0352092762951951,False,True,False,False,False,1.0,-0.0,False,True,True,True,False,False,True
KIF5B,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,HIGH,0.7487536547126431,HIGH,1.0,UP,6.601199464634346e-11,10.180377144224442,5.638122486084168,1.7191421421104958e-08,7.764688213492051,0.3186177764772209,0.1720570802388379,1.8518143864520855,0.0640524810696214,1.1934640432186423,0.0784275822081072,89.64866463965225,15.0,14.0,13.5,13.0,13.0,18.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.321913670100112,0.2706686852640833,2.505756121928153e-09,2,3,GSE141910;GSE249925;GSE36961,3,0,0,59.1809669140113,19.32117867286267,True,False,False,False,False,True,-4.543384951316966,0.0841830796820982,0.0311121671925925,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
MYL3,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,HIGH,0.7326656266314254,HIGH,1.0,DOWN,2.5950062169654165e-08,7.585861597356741,-5.342733488774001,9.15553251958547e-08,7.038316390456596,-0.2975259030509956,0.1352875235466036,-2.199211688197577,0.0278628736290767,1.554974094771613,0.0436822116817917,80.94828003274363,16.0,15.0,13.5,18.0,14.0,12.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,-0.3041335448558479,0.2850764072358427,2.143243221901844e-05,2,3,GSE141910;GSE249925;GSE36961,0,3,0,46.28741229831883,10.49773985465533,True,False,True,True,False,True,-5.922349505622995,0.0837533006647612,0.0236109856065295,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
FLNC,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.4620526231156447,0.6666666666666666,0.7283850847571424,HIGH,0.7095730965941037,HIGH,1.0,DOWN,5.6383791221853037e-08,7.248845725708581,-5.077000676728858,3.834395073412687e-07,6.416303142015189,-0.4560254609712078,0.2358114309579857,-1.933856467935421,0.0531307777092922,1.2746538269966776,0.1397071793635113,85.01941054146829,17.0,17.0,13.5,19.0,15.0,17.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,-0.4688656469169615,0.5044500897403315,1.016185552118092e-05,2,3,GSE141910;GSE249925;GSE36961,0,3,0,44.592746365826784,13.350609503960236,True,False,True,True,False,False,-5.236199257941628,0.1126453938806542,0.0603803945185763,True,True,True,True,False,6e-07,6.221848749616356,False,True,True,True,False,True,True
MT-TL1,HCM,,2,GSE141910|GSE249925,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH,0.6749361176768915,MODERATE,1.0,DOWN,0.0124428326374352,1.905080740323012,-2.6972382687537584,0.0069917223112422,2.1554158288133034,-0.3595180718123937,0.2649273107982557,-1.357044204801405,0.1747671652195668,0.7575401581057027,0.1073131297148354,74.83173598583642,18.0,18.0,13.5,33.0,33.0,24.0,ClinVar_PLP_review2plus,False,True,1,3.0,-0.3984599964379101,0.378689723917444,0.0193693541020183,1,2,GSE141910;GSE249925,0,2,0,12.772455303234487,3.973257748080061,False,False,False,False,False,False,,,,False,True,False,False,False,1.0,-0.0,False,True,True,True,False,False,False
LAMP2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,MODERATE,0.6415974576372208,MODERATE,1.0,DOWN,0.0169814514832374,1.7700251913465157,-2.7558885372351543,0.0058532939818632,2.232599662884842,-0.1044132635692134,0.0658782728856098,-1.5849423337268618,0.1129794369162058,0.9470005940960098,0.0085630169864718,67.01561250927396,19.0,19.0,13.5,35.0,31.0,22.0,ClinVar_PLP_review2plus,False,True,6,2.0,-0.1173363951143119,0.0958734471048353,0.0135238106609304,1,3,GSE141910;GSE249925;GSE36961,0,3,0,15.457552468260833,6.063474728952675,True,False,True,True,False,True,-3.534737681698441,0.0837533006647612,0.0229251708748999,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
RAF1,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,MODERATE,0.6272034103026584,MODERATE,1.0,DOWN,2.456684841277063e-05,4.60965055392826,-4.426622740987338,9.57199259208204e-06,5.018997646165906,-0.1431245115064776,0.0668962480440274,-2.139499832819935,0.0323952094474637,1.4895192078290511,0.0105636169679636,80.46931232212962,20.0,20.0,13.5,24.0,21.0,14.0,ClinVar_PLP_review2plus,False,True,2,3.0,-0.1572348444042574,0.1420532234473193,0.0001988088629154,1,3,GSE141910;GSE249925;GSE36961,0,3,0,31.071307693882563,10.240294827233036,True,False,True,True,False,True,-3.905686494634677,0.0837533006647612,0.0224768202154755,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,True
SSUH2,HCM,,2,GSE141910|GSE249925,1.0,0.377569416027514,0.5,0.6571492956096299,MODERATE,0.6258564720091714,MODERATE,1.0,UP,8.17770220763439e-09,8.087368708398445,4.791192231899571,1.6579318521367907e-06,5.780433324720125,0.5670613613778634,0.5053937086540844,1.1220190351953656,0.2618543465296854,0.5819402128329901,0.4906291053238452,96.02335571645698,21.0,21.0,13.5,17.0,17.0,32.0,ClinVar_PLP_review2plus,False,True,1,2.0,0.5742054293823804,0.7148060414612941,1.4836386558915442e-08,1,2,GSE141910;GSE249925,2,0,0,43.49251030535755,25.14683056109419,True,False,False,False,False,False,-0.0578307041414128,0.5834343189287019,0.4608894305777726,False,True,False,False,False,1.0,-0.0,False,False,False,True,True,True,False
CSRP3,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.4566003702506983,0.3333333333333333,0.6431434629210778,MODERATE,0.5966445678613438,MODERATE,1.0,UP,0.0044003208732218,2.356515653425484,2.8216067646016074,0.0047783729252179,2.320719959013908,0.2000753342729106,0.1241657825767817,1.611356447169234,0.1071020541563262,0.9702021995677492,0.0315719620255672,68.30889781172306,22.0,22.0,13.5,31.0,29.0,20.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,0.2001976411705827,0.2175746481775564,0.0016196160006942,1,3,GSE141910;GSE249925;GSE36961,3,0,0,18.86358917699237,6.310919664825772,True,False,False,False,False,False,-4.611289918456734,0.1152132535893258,0.0624778990517432,False,True,False,False,False,1.0,-0.0,False,False,False,True,False,False,False
