gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
MRPL44,0.3858025289641727,UNSTABLE,32.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.2608025289641727,0.2608025289641727,6.5,6.5,True
PKP2,0.3,UNSTABLE,33.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.5,0.125,UNSTABLE,38.5,-0.175,0.175,5.5,5.5,True
MYH7,0.292774455340535,UNSTABLE,34.0,GSE36961,GSE141910;GSE249925,2,1.0,0.6008326325787603,0.5,0.7352914214025661,HIGH,15.0,0.4425169660620311,0.4425169660620311,-19.0,19.0,False
TCAP,0.2731064436543995,UNSTABLE,35.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,-0.2731064436543995,0.2731064436543995,9.5,9.5,True
ACTC1,0.2166666666666666,UNSTABLE,37.5,GSE36961,GSE141910;GSE249925,2,0.0,0.012383922785267343,0.5,0.12933437297484357,UNSTABLE,34.0,-0.08733229369182302,0.08733229369182302,-3.5,3.5,True
COQ9,0.2166666666666666,UNSTABLE,37.5,GSE36961,GSE141910;GSE249925,2,0.0,0.0023294007645674464,0.5,0.1258152902675986,UNSTABLE,35.0,-0.09085137639906798,0.09085137639906798,-2.5,2.5,True
MTO1,0.2166666666666666,UNSTABLE,37.5,GSE36961,GSE141910;GSE249925,2,0.0,0.1579365720373388,0.5,0.18027780021306858,UNSTABLE,33.0,-0.03638886645359801,0.03638886645359801,-4.5,4.5,True
NEXN,0.2166666666666666,UNSTABLE,37.5,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,-0.2166666666666666,0.2166666666666666,7.0,7.0,True
TNNT2,0.2142705021088397,UNSTABLE,40.0,GSE36961,GSE141910;GSE249925,2,1.0,0.9969002572964641,0.0,0.7489150900537624,HIGH,12.0,0.5346445879449228,0.5346445879449228,-28.0,28.0,False
CACNA1C,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,1.0,0.6994070014531094,0.0,0.6447924505085882,MODERATE,28.0,0.5114591171752549,0.5114591171752549,-15.5,15.5,False
DES,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,1.0,0.5672557435114193,0.0,0.5985395102289968,MODERATE,31.0,0.46520617689566346,0.46520617689566346,-12.5,12.5,False
JPH2,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,-0.1333333333333333,0.1333333333333333,1.0,1.0,True
MYBPC3,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,1.0,0.6823873376686789,0.0,0.6388355681840376,MODERATE,29.0,0.5055022348507043,0.5055022348507043,-14.5,14.5,False
MYO6,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,-0.1333333333333333,0.1333333333333333,1.0,1.0,True
TTN,0.1333333333333333,UNSTABLE,43.5,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,-0.1333333333333333,0.1333333333333333,1.0,1.0,True
CEP85L,0.0,UNSTABLE,47.0,GSE36961,GSE141910;GSE249925,2,0.0,0.0,0.0,0.0,UNSTABLE,44.5,0.0,0.0,-2.5,2.5,True
