gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
LMNA,0.3999888656354379,UNSTABLE,30.0,GSE141910,GSE249925;GSE36961,2,1.0,0.8738230922689216,1.0,0.9558380822941226,HIGH,13.0,0.5558492166586847,0.5558492166586847,-17.0,17.0,False
MYL2,0.3921424779050579,UNSTABLE,31.0,GSE141910,GSE249925;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,39.0,-0.2671424779050579,0.2671424779050579,8.0,8.0,True
MRPL44,0.3858025289641727,UNSTABLE,32.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9993740819738307,1.0,0.9997809286908408,HIGH,1.0,0.6139783997266681,0.6139783997266681,-31.0,31.0,False
PKP2,0.3,UNSTABLE,33.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9496331569925249,1.0,0.9823716049473837,HIGH,7.0,0.6823716049473838,0.6823716049473838,-26.0,26.0,False
MYH7,0.292774455340535,UNSTABLE,34.0,GSE141910,GSE249925;GSE36961,2,0.0,0.028208413588789893,0.5,0.13487294475607647,UNSTABLE,38.0,-0.1579015105844585,0.1579015105844585,4.0,4.0,True
TCAP,0.2731064436543995,UNSTABLE,35.0,GSE141910,GSE249925;GSE36961,2,1.0,0.7792544226982796,0.5,0.7977390479443979,HIGH,24.0,0.5246326042899984,0.5246326042899984,-11.0,11.0,False
ACTC1,0.2166666666666666,UNSTABLE,37.5,GSE141910,GSE249925;GSE36961,2,0.0,0.05412450572363514,0.5,0.1439435770032723,UNSTABLE,37.0,-0.0727230896633943,0.0727230896633943,-0.5,0.5,True
COQ9,0.2166666666666666,UNSTABLE,37.5,GSE141910,GSE249925;GSE36961,2,1.0,0.6272127343377383,0.0,0.6195244570182084,MODERATE,33.0,0.4028577903515418,0.4028577903515418,-4.5,4.5,False
MTO1,0.2166666666666666,UNSTABLE,37.5,GSE141910,GSE249925;GSE36961,2,1.0,0.7187407811646707,0.0,0.6515592734076348,MODERATE,31.0,0.4348926067409682,0.4348926067409682,-6.5,6.5,False
NEXN,0.2166666666666666,UNSTABLE,37.5,GSE141910,GSE249925;GSE36961,2,1.0,0.9121951334460847,0.5,0.8442682967061297,HIGH,21.0,0.6276016300394631,0.6276016300394631,-16.5,16.5,False
TNNT2,0.2142705021088397,UNSTABLE,40.0,GSE141910,GSE249925;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,41.5,-0.2142705021088397,0.2142705021088397,1.5,1.5,True
CACNA1C,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,41.5,-0.1333333333333333,0.1333333333333333,-2.0,2.0,True
DES,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,41.5,-0.1333333333333333,0.1333333333333333,-2.0,2.0,True
