method,n_genes_compared,unique_score_values,largest_tie_size,spearman_rho_vs_MCI,spearman_p_value,kendall_tau_vs_MCI,kendall_p_value,mean_absolute_rank_shift,median_absolute_rank_shift,maximum_absolute_rank_shift,method_top10_cutoff,method_inclusive_top10_size,top10_overlap_with_MCI,top10_original_recall,top10_jaccard,method_top_high_cutoff,method_top_high_inclusive_size,original_HIGH_overlap,original_HIGH_recall,original_HIGH_jaccard
Equal-weight composite,47,39,6,0.9989565822271173,5.7113810139253105e-62,0.9905660377358492,4.506691522782062e-22,0.2127659574468085,0.0,3.0,0.7778185160688889,10,9,0.9,0.8181818181818182,0.6749361176768915,18,18,1.0,1.0
Random-effects meta-analysis,47,47,1,0.9427165203650867,4.3879720015764596e-23,0.792191307406276,6.771737587749534e-15,3.6382978723404253,3.0,11.0,2.465527338760212,10,8,0.8,0.6666666666666666,1.1934640432186423,18,17,0.9444444444444444,0.8947368421052632
Direction vote,47,3,26,0.8694574034727285,2.2323544354136555e-15,0.7307272159643046,1.8174776984352968e-09,5.702127659574468,6.5,12.5,1.0,26,10,1.0,0.38461538461538464,1.0,26,18,1.0,0.6923076923076923
Signed Stouffer significance,47,47,1,0.8242111950649557,1.094241041213933e-12,0.6539315037551806,1.2816934251868355e-10,5.9787234042553195,4.0,21.0,11.794400916562548,10,7,0.7,0.5384615384615384,5.713220532927872,18,15,0.8333333333333334,0.7142857142857143
Fisher combined significance,47,47,1,0.6729388868044562,2.1970869660089754e-07,0.5231452030041445,2.69720721533697e-07,8.404255319148936,6.0,24.0,11.819787931565456,10,6,0.6,0.42857142857142855,7.585861597356741,18,12,0.6666666666666666,0.5
