gene_symbol,MCI,primary_tier,MOD_0.400__HIGH_0.650__tier,MOD_0.400__HIGH_0.675__tier,MOD_0.400__HIGH_0.700__tier,MOD_0.400__HIGH_0.725__tier,MOD_0.400__HIGH_0.750__tier,MOD_0.425__HIGH_0.650__tier,MOD_0.425__HIGH_0.675__tier,MOD_0.425__HIGH_0.700__tier,MOD_0.425__HIGH_0.725__tier,MOD_0.425__HIGH_0.750__tier,MOD_0.450__HIGH_0.650__tier,MOD_0.450__HIGH_0.675__tier,MOD_0.450__HIGH_0.700__tier,MOD_0.450__HIGH_0.725__tier,MOD_0.450__HIGH_0.750__tier,MOD_0.475__HIGH_0.650__tier,MOD_0.475__HIGH_0.675__tier,MOD_0.475__HIGH_0.700__tier,MOD_0.475__HIGH_0.725__tier,MOD_0.475__HIGH_0.750__tier,MOD_0.500__HIGH_0.650__tier,MOD_0.500__HIGH_0.675__tier,MOD_0.500__HIGH_0.700__tier,MOD_0.500__HIGH_0.725__tier,MOD_0.500__HIGH_0.750__tier,n_distinct_tiers_across_threshold_grid,n_threshold_scenarios_changing_primary_tier,percent_threshold_scenarios_changing_primary_tier,tier_stable_across_all_threshold_scenarios,always_HIGH_across_grid,always_MODERATE_across_grid,always_UNSTABLE_across_grid,distance_from_MODERATE_threshold_0_45,distance_from_HIGH_threshold_0_70,distance_from_nearest_primary_threshold,n_scenarios_HIGH,n_scenarios_MODERATE,n_scenarios_UNSTABLE
CSRP3,0.6431434629210778,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,1,0,0.0,True,False,True,False,0.1931434629210778,0.05685653707892213,0.05685653707892213,0,25,0
MYL2,0.3921424779050579,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.057857522094942104,0.30785752209494205,0.057857522094942104,0,0,25
MRPL44,0.3858025289641727,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.06419747103582729,0.31419747103582724,0.06419747103582729,0,0,25
KIF5B,0.7695246707816087,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3195246707816087,0.06952467078160873,0.06952467078160873,25,0,0
TNNC1,0.7751828097694213,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3251828097694213,0.07518280976942138,0.07518280976942138,25,0,0
PMS2,0.7754141536439366,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3254141536439366,0.07541415364393667,0.07541415364393667,25,0,0
MT-TI,0.5439293516517061,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,1,0,0.0,True,False,True,False,0.09392935165170607,0.15607064834829387,0.09392935165170607,0,25,0
ALPK3,0.7976057316404546,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.34760573164045455,0.09760573164045461,0.09760573164045461,25,0,0
CAV3,0.8000427752056666,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.35004277520566657,0.10004277520566662,0.10004277520566662,25,0,0
RBM20,0.8035740008093487,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3535740008093487,0.10357400080934875,0.10357400080934875,25,0,0
