gene_symbol,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,PRIMARY_40D_35S_25R__score,PRIMARY_40D_35S_25R__tier,PRIMARY_40D_35S_25R__rank,EQUAL_33D_33S_33R__score,EQUAL_33D_33S_33R__tier,EQUAL_33D_33S_33R__rank,ALT_45D_35S_20R__score,ALT_45D_35S_20R__tier,ALT_45D_35S_20R__rank,ALT_35D_40S_25R__score,ALT_35D_40S_25R__tier,ALT_35D_40S_25R__rank,ALT_35D_30S_35R__score,ALT_35D_30S_35R__tier,ALT_35D_30S_35R__rank,DIRECTION_HEAVY_55D_25S_20R__score,DIRECTION_HEAVY_55D_25S_20R__tier,DIRECTION_HEAVY_55D_25S_20R__rank,CONSISTENCY_HEAVY_25D_55S_20R__score,CONSISTENCY_HEAVY_25D_55S_20R__tier,CONSISTENCY_HEAVY_25D_55S_20R__rank,REPRODUCIBILITY_HEAVY_25D_20S_55R__score,REPRODUCIBILITY_HEAVY_25D_20S_55R__tier,REPRODUCIBILITY_HEAVY_25D_20S_55R__rank,LEAVE_OUT_R_RENORMALIZED__score,LEAVE_OUT_R_RENORMALIZED__tier,LEAVE_OUT_R_RENORMALIZED__rank,LEAVE_OUT_S_RENORMALIZED__score,LEAVE_OUT_S_RENORMALIZED__tier,LEAVE_OUT_S_RENORMALIZED__rank,LEAVE_OUT_D_RENORMALIZED__score,LEAVE_OUT_D_RENORMALIZED__tier,LEAVE_OUT_D_RENORMALIZED__rank,minimum_sensitivity_score,maximum_sensitivity_score,sensitivity_score_range,n_distinct_tiers_across_all_scenarios,n_nonprimary_scenarios_changing_tier,any_weight_sensitivity_tier_change,tier_stable_across_all_weight_scenarios
TTN,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
KCNH2,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH,0.8813520672732007,HIGH,7.0,0.8870019688316197,HIGH,7.0,0.8813520672732007,HIGH,7.0,0.8644023625979437,HIGH,7.0,0.8983017719484577,HIGH,7.0,0.9152514766237148,HIGH,7.0,0.8135532485721726,HIGH,8.0,0.9322011812989719,HIGH,7.0,0.8418027563642676,HIGH,12.0,1.0,HIGH,4.0,0.8022534454553346,HIGH,7.0,0.8022534454553346,1.0,0.1977465545446654,1,0,False,True
ACTC1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.21666666666666667,UNSTABLE,37.5,0.2222222222222222,UNSTABLE,37.5,0.21666666666666667,UNSTABLE,38.5,0.19999999999999998,UNSTABLE,38.5,0.2333333333333333,UNSTABLE,37.5,0.25,UNSTABLE,37.5,0.15,UNSTABLE,38.5,0.26666666666666666,UNSTABLE,37.5,0.17777777777777776,UNSTABLE,41.0,0.3333333333333333,UNSTABLE,36.5,0.1388888888888889,UNSTABLE,37.5,0.1388888888888889,0.3333333333333333,0.19444444444444442,1,0,False,True
COQ9,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.21666666666666667,UNSTABLE,37.5,0.2222222222222222,UNSTABLE,37.5,0.21666666666666667,UNSTABLE,38.5,0.19999999999999998,UNSTABLE,38.5,0.2333333333333333,UNSTABLE,37.5,0.25,UNSTABLE,37.5,0.15,UNSTABLE,38.5,0.26666666666666666,UNSTABLE,37.5,0.17777777777777776,UNSTABLE,41.0,0.3333333333333333,UNSTABLE,36.5,0.1388888888888889,UNSTABLE,37.5,0.1388888888888889,0.3333333333333333,0.19444444444444442,1,0,False,True
MTO1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.21666666666666667,UNSTABLE,37.5,0.2222222222222222,UNSTABLE,37.5,0.21666666666666667,UNSTABLE,38.5,0.19999999999999998,UNSTABLE,38.5,0.2333333333333333,UNSTABLE,37.5,0.25,UNSTABLE,37.5,0.15,UNSTABLE,38.5,0.26666666666666666,UNSTABLE,37.5,0.17777777777777776,UNSTABLE,41.0,0.3333333333333333,UNSTABLE,36.5,0.1388888888888889,UNSTABLE,37.5,0.1388888888888889,0.3333333333333333,0.19444444444444442,1,0,False,True
NEXN,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,0.21666666666666667,UNSTABLE,37.5,0.2222222222222222,UNSTABLE,37.5,0.21666666666666667,UNSTABLE,38.5,0.19999999999999998,UNSTABLE,38.5,0.2333333333333333,UNSTABLE,37.5,0.25,UNSTABLE,37.5,0.15,UNSTABLE,38.5,0.26666666666666666,UNSTABLE,37.5,0.17777777777777776,UNSTABLE,41.0,0.3333333333333333,UNSTABLE,36.5,0.1388888888888889,UNSTABLE,37.5,0.1388888888888889,0.3333333333333333,0.19444444444444442,1,0,False,True
BAG3,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH,0.8281811808437982,HIGH,8.0,0.8046169976290142,HIGH,8.0,0.8448478475104648,HIGH,9.0,0.815540397154817,HIGH,9.0,0.807488631199446,HIGH,8.0,0.8701294148884273,HIGH,8.0,0.79428471275454,HIGH,9.0,0.7661035319107419,HIGH,8.0,0.8820193522361754,HIGH,8.0,0.8717948717948718,HIGH,11.5,0.7136353014063304,HIGH,8.0,0.7136353014063304,0.8820193522361754,0.1683840508298451,1,0,False,True
TINF2,1.0,0.7258684589063796,1.0,0.9040539606172328,HIGH,0.9040539606172329,HIGH,6.0,0.9086228196354598,HIGH,6.0,0.9040539606172329,HIGH,6.0,0.8903473835625518,HIGH,6.0,0.9177605376719139,HIGH,6.0,0.9314671147265949,HIGH,6.0,0.8492276523985087,HIGH,6.0,0.945173691781276,HIGH,6.0,0.8720719474896438,HIGH,9.0,1.0,HIGH,4.0,0.8400899343620548,HIGH,6.0,0.8400899343620548,1.0,0.1599100656379452,1,0,False,True
TNNT2,0.3333333333333333,0.231249053644304,0.0,0.2142705021088397,UNSTABLE,0.21427050210883974,UNSTABLE,40.0,0.18819412899254578,UNSTABLE,40.0,0.2309371687755064,UNSTABLE,36.0,0.20916628812438826,UNSTABLE,36.0,0.18604138275995785,UNSTABLE,40.0,0.24114559674440936,UNSTABLE,40.0,0.21052031283770056,UNSTABLE,36.0,0.12958314406219412,UNSTABLE,40.0,0.28569400281178625,UNSTABLE,33.0,0.20512820512820512,UNSTABLE,43.0,0.1348952812925107,UNSTABLE,40.0,0.12958314406219412,0.28569400281178625,0.15611085874959213,1,0,False,True
TMEM43,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH,0.9294960052251762,HIGH,5.0,0.9328533383096915,HIGH,5.0,0.9294960052251762,HIGH,5.0,0.9194240059716299,HIGH,5.0,0.9395680044787224,HIGH,5.0,0.9496400037322688,HIGH,5.0,0.8892080082109912,HIGH,5.0,0.959712002985815,HIGH,5.0,0.9059946736335682,HIGH,7.0,1.0,HIGH,4.0,0.8824933420419603,HIGH,5.0,0.8824933420419603,1.0,0.11750665795803972,1,0,False,True
ACTN2,1.0,0.8136926245127329,1.0,0.9347924185794564,HIGH,0.9347924185794565,HIGH,4.0,0.9378975415042443,HIGH,4.0,0.9347924185794565,HIGH,4.0,0.9254770498050932,HIGH,4.0,0.9441077873538198,HIGH,4.0,0.9534231561281832,HIGH,4.0,0.8975309434820031,HIGH,4.0,0.9627385249025466,HIGH,4.0,0.913056558105942,HIGH,6.0,1.0,HIGH,4.0,0.8913206976324276,HIGH,4.0,0.8913206976324276,1.0,0.1086793023675724,1,0,False,True
TCAP,0.3333333333333333,0.1612565056792368,0.3333333333333333,0.2731064436543995,UNSTABLE,0.2731064436543995,UNSTABLE,35.0,0.27597439078196784,UNSTABLE,35.0,0.2731064436543995,UNSTABLE,35.0,0.2645026022716947,UNSTABLE,35.0,0.2817102850371043,UNSTABLE,35.0,0.2903141264198092,UNSTABLE,35.0,0.23869107812358026,UNSTABLE,34.0,0.298917967802514,UNSTABLE,35.0,0.25303081376142156,UNSTABLE,35.0,0.3333333333333333,UNSTABLE,36.5,0.23295518386844372,UNSTABLE,35.0,0.23295518386844372,0.3333333333333333,0.1003781494648896,1,0,False,True
MYH7,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,UNSTABLE,0.292774455340535,UNSTABLE,34.0,0.29470583048304916,UNSTABLE,34.0,0.292774455340535,UNSTABLE,33.0,0.2869803299129923,UNSTABLE,33.0,0.2985685807680776,UNSTABLE,34.0,0.3043627061956202,UNSTABLE,34.0,0.2695979536303645,UNSTABLE,33.0,0.3101568316231629,UNSTABLE,34.0,0.2792548293429355,UNSTABLE,34.0,0.3333333333333333,UNSTABLE,36.5,0.26573520334533607,UNSTABLE,33.0,0.26573520334533607,0.3333333333333333,0.06759812998799725,1,0,False,True
GLA,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH,0.9600291718029872,HIGH,3.0,0.9619325445742735,HIGH,3.0,0.9600291718029872,HIGH,3.0,0.9543190534891283,HIGH,3.0,0.9657392901168461,HIGH,3.0,0.9714494084307053,HIGH,3.0,0.9371886985475513,HIGH,3.0,0.9771595267445642,HIGH,3.0,0.9467055624039828,HIGH,4.0,1.0,HIGH,4.0,0.9333819530049787,HIGH,3.0,0.9333819530049787,1.0,0.06661804699502127,1,0,False,True
TNNI3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH,0.9617210925247786,HIGH,2.0,0.963543897642646,HIGH,2.0,0.9617210925247786,HIGH,2.0,0.9562526771711755,HIGH,2.0,0.9671895078783815,HIGH,2.0,0.9726579232319847,HIGH,2.0,0.9398474311103662,HIGH,2.0,0.9781263385855878,HIGH,2.0,0.9489614566997047,HIGH,3.0,1.0,HIGH,4.0,0.936201820874631,HIGH,2.0,0.936201820874631,1.0,0.063798179125369,1,0,False,True
MYH6,1.0,0.9087438847811884,1.0,0.968060359673416,HIGH,0.9680603596734159,HIGH,1.0,0.9695812949270628,HIGH,1.0,0.9680603596734159,HIGH,1.0,0.9634975539124754,HIGH,1.0,0.9726231654343565,HIGH,1.0,0.977185971195297,HIGH,1.0,0.9498091366296537,HIGH,1.0,0.9817487769562377,HIGH,1.0,0.9574138128978879,HIGH,2.0,1.0,HIGH,4.0,0.9467672661223598,HIGH,1.0,0.9467672661223598,1.0,0.05323273387764016,1,0,False,True
CEP85L,0.0,0.0,0.0,0.0,UNSTABLE,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,47.0,0.0,UNSTABLE,44.0,0.0,0.0,0.0,1,0,False,True
