gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction,matched_in_DE
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,,GSE57338,DCM_HF_vs_Control,0.11390791157498326,0.02190045507762193,5.2011664219423155,3.5989309319106726e-07,1.586508677679958e-06,4.060220162214688,3.946312250639707,177.0,136.0,0.11390791157498326,up_in_DCM_HF,True
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,,,,,,,,,,,,,,,False
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,,GSE57338,DCM_HF_vs_Control,0.10156723084355335,0.04546167275906168,2.234128765605273,0.026185058420216855,0.04915858300683326,11.427946194299437,11.326378963455877,177.0,136.0,0.10156723084355335,up_in_DCM_HF,True
DES,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,-0.07641994553838494,0.017739110801675985,-4.307991893887083,2.2121607948619707e-05,7.482416185069021e-05,12.37579434593221,12.452214291470588,177.0,136.0,0.07641994553838494,down_in_DCM_HF,True
DMD,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",,,,GSE57338,DCM_HF_vs_Control,0.10328027043137222,0.0314165165330403,3.2874513736350703,0.0011267374796199215,0.002871250025947339,9.833044308666663,9.7297640382353,177.0,136.0,0.10328027043137222,up_in_DCM_HF,True
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided,,,,GSE57338,DCM_HF_vs_Control,0.1290988861368394,0.0386572389132256,3.3395785567259293,0.0009411448918546237,0.0024328283609784647,7.889781319033895,7.760682432897056,177.0,136.0,0.1290988861368394,up_in_DCM_HF,True
DSP,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,-0.013348243893277711,0.05106323489891898,-0.26140615493125163,0.7939523402690041,0.848599705014437,10.252349647158193,10.265697891051474,177.0,136.0,0.013348243893277711,down_in_DCM_HF,True
EMD,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",,,,GSE57338,DCM_HF_vs_Control,-0.11799453588945585,0.02957858992350637,-3.9891873207817974,8.272285657728877e-05,0.0002567434234338375,8.296493473779657,8.414488009669116,177.0,136.0,0.11799453588945585,down_in_DCM_HF,True
EYA4,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss,,,,GSE57338,DCM_HF_vs_Control,-0.012368356329843788,0.07159124409185212,-0.17276353395919605,0.862949680438418,0.90218815428592,7.545625550581925,7.557993906911766,177.0,136.0,0.012368356329843788,down_in_DCM_HF,True
FKTN,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",,,,GSE57338,DCM_HF_vs_Control,0.0981321978365739,0.02416221569888461,4.061390687821064,6.180141556005544e-05,0.0001957316010845801,5.93128263446893,5.833150436632356,177.0,136.0,0.0981321978365739,up_in_DCM_HF,True
