gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction,matched_in_DE
NCAPH2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,0.015663145858010097,0.01820634050956518,0.8603126943484909,0.39027941513508,0.49090995445395413,5.800959261519778,5.785296115661766,177.0,136.0,0.015663145858010097,up_in_DCM_HF,True
NEXN,DCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,,GSE57338,DCM_HF_vs_Control,0.013759337337572397,0.028498310006225387,0.48281239605319415,0.6295686260496158,0.7141490127975729,11.09881210358757,11.08505276625,177.0,136.0,0.013759337337572397,up_in_DCM_HF,True
NKX2-5,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Noncompaction_cardiomyopathy|Ventricular_fibrillation|Atrial_septal_defect|Primary_dilated_cardiomyopathy|not_provided|Atrial_septal_defect_7,,,,GSE57338,DCM_HF_vs_Control,-0.28710198537458576,0.04003306032946637,-7.171622229521735,5.440875056641594e-12,4.495591713467499e-11,8.440133840632777,8.727235826007355,177.0,136.0,0.28710198537458576,down_in_DCM_HF,True
PMS2,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,,GSE57338,DCM_HF_vs_Control,0.21283906779008932,0.02874445461217829,7.404526217725309,1.2435573690731117e-12,1.114406143625992e-11,6.371753105062147,6.158914037272059,177.0,136.0,0.21283906779008932,up_in_DCM_HF,True
PPCS,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,,GSE57338,DCM_HF_vs_Control,0.0653350370965855,0.02228887718821537,2.9312843596773734,0.003625855423554492,0.008422165312549905,6.096727813118642,6.031392776022053,177.0,136.0,0.0653350370965855,up_in_DCM_HF,True
PPP1R13L,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_variable_ectodermal_abnormalities|Orofacial_cleft,,,,GSE57338,DCM_HF_vs_Control,-0.007920277967264688,0.034759407209528456,-0.22785998390368217,0.8199048244571336,0.8692096246836901,7.5549420690621485,7.562862347029409,177.0,136.0,0.007920277967264688,down_in_DCM_HF,True
PSEN1,DCM,,ClinVar_PLP_review2plus,False,True,5,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Alzheimer_disease_3|Acne_inversa,_familial,_3|Pick_disease|Frontotemporal_dementia|Dilated_cardiomyopathy_1U|not_provided | Alzheimer_disease_3|Dilated_cardiomyopathy_1U|Acne_inversa,_familial,_3|Frontotemporal_dementia|Pick_disease|not_provided | Autosomal_dominant_PSEN1-related_disorders|Frontotemporal_dementia|Acne_inversa,_familial,_3|Pick_disease|Alzheimer_disease_3|PSEN1-related_disorder|Dilated_cardiomyopathy_1U|not_provided",,,,GSE57338,DCM_HF_vs_Control,-0.026060475875166578,0.018232642653313487,-1.4293306993778276,0.15391289903791114,0.22778396188488081,8.04014334414689,8.066203820022059,177.0,136.0,0.026060475875166578,down_in_DCM_HF,True
RAF1,DCM,,ClinVar_PLP_review2plus,False,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiovascular_phenotype|Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | Dilated_cardiomyopathy_1NN|LEOPARD_syndrome_2|Noonan_syndrome_5|not_provided|RASopathy|Noonan_syndrome_3 | Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.18452592455778305,0.018476849573088976,-9.986871616173138,1.4904076752733886e-20,3.409265879120895e-19,9.474153018581918,9.658678943139707,177.0,136.0,0.18452592455778305,down_in_DCM_HF,True
RNF220,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Leukodystrophy,_hypomyelinating,_23,_with_ataxia,_deafness,_liver_dysfunction,_and_dilated_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,-0.15471509833736174,0.01702308977269949,-9.088543877944158,1.2079881171137768e-17,1.9120245352149175e-16,7.056330193728819,7.211045292066178,177.0,136.0,0.15471509833736174,down_in_DCM_HF,True
SCO2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,-0.05803609781605168,0.023391478380305142,-2.481078659180267,0.013626912492907936,0.02774219616525309,5.270430201389832,5.328466299205883,177.0,136.0,0.05803609781605168,down_in_DCM_HF,True
SDHA,DCM,,ClinVar_PLP_review2plus,False,True,41,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1GG|Hereditary_cancer-predisposing_syndrome|Pheochromocytoma/paraganglioma_syndrome_5|Mitochondrial_complex_II_deficiency,_nuclear_type_1 | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Neurodegeneration_with_ataxia_and_late-onset_optic_atrophy|Pheochromocytoma/paraganglioma_syndrome_5|Hereditary_cancer-predisposing_syndrome|not_provided | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Pheochromocytoma/paraganglioma_syndrome_5",,,,GSE57338,DCM_HF_vs_Control,0.18249762718100015,0.03955033298028961,4.6143132921775925,5.7737308184445916e-06,2.1421044128663262e-05,10.929392536497176,10.746894909316175,177.0,136.0,0.18249762718100015,up_in_DCM_HF,True
SGCB,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E,,,,GSE57338,DCM_HF_vs_Control,0.07116837601022041,0.030565878191429984,2.3283602572941775,0.020533821762486623,0.039832731459196684,10.1322687569661,10.061100380955883,177.0,136.0,0.07116837601022041,up_in_DCM_HF,True
SGCD,DCM,,ClinVar_PLP_review2plus,False,True,12,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L|Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L,,,,GSE57338,DCM_HF_vs_Control,0.1642671552024355,0.04756850853262041,3.4532752921985828,0.0006305946672795583,0.0016874719897758397,9.069071662548026,8.90480450734559,177.0,136.0,0.1642671552024355,up_in_DCM_HF,True
TAB2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided",,,,GSE57338,DCM_HF_vs_Control,-0.15968861607141083,0.0183551951255274,-8.699913837980652,1.9652371123992655e-16,2.665059611973805e-15,8.240374754627117,8.400063370698529,177.0,136.0,0.15968861607141083,down_in_DCM_HF,True
TARID,DCM,,ClinVar_PLP_review2plus,False,True,4,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss | Dilated_cardiomyopathy_1J|EYA4-related_disorder | Rare_genetic_deafness|EYA4-related_disorder|Cardiovascular_phenotype|Dilated_cardiomyopathy_1J,,,,,,,,,,,,,,,,,False
TCAP,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.11880243163983106,0.0466413732630084,-2.547146949767324,0.011342112615512727,0.023551429536301523,9.95617728361017,10.074979715250011,177.0,136.0,0.11880243163983106,down_in_DCM_HF,True
TMEM43,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Arrhythmogenic_right_ventricular_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_5|Hypertrophic_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.3815859129557575,0.04399896090098474,-8.672611924051534,2.3843208046443533e-16,3.1994331007202776e-15,8.156326370389825,8.537912283345594,177.0,136.0,0.3815859129557575,down_in_DCM_HF,True
TNNC1,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_specified|Dilated_cardiomyopathy_1Z|Hypertrophic_cardiomyopathy_13|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,0.011336014253157778,0.041128755730516935,0.27562259182926413,0.7830209983039899,0.8397006954359509,11.343985590209044,11.33264957595588,177.0,136.0,0.011336014253157778,up_in_DCM_HF,True
TNNI3,DCM,,ClinVar_PLP_review2plus,False,True,8,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,0.1423780805587409,0.030926672091943407,4.603731049220498,6.055372729687725e-06,2.2417156466711436e-05,12.479293751073437,12.336915670514706,177.0,136.0,0.1423780805587409,up_in_DCM_HF,True
TPM1,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.03713728889726564,0.016531205438692607,-2.2464961212291783,0.025373647071645855,0.047846111813292555,10.132223974683614,10.169361263580887,177.0,136.0,0.03713728889726564,down_in_DCM_HF,True
TSFM,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Fatal_mitochondrial_disease_due_to_combined_oxidative_phosphorylation_defect_type_3,,,,GSE57338,DCM_HF_vs_Control,0.1017060602929134,0.03263042516756969,3.1169088288189304,0.001998254829583302,0.0048729204942736136,6.632485869564974,6.53077980927206,177.0,136.0,0.1017060602929134,up_in_DCM_HF,True
