gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction
LDB3,0.5980943980677303,2.19163293121618e-08,0.0918469210298027,1.175557483054707e-09,,DCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MHRT,,,,,,DCM,ClinVar_PLP_review2plus,False,True,3,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
MT-TI,,,,,,DCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
MYBPC3,-0.0496806247194024,0.7641241370819705,0.0698394857862955,0.4780234205580391,,DCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYH7,-0.0994236668916344,0.571103938527216,0.0892908312197878,0.2673699372859028,,DCM,ClinVar_PLP_review2plus,False,True,66,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYPN,0.1950129709796793,0.0799083454900272,0.0817017181042523,0.0182995727517324,,DCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
NCAPH2,-0.0006275456032908,0.9940268258317524,0.0293138610545718,0.9829501848676292,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
NEXN,0.3248147542428604,7.321173813635676e-08,0.0519279528495857,4.335134628853129e-09,,DCM,ClinVar_PLP_review2plus,False,True,3,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
NKX2-5,-0.2749810978996141,0.0006086299298866,0.0675267480409831,7.680644044651182e-05,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PMS2,0.0857001938338157,0.0001046892457475,0.018820772351036,1.119753915304287e-05,,DCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PPCS,0.4077288795873218,1.5888603198628245e-14,0.0440666126461777,2.9051718579112045e-16,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PPP1R13L,0.1496203587341539,0.1306878601360195,0.0695531771039729,0.0331433198114864,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PSEN1,-0.0006693614334805,0.987507034358628,0.0132039102913674,0.9596399542789626,,DCM,ClinVar_PLP_review2plus,False,True,5,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RAF1,-0.0552066606163541,0.3623150169647331,0.0361539647726144,0.1289728877172986,,DCM,ClinVar_PLP_review2plus,False,True,5,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RNF220,-0.2645997890800691,2.4996568452983263e-10,0.0356508860985399,9.451484821703497e-12,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
SCO2,-0.4391671874654105,7.207108262034332e-13,0.0514183172871539,1.7938741169043864e-14,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
SDHA,0.2314259623860645,0.0183665002598533,0.0776019263949873,0.0033652054436083,,DCM,ClinVar_PLP_review2plus,False,True,41,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
SGCB,0.0836620349600854,0.5091928135091321,0.067791387504416,0.2191862198227919,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
