gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_dcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier
NKX2-5,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.16848172554060586,0.1677543802294348,4.495591713467499e-11,1,1.0,0.5021585287924766,0.5,0.7007554850773668,HIGH
PLN,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0707427573499575,0.22681217810291673,0.0006190668624264,2,0.0,0.0,1.0,0.25,UNSTABLE
PMS2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.12642529587221515,0.12220752822207293,1.114406143625992e-11,1,1.0,0.516680869208348,0.5,0.7058383042229218,HIGH
PPCS,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.11823699169003585,0.07481466166210314,4.692329193341367e-10,2,1.0,0.6836241323771435,1.0,0.8892684463320002,HIGH
PPP1R13L,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.0478075500731157,0.07881105021630148,0.2177912405684711,0,0.0,0.17574682141450682,0.0,0.06151138749507738,UNSTABLE
PSEN1,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0936505258050248,0.09558676529228026,1.8968761697045797e-12,1,1.0,0.48966242062918786,0.5,0.6963818472202158,MODERATE
RAF1,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.23488543699782835,0.07121910548720874,3.4092658791208954e-19,2,1.0,0.848396081090657,1.0,0.9469386283817299,HIGH
RBM20,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,GSE141910_DCM,0.0643586308869696,,0.3785931273471833,0,,,0.0,,INSUFFICIENT_COVERAGE
RNF220,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.17116191197332625,0.02325930690180382,1.912024535214917e-16,2,1.0,0.9320546649846125,1.0,0.9762191327446144,HIGH
SCN5A,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2567912469347695,0.19513331339516662,1.6534296006727982e-08,1,1.0,0.6200545857298347,0.5,0.7420191050054421,HIGH
SCO2,DCM,,ClinVar_PLP_review2plus,False,True,1,GSE57338_DCM_HF,-0.0580360978160516,,0.027742196165253,1,,,1.0,,INSUFFICIENT_COVERAGE
SDHA,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.13492470117099659,0.06727827716511872,2.1421044128663265e-05,1,1.0,0.7506821338820172,0.5,0.787738746858706,HIGH
SGCB,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0634562051316303,0.19038790847960246,0.0002846260790684,2,0.0,0.0,1.0,0.25,UNSTABLE
SGCD,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.037518630693309046,0.28536819510787553,0.0016874719897758,2,0.0,0.0,1.0,0.25,UNSTABLE
TAB2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3164098297559934,0.2216372659043086,2.8220091595067293e-18,2,1.0,0.6497623571378468,1.0,0.8774168249982464,HIGH
TARID,DCM,,ClinVar_PLP_review2plus,False,True,1,GSE141910_DCM,0.6525448560371148,,3.634157629617123e-07,1,,,1.0,,INSUFFICIENT_COVERAGE
TCAP,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.017316076974209345,0.14352337916392816,0.0235514295363015,1,0.0,0.0,0.5,0.125,UNSTABLE
TMEM43,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.38343965391777246,0.0026215856096081054,3.1994331007202776e-15,2,1.0,0.9965814886608333,1.0,0.9988035210312917,HIGH
TNNC1,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.09335360233758065,0.1159903854221209,0.0232797853228534,1,1.0,0.3787578490935881,0.5,0.6575652471827559,MODERATE
TNNI3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.37644992185026815,0.33102757252412046,1.4464505836092324e-10,2,1.0,0.5603298695121184,1.0,0.8461154543292415,HIGH
TNNT2,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.045075260139311596,0.043556960632857446,0.2064188329218385,0,1.0,0.5168418274432762,0.0,0.5808946396051466,MODERATE
TPM1,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.016538026083173098,0.07590835840998417,0.0478461118132925,1,0.0,0.0,0.5,0.125,UNSTABLE
TSFM,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.10027532783542689,0.002023361245504802,0.0048729204942736,2,1.0,0.9899109716757767,1.0,0.9964688400865218,HIGH
TTN,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2970414489059951,0.3355079635935903,4.285229590046254e-07,1,1.0,0.43525059410182054,0.5,0.6773377079356372,MODERATE
