gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,MCI_tier,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded,n_disease_cohorts,sigma_disease,mean_log2FC_across_HCM_cohorts,min_log2FC_across_HCM_cohorts,max_log2FC_across_HCM_cohorts,gtex_name,n_gtex_lv_samples,gtex_lv_mean_log2_tpm_plus1,sigma_GTEx,gtex_expression_scale,gtex_tissue,gtex_release,sigma_GTEx_safe,sigma_disease_to_GTEx_ratio,Adj_MCI,GTEx_low_confidence_flag,GTEx_adjustment_status
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.3610469164639351,0.2406096937029641,3.2513003854312975e-13,2,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,0.6412562876994091,1.0,0.3587437123005909,HIGH,0.763,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.361,0.2406,0.0,1.0,0.6668,0.6667,0.8,0.6413,1.0,0.3587,0.763,1.0,0.0,3,0.24060969370296414,0.36104691646393516,0.0848428805938757,0.5251589830466012,ENSG00000182533.6,432.0,3.4164179149553697,1.2030298080947512,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.2030298080947512,0.20000310223735837,1.0104845351008231,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.2724023418901936,0.1853284430215791,8.067123952508962e-05,2,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,0.6397575936793855,1.0,0.3602424063206145,HIGH,0.789,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.2724,0.1853,0.0001,1.0,0.6598,0.6667,0.7976,0.6398,1.0,0.3602,0.789,1.0,0.0,3,0.18532844302157916,0.27240234189019363,0.06823707330624,0.4300191019143207,ENSG00000136383.6,432.0,5.177359829171191,1.2887968826114797,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.2887968826114797,0.1437995742556806,0.952209059296004,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,3,GSE141910|GSE249925|GSE36961,0.1370606832033087,0.1106295196518835,0.0001046892457475,2,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,0.6746318002650559,1.0,0.3253681997349441,HIGH,0.908,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.1371,0.1106,0.0001,1.0,0.5964,0.6667,0.7754,0.6746,1.0,0.3254,0.908,1.0,0.0,3,0.11062951965188356,0.1370606832033087,0.0614469709251586,0.2640348848509517,ENSG00000122512.14,432.0,1.4995184625245908,0.5238867546599433,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.5238867546599433,0.21117067508930162,0.9897403163246167,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
TNNC1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.1299762378745638,0.0431896359044197,0.0197426142010275,1,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,0.6743865142816066,1.0,0.3256134857183934,HIGH,0.787,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.13,0.0432,0.0197,1.0,0.8339,0.3333,0.7752,0.6744,1.0,0.3256,0.787,1.0,0.0,3,0.04318963590441976,0.12997623787456383,0.0806688900510401,0.1611055382049729,ENSG00000114854.7,432.0,11.201639011631515,1.6381750671385276,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.6381750671385276,0.026364481288230688,0.8042856142880007,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.321913670100112,0.2706686852640833,2.505756121928153e-09,2,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,0.5484836045565706,1.0,0.4515163954434293,HIGH,0.774,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.3219,0.2707,0.0,1.0,0.5796,0.6667,0.7695,0.5485,1.0,0.4515,0.774,1.0,0.0,3,0.27066868526408333,0.321913670100112,0.0104653151712822,0.5002537455498299,ENSG00000170759.10,432.0,4.886066513370049,0.9762431109747615,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.9762431109747615,0.2772554113020326,1.041203084137076,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,3,GSE141910|GSE249925|GSE36961,-0.3041335448558479,0.2850764072358427,2.143243221901844e-05,2,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,0.6108987375679494,1.0,0.3891012624320505,HIGH,0.766,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.3041,0.2851,0.0,1.0,0.5313,0.6667,0.7526,0.6109,1.0,0.3891,0.766,1.0,0.0,3,0.2850764072358427,-0.3041335448558479,-0.6203883311351372,-0.0669129119350639,ENSG00000160808.9,432.0,11.451827877106858,1.3173105590017526,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.3173105590017526,0.21640789659491633,0.9653464993132008,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,3,GSE141910|GSE249925|GSE36961,-0.4688656469169615,0.5044500897403315,1.016185552118092e-05,2,1.0,0.4620526231156447,0.6666666666666666,0.7283850847571424,0.5626445724244521,1.0,0.4373554275755479,HIGH,0.748,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.4689,0.5045,0.0,1.0,0.4621,0.6667,0.7284,0.5626,1.0,0.4374,0.748,1.0,0.0,3,0.5044500897403315,-0.4688656469169615,-1.0243574877286916,-0.0393254442316739,ENSG00000128591.15,432.0,7.838582862616504,1.9823579418245152,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.9823579418245152,0.2544697297583138,0.9666235731777929,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.3984599964379101,0.378689723917444,0.0193693541020183,1,1.0,0.5248083530306746,0.5,0.7086829235607361,0.7086829235607361,1.0,0.2913170764392638,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3985,0.3787,0.0194,1.0,0.5248,0.5,0.7087,0.7087,1.0,0.2913,1.0,1.0,0.0,2,0.37868972391744404,-0.3984599964379101,-0.6662340681855963,-0.1306859246902239,ENSG00000209082.1,432.0,4.770747699532321,1.0502933935025274,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.0502933935025274,0.36055613246750634,1.023477382996277,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.1173363951143119,0.0958734471048353,0.0135238106609304,1,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,0.5810674459569171,1.0,0.4189325540430829,MODERATE,0.451,1.0,0.0,MODERATE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.1173,0.0959,0.0135,1.0,0.5915,0.3333,0.6903,0.5811,1.0,0.4189,0.451,1.0,0.0,3,0.09587344710483538,-0.117336395114312,-0.2152729454452217,-0.0236686575166918,ENSG00000005893.15,432.0,3.5646616803462154,0.8448431882810553,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.8448431882810553,0.11348076002116148,0.7974002176898318,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,-0.1572348444042574,0.1420532234473193,0.0001988088629154,1,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,0.6470003306746381,1.0,0.3529996693253618,MODERATE,0.443,1.0,0.0,MODERATE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.1572,0.1421,0.0002,1.0,0.5483,0.3333,0.6752,0.647,1.0,0.353,0.443,1.0,0.0,3,0.1420532234473193,-0.15723484440425742,-0.3194775548119728,-0.0552066606163541,ENSG00000132155.11,432.0,5.7064597914609045,1.145914023906225,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.145914023906225,0.12396499255946282,0.7890721100763475,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
