score,low_group,high_group,n_low,n_high,median_low,median_high,median_difference_high_minus_low,mannwhitney_U,p_value_directional_low_less_than_high,test_status,BH_FDR_p_value
MCI,DCM_TTN_related,DCM_RNA_processing,3,3,0.6624764392918125,0.25,-0.41247643929181255,6.0,0.8,OK,0.8
bootstrap_median_MCI,DCM_TTN_related,DCM_RNA_processing,3,3,0.6624764392918125,0.25,-0.41247643929181255,6.0,0.8,OK,0.8
