gene_symbol,cohort,log2FC,FDR,p_value,SE,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,matched_in_DE,selected_source_file,direction,score_eligible,abs_log2FC
DSG2,GSE57338_DCM_HF,0.1290988861368394,0.0024328283609784,0.0009411448918546,0.0386572389132256,DCM,,ClinVar_PLP_review2plus,False,True,8,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1290988861368394
DSP,GSE141910_DCM,-0.6077896437974175,3.5252948218303726e-14,4.078853512861588e-15,0.0737544416151677,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.6077896437974175
DSP,GSE57338_DCM_HF,-0.0133482438932777,0.848599705014437,0.7939523402690041,0.0510632348989189,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0133482438932777
EMD,GSE141910_DCM,0.1465278784791994,0.0057936596261718,0.0030928935388892,0.049164546097849,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1465278784791994
EMD,GSE57338_DCM_HF,-0.1179945358894558,0.0002567434234338,8.272285657728877e-05,0.0295785899235063,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1179945358894558
EYA4,GSE141910_DCM,-0.7685150964307668,1.0196698817534137e-13,1.2436744952191475e-14,0.0951265055781131,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.7685150964307668
EYA4,GSE57338_DCM_HF,-0.0123683563298437,0.90218815428592,0.862949680438418,0.0715912440918521,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0123683563298437
FKTN,GSE141910_DCM,-0.189126587643337,0.007996716400122,0.0043968333731346,0.0659441694619881,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.189126587643337
FKTN,GSE57338_DCM_HF,0.0981321978365739,0.0001957316010845,6.180141556005544e-05,0.0241622156988846,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0981321978365739
FLNC,GSE141910_DCM,-0.0758780804351131,0.4630078458423871,0.4007332530617711,0.0901807613066456,DCM,,ClinVar_PLP_review2plus,False,True,19,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0758780804351131
FLNC,GSE57338_DCM_HF,-0.439386276484047,4.885842031786312e-13,4.6708171990915583e-14,0.0555774308706319,DCM,,ClinVar_PLP_review2plus,False,True,19,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.439386276484047
GATA4,GSE141910_DCM,0.0862806261429662,0.1204022101326409,0.0871945352589163,0.0502951080068286,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0862806261429662
GATA4,GSE57338_DCM_HF,-0.0207304480579502,0.6795941804729443,0.5907318411778513,0.0385085544401975,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0207304480579502
KIF5B,GSE141910_DCM,-0.134855304727127,0.048993138584318,0.0320904660764565,0.0626534068582505,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.134855304727127
KIF5B,GSE57338_DCM_HF,0.1045669423595061,5.567600260192524e-07,1.1799500991527823e-07,0.0192827718653345,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1045669423595061
LAMP2,GSE141910_DCM,-0.3958845653868614,3.520998950752583e-11,5.68669954234874e-12,0.055383198441533,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.3958845653868614
LAMP2,GSE57338_DCM_HF,-0.0512181405499756,0.0169575050903603,0.007852693066294,0.0191420880872501,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0512181405499756
LDB3,GSE141910_DCM,-0.0456515719646848,0.4868159363385111,0.4244157733756587,0.057080430501424,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0456515719646848
