gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_dcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_DCM_log2FC,GSE141910_DCM_FDR,GSE141910_DCM_p_value,GSE141910_DCM_SE,GSE141910_DCM_direction,GSE57338_DCM_HF_log2FC,GSE57338_DCM_HF_FDR,GSE57338_DCM_HF_p_value,GSE57338_DCM_HF_SE,GSE57338_DCM_HF_direction,DCM_uncertainty_method,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_majority_tier,bootstrap_tier_matches_primary,same_direction_across_two_DCM_cohorts,both_DCM_cohorts_FDR_lt_0_05,one_or_more_DCM_cohorts_FDR_lt_0_05,absolute_log2FC_difference_between_DCM_cohorts,note
DSP,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3105689438453476,0.4203335448902416,3.5252948218303726e-14,1,1.0,0.3232846470644649,0.5,0.6381496264725628,MODERATE,-0.6077896437974175,3.5252948218303726e-14,4.078853512861588e-15,0.0737544416151677,DOWN,-0.0133482438932777,0.848599705014437,0.7939523402690041,0.0510632348989189,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.5944413999041398,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
EMD,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.014266671294871802,0.18704559297591392,0.0002567434234338,2,0.0,0.0,1.0,0.25,UNSTABLE,0.1465278784791994,0.0057936596261718,0.0030928935388892,0.049164546097849,UP,-0.1179945358894558,0.0002567434234338,8.272285657728877e-05,0.0295785899235063,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.2645224143686552,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
EYA4,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3904417263803052,0.5346764874974647,1.0196698817534137e-13,1,1.0,0.31529284478079933,0.5,0.6353524956732798,MODERATE,-0.7685150964307668,1.0196698817534137e-13,1.2436744952191475e-14,0.0951265055781131,DOWN,-0.0123683563298437,0.90218815428592,0.862949680438418,0.0715912440918521,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.7561467401009231,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
FKTN,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.045497194903381555,0.20312263516825674,0.0001957316010845,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.189126587643337,0.007996716400122,0.0043968333731346,0.0659441694619881,DOWN,0.0981321978365739,0.0001957316010845,6.180141556005544e-05,0.0241622156988846,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.2872587854799109,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
FLNC,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.25763217845958003,0.25703911044309014,4.885842031786312e-13,1,1.0,0.5011509975579058,0.5,0.7004028491452671,HIGH,-0.0758780804351131,0.4630078458423871,0.4007332530617711,0.0901807613066456,DOWN,-0.439386276484047,4.885842031786312e-13,4.6708171990915583e-14,0.0555774308706319,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.3635081960489339,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
GATA4,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.032775089042508,0.07566825622952479,0.1204022101326409,0,0.0,0.0,0.0,0.0,UNSTABLE,0.0862806261429662,0.1204022101326409,0.0871945352589163,0.0502951080068286,UP,-0.0207304480579502,0.6795941804729443,0.5907318411778513,0.0385085544401975,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,False,False,0.10701107420091639,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
KIF5B,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.015144181183810453,0.1692970944818794,5.567600260192524e-07,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.134855304727127,0.048993138584318,0.0320904660764565,0.0626534068582505,DOWN,0.1045669423595061,5.567600260192524e-07,1.1799500991527823e-07,0.0192827718653345,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.23942224708663312,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
LAMP2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2235513529684185,0.24371596624948544,3.520998950752583e-11,2,1.0,0.45489937096485467,1.0,0.8092147798376992,HIGH,-0.3958845653868614,3.520998950752583e-11,5.68669954234874e-12,0.055383198441533,DOWN,-0.0512181405499756,0.0169575050903603,0.007852693066294,0.0191420880872501,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,True,True,0.3446664248368858,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
LDB3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.0450965530894014,0.12833722921141835,0.0317616830480918,1,0.0,0.0,0.5,0.125,UNSTABLE,-0.0456515719646848,0.4868159363385111,0.4244157733756587,0.057080430501424,DOWN,0.1358446781434876,0.0317616830480918,0.0158979260479348,0.0560293424909875,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,False,True,0.1814962501081724,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
LMNA,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.04223004240848405,0.14623335122014505,9.67462508536026e-08,1,0.0,0.0,0.5,0.125,UNSTABLE,0.0611725518749146,0.5986626794168337,0.5404553211847642,0.0998307435542425,UP,-0.1456326366918827,9.67462508536026e-08,1.828953573594267e-08,0.0252019200536575,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,False,True,0.2068051885667973,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
