gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction,abs_log2FC_calc
COQ9,-0.2858347422931078,0.0080675917319001,0.0913082042187028,0.0020180963274687,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.2858347422931078
COQ9,0.0487179352597619,0.6164609551848028,0.0776989860839898,0.5318648628011146,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.0487179352597619
COQ9,0.1573650529472631,0.095635512033738,0.0683337036682209,0.0227275219370987,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.1573650529472631
CSRP3,0.4500688798851911,0.0016196160006942,0.1223368214215249,0.0003040990233032,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.4500688798851911
CSRP3,0.0526345920651192,0.7508529520420693,0.128838726831346,0.6836244272699467,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.0526345920651192
CSRP3,0.097889451561438,0.6921188074381123,0.1124482459791489,0.3854704208062594,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.097889451561438
DES,-0.0482367430997523,0.7465379746231569,0.1010427452233331,0.6336277856238137,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0482367430997523
DES,-0.2004016464597313,0.1301612926694358,0.1145883087207651,0.0829114110577898,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.2004016464597313
DES,0.1067056267005272,0.3179750421917462,0.0657768032030968,0.1069550887042469,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.1067056267005272
FLNC,-0.0393254442316739,0.8946305869615503,0.1905784525203842,0.8367378930070353,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0393254442316739
