gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.04766053720009857,0.07225105436659779,0.0313314330687925,1,1.0,0.24202433909569576,0.3333333333333333,0.5680418520168269,MODERATE
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.20492542427824587,0.24130922882324193,0.1328220788472755,0,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,0.33371117098036956,0.4131719225570806,1.0519159325724516e-18,2,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2662414927797327,0.360495812616969,0.0002921462667866,2,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.41304682433491835,UNSTABLE
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.20347319790811044,0.2775036453680588,6.145025628838597e-05,2,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.34616235789064165,0.4945396786888619,2.5909063902644696e-16,2,0.3333333333333333,0.28568247324410834,0.6666666666666666,0.3999888656354379,UNSTABLE
MYL2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,3,GSE141910|GSE249925|GSE36961,0.2541927489442626,0.37454578501296715,8.171591169210441e-11,2,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,UNSTABLE
MRPL44,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0739280732903633,0.1116092000106587,0.0087221468856378,2,0.3333333333333333,0.24515008275477923,0.6666666666666666,0.3858025289641727,UNSTABLE
PKP2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.1993440246583064,0.4491018598370247,1.9796343058738784e-08,2,0.3333333333333333,0.0,0.6666666666666666,0.3,UNSTABLE
MYH7,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,3,GSE141910|GSE249925|GSE36961,0.23558877768327555,0.3687196073331015,3.624606772096488e-05,1,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,UNSTABLE
