feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,n_samples_used,n_hcm,n_control,n_male,n_female,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
PRKCD,PRKCD,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.005319021481129,7.720032053805555,-0.7083830728974809,0.044269774247276523,-16.001506331174948,3.0333517238086758e-33,5.2181922426937795e-30,0.7083830728974809
PIK3IP1,PIK3IP1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.345175940962266,8.04099805511111,1.3360427631185878,0.08476564620982105,15.761606533517966,1.1731317748797266e-32,1.9303628326999188e-29,1.3360427631185878
FPR1,FPR1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.137584675575473,7.466881515583332,-1.3166741705540903,0.08389698986501676,-15.69393815764438,1.719965587893924e-32,2.71224240164306e-29,1.3166741705540903
AP3M2,AP3M2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.215073550594342,8.407834920444445,0.8261094209178034,0.05318891370573556,15.53160918999406,4.315129158389429e-32,6.532415125136252e-29,0.8261094209178034
SLA,SLA,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.186000494632077,7.0025240668611115,-0.8257539844972182,0.053569332060839,-15.414677628599225,8.384497878122567e-32,1.2204604103670256e-28,0.8257539844972182
FES,FES,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.173761670603776,7.951907167999999,-0.7447124599438678,0.04877310191512008,-15.268917306918315,1.9227435473969722e-31,2.695116751658734e-28,0.7447124599438678
MYC,MYC,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.962652164358492,8.397534439722223,-1.4324616790309521,0.09402758405095175,-15.234483513420152,2.3399415744412587e-31,3.162765315225138e-28,1.4324616790309521
CHN1,CHN1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.097077375301884,7.453955999972221,0.6605944793576122,0.043506061159069215,15.183964297349533,3.121904913311761e-31,4.074193563765411e-28,0.6605944793576122
DYRK1B,DYRK1B,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.050207817301887,6.460231757805557,0.5985968429451977,0.03950539683784994,15.1522802163497,3.7411545457808143e-31,4.719591164654024e-28,0.5985968429451977
S100A8,S100A8,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.208586909273586,9.72842536316667,-2.52163330242497,0.16822786729969288,-14.989391132996747,9.499111602765992e-31,1.1596883152202637e-27,2.52163330242497
