feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
MT1X,MT1X,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.272890006735848,11.644848851538462,-2.3719588448026143,0.14807396958206234,-16.018742872210762,1.0193863844173435e-33,1.4288776705429179e-30,2.3719588448026143
S100A8,S100A8,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.208586909273586,9.856953118666667,-2.648366209393083,0.16573620840864678,-15.979406279544843,1.2784346628794318e-33,1.7279870804048208e-30,2.648366209393083
MAFB,MAFB,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.665254697858488,9.00403322002564,-1.3387785221671509,0.08471513231544099,-15.803298484881577,3.530167708803419e-33,4.6069905899094545e-30,1.3387785221671509
CMTM7,CMTM7,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.217573722886792,7.94312341828205,-0.72554969539526,0.04598076788009142,-15.77941667453983,4.0524848811413175e-33,5.112344760389144e-30,0.72554969539526
SLA,SLA,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.186000494632077,7.0633785120512815,-0.877378017419207,0.055914691795778695,-15.691368211841686,6.7433664202902e-33,8.232562759429126e-30,0.877378017419207
JAK2,JAK2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.809494621594341,7.599416729948718,1.2100778916456199,0.07726146148403319,15.662114958771442,7.987828572051027e-33,9.447105004307599e-30,1.2100778916456199
FES,FES,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.173761670603776,7.944883477205128,-0.7711218066013568,0.04938894210127163,-15.613248103597314,1.0601776299547405e-32,1.195876769155943e-29,0.7711218066013568
SCN2B,SCN2B,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.695849746792453,7.4095519387948725,1.2862978079975798,0.0824234310228766,15.605972622524877,1.1058411232534217e-32,1.195876769155943e-29,1.2862978079975798
DYRK1B,DYRK1B,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.050207817301887,6.447800362564103,0.6024074547377825,0.038601124680524124,15.605956036864441,1.1059474428065847e-32,1.195876769155943e-29,0.6024074547377825
CHN1,CHN1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.097077375301884,7.453717104512821,0.6433602707890655,0.04170273565806503,15.427291774434082,3.1202338387232736e-32,3.280232496120028e-29,0.6433602707890655
