gene_symbol_upper,gene_symbol,log2FC_disease_only,SE_disease_only,p_value_disease_only,FDR_disease_only,log2FC_adjusted_age_sex,SE_adjusted_age_sex,p_value_adjusted_age_sex,FDR_adjusted_age_sex,same_direction,abs_log2FC_change
C16ORF57,C16ORF57,-0.181281491776488,0.0489072679559603,0.0002995588725431,0.0020959222328884,-0.1753871160161561,0.05150570068496596,0.0008661178103299336,0.005841934530341591,True,0.005894375760331888
MED11,MED11,0.1245817090408794,0.0336108494450377,0.000299607337101,0.0020959222328884,0.15011091698659842,0.03528654826363915,3.849840049245693e-05,0.0003549355578654141,True,0.02552920794571903
NUDT1,NUDT1,0.1262074444228347,0.0340501364797668,0.000299687214393,0.0020960935715981,0.14267123878222784,0.03590850883223497,0.00011377357863555212,0.000949642575652601,True,0.01646379435939313
NDUFS2,NDUFS2,0.2635113681719859,0.0710989985067319,0.0002999656704972,0.0020976535043678,0.23927149772886527,0.07425756768225734,0.0015872620497746001,0.010085883065105695,True,0.02423987044312062
BCO2,BCO2,0.2121968342198822,0.0572551397294271,0.0003000711620685,0.0020980035469513,0.16321040078169508,0.057947320353752545,0.005566781188447361,0.030440464688785335,True,0.04898643343818712
TMEM93,TMEM93,-0.1287048507097257,0.0347285998352107,0.0003002258069063,0.0020986970609861,-0.11502413632520941,0.03609659166701496,0.0017808207650443126,0.011163979240329146,True,0.01368071438451629
ZMYND17,ZMYND17,0.1965135494240436,0.0530277050565308,0.0003003915221026,0.0020994676907656,0.1897397693573097,0.05442774035793921,0.0006576292074547381,0.004590305235214315,True,0.0067737800667338754
USP49,USP49,-0.360113541209726,0.0971837078065457,0.0003007945900512,0.0021018966128285,-0.37013389987488854,0.10284569170193024,0.00044441718884171707,0.0032357470044062377,True,0.010020358665162543
PLEC1,PLEC1,-0.090728700150219,0.0244923033833104,0.0003020055939854,0.0021099693021921,-0.10536379231736821,0.025543353096839264,6.376635706374771e-05,0.0005612329184731618,True,0.014635092167149213
LASS2,LASS2,-0.1969991592198858,0.0531838510909264,0.0003022880072992,0.002111552588455,-0.1758778207609199,0.05483623242330414,0.001665475781533372,0.01052104764278284,True,0.02112133845896591
HNRNPUL2,HNRNPUL2,-0.1910412939746021,0.0515772456564278,0.0003024316382255,0.0021121660417577,-0.18628232725508104,0.05477644602069664,0.0008791429697516371,0.005913298521500345,True,0.004758966719521057
FAM186B,FAM186B,0.0876815922571353,0.0236768457726638,0.0003032166286448,0.0021172576619361,0.08779702284881644,0.024925373868062022,0.0005802842805406306,0.004114169891596235,True,0.00011543059168113434
SYPL2,SYPL2,-0.2208170452373024,0.0596298410887152,0.0003033620799929,0.0021178825455472,-0.26078228137420373,0.06137687991440405,3.929454441987492e-05,0.00036201103410773766,True,0.03996523613690134
NCAPG2,NCAPG2,-0.1195778294845193,0.0322949674598572,0.0003038566093063,0.0021209437911856,-0.1330927324136526,0.03444875489608889,0.00017129109241378594,0.0013728679973511527,True,0.013514902929133307
SNRPN,SNRPN,0.1884923356806948,0.0509389263178126,0.0003063986099627,0.0021382927886136,0.13204229245326224,0.0500297469726094,0.009264073427116538,0.04724540128320341,True,0.05645004322743255
TTC35,TTC35,0.2020301718270417,0.0546398163202315,0.0003095739744859,0.0021600546899695,0.19176151118935766,0.05832391238260037,0.0012806685162723356,0.008303611558479152,True,0.01026866063768403
YEATS2,YEATS2,0.1391916224143674,0.0376483365405005,0.0003099500062602,0.0021622798040413,0.16021323343839294,0.038857965141895906,6.422472656326853e-05,0.0005651357827280774,True,0.021021611024025555
TNFSF13,TNFSF13,-0.0773126115556365,0.0209156412411811,0.0003107863780523,0.002167714939876,-0.0750901807711299,0.021509175925824044,0.0006464513419524497,0.004524800718981396,True,0.002222430784506596
LOC550112,LOC550112,0.1062695953548606,0.0287515351283435,0.0003110826130996,0.002169381347958,0.10155443187084537,0.030794513567961413,0.0012394128550236327,0.00806236144916198,True,0.004715163484015225
GPR161,GPR161,-0.0802849239920185,0.0217250199527932,0.0003117885101952,0.002173903455573,-0.06962067871882674,0.02257184786297086,0.0024643672617704077,0.014927407712702121,True,0.010664245273191764
OBFC2B,OBFC2B,0.1865081508147054,0.050472563644102,0.0003120874266334,0.0021755868020571,0.20573057194607391,0.05364760486529955,0.00019035681200807973,0.0015093743782228755,True,0.019222421131368517
XIRP2,XIRP2,0.5884226061509408,0.1592564235663124,0.0003125650434395,0.0021785150338882,0.7239003341009528,0.16144501808830877,1.5283460836122374e-05,0.00015253635516980152,True,0.135477727950012
LYPD2,LYPD2,0.1231059127750354,0.0333221229666836,0.000313005820831,0.0021811854713996,0.09825229232912176,0.034218916859111416,0.004733379047033115,0.026429546092359882,True,0.024853620445913632
CD109,CD109,-0.1241758417327059,0.0336136577921496,0.000313244024056,0.0021824435446293,-0.1123996654192789,0.03495483452589984,0.0016216589311727268,0.010276842583583894,True,0.011776176313427006
TIGD1,TIGD1,0.08354157912264,0.0226152734570755,0.0003134401760427,0.0021834082279612,0.07714629321545158,0.023654898206920214,0.0013972406933688403,0.008970308953560158,True,0.006395285907188422
DLG4,DLG4,0.2045916258892099,0.0553871393283851,0.0003136499984439,0.0021844677661227,0.18920934256184999,0.059175128300038515,0.0017194743150372668,0.010818823761745703,True,0.015382283327359914
ZFP112,ZFP112,0.1808939500873233,0.0489969081365006,0.0003157970708199,0.0021990167327051,0.17320300441437295,0.052220760740123086,0.001164213660447889,0.007636192407852826,True,0.007690945672950367
LOC652968,LOC652968,-0.1236252526311087,0.033494721369639,0.000316998777579,0.0022069786122617,-0.11324267487066365,0.03583794190617756,0.0019401254650392016,0.012048898646188648,True,0.010382577760445044
EHHADH,EHHADH,0.2551945666494914,0.0691596661573919,0.0003180856302448,0.0022141380839151,0.16921307789510895,0.06947806996070563,0.016147528693206244,0.07614245837566452,True,0.08598148875438247
LOC388474,LOC388474,-0.1354957001185318,0.0367261978168878,0.0003187550173342,0.0022183895524148,-0.12483840862927933,0.037560043105912,0.0011376763644344728,0.007480281391311163,True,0.010657291489252457
LTA,LTA,0.0889797119779862,0.0241286180376739,0.0003206145667091,0.0022309209214332,0.09314808186753083,0.025765298687999955,0.00041960675532027626,0.003069276625792651,True,0.0041683698895446375
ARF1,ARF1,-0.1146303004172739,0.0310888840776946,0.0003212422243161,0.0022348774304169,-0.1137620949233703,0.032679566308826145,0.0006688885810984189,0.004659127303811299,True,0.0008682054939035955
RAPGEF1,RAPGEF1,-0.1458453381756183,0.0395679802182024,0.0003226688124908,0.0022443896117495,-0.17364732245578066,0.04035568953582664,3.171972355050786e-05,0.00029692422891232264,True,0.027801984280162367
SRPK2,SRPK2,-0.2218758815820049,0.0602078394750868,0.0003235691301278,0.0022502383864057,-0.18594392934292944,0.06045328690126933,0.0025315998123198306,0.015280849521061613,True,0.03593195223907547
TBCE,TBCE,0.1397933868193022,0.0379429757715866,0.0003245722227147,0.0022567996216903,0.12861840633876642,0.039909035710561216,0.0015841461731997224,0.010071156739613086,True,0.011174980480535779
GSTM5,GSTM5,0.135638998313255,0.0368203262682396,0.0003251477897182,0.0022603863427031,0.12815476156254524,0.038816308739980654,0.0012241269887181296,0.007978570229605119,True,0.00748423675070975
OCRL,OCRL,-0.1135638788384153,0.0308302230277565,0.0003254778511307,0.0022622653358849,-0.15855831478900137,0.02976812236773828,3.9685746228850675e-07,5.4339607517260584e-06,True,0.04499443595058607
SCMH1,SCMH1,-0.1061554102172247,0.0288194424416927,0.0003255470113763,0.0022623305531672,-0.10407269805489486,0.030079640767999054,0.0007193024000971743,0.004962216302237998,True,0.0020827121623298445
SAAL1,SAAL1,0.1560056313971932,0.0423557779143054,0.0003258334255296,0.0022639052363858,0.17272002302102987,0.04404315822151244,0.00013804861666070364,0.001132824793178879,True,0.016714391623836672
KIAA1328,KIAA1328,0.1269060310694231,0.034457464736473,0.0003261173449965,0.002265462011516,0.1278456439296744,0.03645344320286698,0.0006117728032622741,0.004318006995946293,True,0.0009396128602512932
PHF10,PHF10,0.1106994536381215,0.0300590045162765,0.000326395396417,0.0022669774587627,0.11877693167937273,0.03211292301042145,0.00031192453598348485,0.002349740443636737,True,0.008077478041251224
CDCP1,CDCP1,-0.0507917342796335,0.0137940566854076,0.0003270884817515,0.002271374436765,-0.053619790813003367,0.014221760919900042,0.00024100003569829626,0.0018636876483526198,True,0.0028280565333698646
CYB561,CYB561,-0.0816090334791976,0.0221641721838096,0.0003272307001346,0.0022719451618595,-0.09088399189206749,0.02205845041587988,6.494922340328012e-05,0.0005709798626993123,True,0.00927495841286989
ZNF7,ZNF7,0.1353132878224466,0.0367507592387687,0.0003273557923816,0.0022723967935573,0.11741860631688049,0.037853461269923644,0.002332088802147195,0.014208509031122831,True,0.0178946815055661
LYPD5,LYPD5,-0.0835746634794394,0.0226998210002342,0.0003275737870234,0.0022734930393706,-0.06419386581305468,0.020780402711812102,0.0024278317446583273,0.014732037872108234,True,0.019380797666384716
COX7A2,COX7A2,0.1546782956289289,0.0420156837170229,0.0003279146588625,0.0022754415436949,0.13988762487723483,0.044200821320274974,0.0019095458810161556,0.011876528087582156,True,0.014790670751694074
APAF1,APAF1,-0.1076601894063873,0.0292603484040325,0.0003303341391135,0.002291810417762,-0.07360175610766798,0.02937697812462284,0.013392951326691042,0.06488346593829354,True,0.034058433298719326
INSC,INSC,-0.080983860615144,0.0220114372831778,0.0003305903934499,0.0022931678941541,-0.0773310853683257,0.02256985290451579,0.0008064398048141647,0.005487328452534498,True,0.003652775246818299
GNPDA1,GNPDA1,0.1553647107239949,0.0422429313216451,0.0003321145433775,0.0023033181250992,0.16656829712422533,0.044666280069743325,0.0002796108855203071,0.002130491961627047,True,0.01120358640023042
FAF2,FAF2,-0.1720265951538481,0.0467788624725084,0.0003326422557999,0.0023065552973623,-0.15517277096273507,0.04971804504727857,0.002195195611465229,0.01345197103489525,True,0.01685382419111303
YBX1,YBX1,-0.1459143004813766,0.039681798129065,0.0003330397813465,0.00230888872776,-0.11764442964963868,0.04049768921423257,0.004279152577056416,0.024182291836833972,True,0.028269870831737917
C6ORF199,C6ORF199,0.1241274273043051,0.0337604760776113,0.0003335175064244,0.0023117772066189,0.10367296905786025,0.03526943840974262,0.003855732025660203,0.022092965063305988,True,0.020454458246444845
PCDH12,PCDH12,0.202672742886791,0.055134867643717,0.000334429571671,0.0023176747059994,0.24140613552043527,0.05688228996440522,4.0062571326177316e-05,0.00036827983347352604,True,0.03873339263364428
ACOT4,ACOT4,0.1499681372784221,0.0407981503750888,0.0003345357609123,0.0023179861602871,0.10573891895834402,0.041907537710990594,0.012765138896774062,0.062328660390570396,True,0.044229218320078076
EBF2,EBF2,-0.0858608459966145,0.0233672268762082,0.0003362668660917,0.0023291796812146,-0.0861924088758042,0.024511687328409994,0.0005924765414198605,0.00419119012833197,True,0.00033156287918970073
TUBGCP5,TUBGCP5,0.2272827043405887,0.061855615454378,0.0003362743163916,0.0023291796812146,0.18026692996588758,0.06467714443645815,0.0060666609663038145,0.032823281047996304,True,0.047015774374701114
ALDH1L2,ALDH1L2,-0.1019428382837453,0.0277464413428791,0.0003366593383676,0.0023311529822381,-0.0855828729351889,0.028514372211312214,0.0031905793802578055,0.018721033678331302,True,0.016359965348556396
IL2RA,IL2RA,-0.0981543967989848,0.0267154560396882,0.0003366824023916,0.0023311529822381,-0.09216872969316385,0.028503252151695108,0.001529381296780982,0.009750836347367427,True,0.005985667105820949
SBF2,SBF2,0.1025873372578596,0.0279275544228084,0.0003375625051153,0.0023368192004012,0.11886103199944244,0.028911847836119935,6.724265578905571e-05,0.0005892256427396625,True,0.016273694741582842
EPHA2,EPHA2,-0.147253350991535,0.0400883677944801,0.0003377058325577,0.0023373838586287,-0.13026210405083144,0.04133188461819221,0.001991886199836399,0.012339977920937691,True,0.016991246940703558
NAP1L2,NAP1L2,0.0871322541216731,0.0237239180582118,0.0003382605000747,0.002340725701951,0.06882666669796905,0.02474910083246525,0.006177442081798543,0.03329949855992652,True,0.018305587423704042
NEDD8,NEDD8,0.104644651105465,0.0284924353286784,0.0003383123603464,0.002340725701951,0.09843803415072445,0.02998444859813349,0.0013014848248964872,0.008425303491987756,True,0.006206616954740549
FLJ22374,FLJ22374,0.1431863355728105,0.0389874966167236,0.0003384273199737,0.0023410931002976,0.14380629694827934,0.03892441534226638,0.0003166793333560953,0.0023819456244999013,True,0.0006199613754688527
PTPN18,PTPN18,-0.0892890958584916,0.0243157871676189,0.0003391044877408,0.0023453487651751,-0.0875035715118419,0.02561994133640088,0.0008366317536767628,0.005667292885206867,True,0.0017855243466496917
ARHGAP10,ARHGAP10,0.2263098431906132,0.0616323488412448,0.0003392620114281,0.0023460095166288,0.21991561829162,0.06603398483252881,0.001112883575607008,0.0073300020540241605,True,0.006394224898993189
GMFB,GMFB,-0.2285817685321733,0.0622738198302151,0.000340891887618,0.0023568495394213,-0.18899054214067915,0.06176318688799654,0.0026608247178613524,0.015959044734101542,True,0.03959122639149415
LOC646531,LOC646531,-0.22152312939526,0.0603538323630083,0.0003411169775432,0.0023579750012969,-0.21470211983548668,0.06315270318928151,0.0008822451397939389,0.005929577261701547,True,0.006821009559773328
TMEM104,TMEM104,-0.123861528131109,0.0337499376577055,0.0003416402885307,0.0023611611321651,-0.12622206710559983,0.03548462668912869,0.0005144445988763564,0.0036937336917235025,True,0.0023605389744908306
HABP4,HABP4,0.1604184674770178,0.0437122287466171,0.0003417645634232,0.0023615887652574,0.12142594916492026,0.04513234766703948,0.00801724121486974,0.041678641623346176,True,0.03899251831209753
HS.163752,HS.163752,-0.2993459654013064,0.0815890113298834,0.000342897838691,0.0023689871491604,-0.3091175189228901,0.08547917740363623,0.00041807614953283596,0.0030604467998490733,True,0.009771553521583654
FAM80A,FAM80A,0.1491823894622637,0.0406634799930742,0.0003431951706751,0.0023706085835684,0.1477692237351708,0.041827107519486956,0.000559639193072419,0.003984967996428743,True,0.0014131657270929077
TRO,TRO,0.1631162244550053,0.044462920145636,0.0003433384947147,0.0023711658158712,0.1798305267584684,0.04680576452665477,0.00018537810790086125,0.0014729833868603812,True,0.016714302303463102
RBM38,RBM38,-0.3011123459905673,0.0820807921819513,0.0003434644380836,0.0023716028322775,-0.33081726369030473,0.0868656638130794,0.00020975335008385356,0.0016428653326311098,True,0.029704917699737432
TSR1,TSR1,-0.1335789370747461,0.0364181759354944,0.0003441617410381,0.0023759841757256,-0.14290752190000255,0.03806992880310597,0.00025580534675670533,0.0019689260023091864,True,0.009328584825256447
NPAT,NPAT,0.1615572246584411,0.0440468788491313,0.000344250505144,0.0023761635268432,0.15604138925691,0.04722540538677352,0.0012136096047811638,0.007914917991133539,True,0.005515835401531111
NR2C2,NR2C2,-0.1620416545246743,0.0441821202276767,0.000344573856237,0.0023779617365331,-0.13554802655835319,0.04549614540151418,0.0034143516720007263,0.019870760168928105,True,0.026493627966321126
BAI3,BAI3,-0.1526605428875196,0.0416290167760165,0.0003450882445982,0.002381077430276,-0.14699374594063075,0.04329945643005973,0.0008969719305431958,0.0060178691159967716,True,0.005666796946888847
DDX50,DDX50,0.1387841811093373,0.0378480978749073,0.0003454498910093,0.0023831382747248,0.173883175295757,0.039128253390639155,1.798809479237867e-05,0.00017700921360175849,True,0.03509899418641971
POLR2J3,POLR2J3,0.1639490063913873,0.0447370812775348,0.0003481121219571,0.002400832629822,0.19020594781328454,0.04746138948619436,9.99057784252703e-05,0.0008445463681668036,True,0.026256941421897245
BCL11A,BCL11A,0.1656938625128192,0.0452138270443213,0.0003481749201562,0.002400832629822,0.14274250788865114,0.04454635834563896,0.0016815376984336888,0.010604811820516811,True,0.022951354624168058
LOC728772,LOC728772,-0.0671424671637652,0.018321668470071,0.000348205102391,0.002400832629822,-0.059491254373645795,0.019179514426589443,0.0023329195983564253,0.014208509031122831,True,0.007651212790119398
SETDB2,SETDB2,0.278705327549346,0.0760543833178405,0.0003483231389901,0.0024012090197126,0.3130091239471165,0.08070735812823099,0.00016215326291781025,0.0013090555435980049,True,0.03430379639777048
ARPC2,ARPC2,-0.1394326398821981,0.0380497337058141,0.0003484090930627,0.0024013641478878,-0.12916707551614307,0.039396230334478984,0.0013200222263230839,0.008529547750968657,True,0.010265564366055024
MTG1,MTG1,-0.1070969346574766,0.0292356457945563,0.0003499700154947,0.0024116833951955,-0.10096441019853919,0.03077280765950797,0.0013101020931320293,0.008469785414532761,True,0.006132524458937416
ZNF549,ZNF549,-0.2639132727721356,0.0720490483744731,0.0003503005304379,0.0024135215501466,-0.29288680354027763,0.0731199898563066,0.00010067681978073374,0.0008504944021030467,True,0.02897353076814202
CHST10,CHST10,0.1425568806248167,0.0389271305754268,0.0003513264055961,0.0024200138645967,0.09814183571686924,0.0395811883516811,0.014360557830630557,0.06902332634722429,True,0.044415044907947454
NMI,NMI,-0.198745942746494,0.0542708560867432,0.0003513707178026,0.0024200138645967,-0.15328637921019075,0.05688057598647936,0.007916570975010195,0.04123459195158764,True,0.04545956353630323
TNRC15,TNRC15,0.1268705069264614,0.0346454062067502,0.0003515460213847,0.0024207806996592,0.11669272959960807,0.03603610709740507,0.0015066857037813102,0.009619100395632163,True,0.010177777326853335
NUCKS1,NUCKS1,0.2656315939354123,0.0725408704715795,0.0003517369532218,0.0024216548538536,0.31479489800944854,0.0769683454904819,7.296842748598414e-05,0.0006342588669349002,True,0.04916330407403624
BCOR,BCOR,0.1385748217581023,0.0378477017405365,0.0003522890361194,0.0024250147073439,0.1224975960470717,0.039679779162534144,0.00244314985391819,0.014812500686576273,True,0.016077225711030596
FUCA2,FUCA2,-0.1045089509562185,0.0285440662898455,0.0003523649894948,0.0024250964525227,-0.11112626052194186,0.029822667097506212,0.0002825855766788131,0.0021488313713052764,True,0.006617309565723359
ILF2,ILF2,-0.21453868907765,0.0586000584791814,0.0003526837700979,0.0024268490842045,-0.16365703923680522,0.055587013774277653,0.003801069623924487,0.021816087501826835,True,0.050881649840844784
HS.278817,HS.278817,0.1646299606833563,0.0449716605787551,0.0003530829212432,0.0024291540151555,0.1656564589185117,0.047707223709303456,0.0006893241138737402,0.004776301796716509,True,0.001026498235155382
MFAP1,MFAP1,0.1776033791245758,0.0485180678660182,0.000353318879571,0.0024303355718367,0.22328336288391398,0.04925956330099005,1.250314857334112e-05,0.0001274082285693775,True,0.04567998375933818
AMOT,AMOT,0.1493765763693743,0.0408094274102765,0.0003535922059847,0.0024317736921128,0.13418294473328307,0.04259330079832451,0.0020000597286209364,0.01238621673662698,True,0.01519363163609122
ZNF577,ZNF577,-0.2031565560227403,0.0555530533692134,0.0003578558242919,0.0024606488964671,-0.2153936521389241,0.057194574590441874,0.00024477546734767296,0.0018905657831102104,True,0.012237096116183815
LOC341457,LOC341457,-0.2487731628955036,0.0680362477199094,0.0003584978020116,0.0024646154068904,-0.20899122180819005,0.06839847497113838,0.002697857927805694,0.01614278753134139,True,0.03978194108731356
HS.294103,HS.294103,0.2184759438427662,0.0597528488251088,0.0003586932330643,0.0024655110967224,0.15633502166604615,0.05826201083372284,0.008181402329441156,0.04239810386964672,True,0.06214092217672004
C14ORF19,C14ORF19,0.1653440841456205,0.0452284528514089,0.000359426469667,0.0024699501430402,0.16029141282356177,0.04704869235162969,0.000861079815980751,0.005813133556119783,True,0.005052671322058722
HS.209253,HS.209253,0.1603625380556351,0.043866197572559,0.0003594695711003,0.0024699501430402,0.17670291204338104,0.04560019639209697,0.00016413128150559174,0.0013224850925826325,True,0.016340373987745932
ORC4L,ORC4L,0.1188274796381219,0.0325077673476353,0.0003599354431129,0.0024727022653934,0.10599275169106792,0.033648150004372816,0.0020019606097965476,0.012394274699551797,True,0.012834727947053981
FLJ37464,FLJ37464,-0.1443641128485739,0.0395031082975707,0.0003610352698961,0.0024798077721394,-0.13792218645326554,0.03933374969766051,0.0006131128772309503,0.004325045657349962,True,0.006441926395308356
RORA,RORA,0.0882941614003368,0.0241754342149438,0.0003639704111075,0.0024995144581337,0.09646613023202537,0.025845120249758123,0.00027630900394408884,0.002110006166922515,True,0.008171968831688567
TMEM106C,TMEM106C,0.2935033767242371,0.0803642974958221,0.0003640549171362,0.0024996412180582,0.29208447561724976,0.08452921432867093,0.0007303818311961893,0.0050249101587804,True,0.0014189011069873358
HK2,HK2,-0.3464144060125793,0.0948543425100731,0.0003641772704481,0.002500027748482,-0.29066525517653496,0.09503114006696936,0.0026715714708019315,0.016013350314217595,True,0.055749150836044314
LOC348262,LOC348262,-0.2045414320566051,0.0560212441743439,0.0003653803750442,0.0025078320047016,-0.16526148413884814,0.056333711523005044,0.00392460928677061,0.022416354220815046,True,0.03927994791775696
CPXM2,CPXM2,0.4196779001095773,0.1149627600580345,0.0003661423822715,0.0025126064550223,0.42119171790086324,0.12295898922161468,0.0008087257940904168,0.005499916694186148,True,0.001513817791285954
NUDT9P1,NUDT9P1,0.1085176353328482,0.0297283961084029,0.0003664719743438,0.002514412317081,0.09868059920989813,0.028160850372104296,0.0006179550320746995,0.0043543336704336385,True,0.00983703612295006
LOC644039,LOC644039,-0.1644442555200781,0.0450611273733784,0.0003677036958049,0.002522406030711,-0.1326534632565006,0.04617006499875365,0.004707146397003693,0.02630635891036647,True,0.031790792263577505
NCALD,NCALD,-0.1797842763231757,0.0492696441172147,0.0003681918582804,0.0025252970403194,-0.16758572466840918,0.049981268699304325,0.0010320965629446043,0.006850355405331725,True,0.01219855165476652
TMEM17,TMEM17,-0.2925552147934235,0.0801808990122787,0.0003685812521587,0.0025275097063237,-0.32421661599587265,0.08067815175946737,9.580557293005391e-05,0.0008137023593157137,True,0.031661401202449146
HS.437797,HS.437797,-0.102745847555637,0.0281609958645323,0.0003688088546282,0.0025286123029458,-0.09301096226526198,0.029457363460854553,0.001954923736076274,0.012134827573485758,True,0.009734885290375014
C7,C7,-0.4910048786519121,0.1345879083947516,0.0003692114840884,0.0025309142957456,-0.38307646908020887,0.14112516089964666,0.007486412177190484,0.03930781843201319,True,0.10792840957170324
SPG3A,SPG3A,0.0955518562743091,0.0261958206701627,0.0003700137981998,0.0025359547639753,0.11226064827669698,0.02754910282207079,7.729190339774796e-05,0.0006675466398884457,True,0.01670879200238788
CSDE1,CSDE1,0.1607937849281551,0.0440930337188309,0.0003712076507834,0.0025436763989771,0.12315934023504987,0.04610726269396415,0.008468356627812638,0.04364611533926149,True,0.03763444469310523
LOX,LOX,-0.1536579464201757,0.0421406547990408,0.0003717127162957,0.0025466762239191,-0.13276854266564844,0.04422001714909666,0.0031801850424784932,0.018662937372870378,True,0.020889403754527247
GSPT2,GSPT2,0.1667601114104955,0.0457347735861466,0.0003718026488143,0.002546831320729,0.13730787282518822,0.04693402416123498,0.004021588607535888,0.022901149930906296,True,0.029452238585307267
KIF21A,KIF21A,0.2164122731207046,0.0593699160149968,0.0003732503737821,0.0025562854951425,0.19499399663963662,0.06266997494127949,0.0022630286525073817,0.013822882889411615,True,0.021418276481067977
PFKM,PFKM,0.3384196058993698,0.0928756952839781,0.0003750588060123,0.0025682061828014,0.2578804752476308,0.08850870973530553,0.00416912402933558,0.02364523722676972,True,0.08053913065173901
HS.324250,HS.324250,0.1274967843867904,0.0349925290136585,0.000375389322828,0.002570004397929,0.12092055266565832,0.03636264790094186,0.0011312660279808853,0.007443305649333204,True,0.006576231721132086
VPS37D,VPS37D,0.1265665629941937,0.0347472036349886,0.0003767882994807,0.0025791155692078,0.11240843064626423,0.03486180934576634,0.0015758863845804823,0.01002538176346158,True,0.014158132347929467
MOCS1,MOCS1,-0.1182364660771663,0.032461333083322,0.0003769459720138,0.0025797282562092,-0.12929311748878125,0.03348839368995582,0.0001729853202333209,0.0013846874850994635,True,0.011056651411614951
FLJ46309,FLJ46309,-0.2992059249973411,0.0821818822776019,0.0003790968627505,0.0025939793649714,-0.30366834909959595,0.08574349766801752,0.000542938958164736,0.003879922169694599,True,0.004462424102254836
NDUFC1,NDUFC1,0.155705718976776,0.042769904657515,0.0003794110976261,0.0025956602315186,0.12933223800815946,0.04381685070185267,0.003715424995184639,0.02138290364473203,True,0.026373480968616525
LOC399744,LOC399744,-0.1044171269649262,0.028683933660273,0.0003797869421454,0.0025977619035667,-0.0986203931743131,0.030618918928006486,0.0015938958220254905,0.010121238469861866,True,0.005796733790613087
NDFIP2,NDFIP2,-0.2082345726746511,0.0572145185109385,0.0003807654919491,0.0026039211931223,-0.2388829664288983,0.05851447877647257,7.509148917256533e-05,0.000650025731753181,True,0.030648393754247216
LOC402560,LOC402560,0.20385486855757,0.0560118286955272,0.0003808250225633,0.0026039211931223,0.13337590275312075,0.05589169572066981,0.018374476763008993,0.08467069859647369,True,0.07047896580444926
LOC400879,LOC400879,0.0816430859949189,0.0224360754009937,0.0003816056997121,0.0026087878091233,0.0759950629298223,0.022974533886087358,0.0011992089406641757,0.007834500529669669,True,0.005648023065096597
C8ORF58,C8ORF58,-0.0981314508505087,0.0269709615206827,0.0003822958190248,0.0026130336945666,-0.09510930321219739,0.02851402666552611,0.0010938613911806263,0.007213500298069695,True,0.0030221476383113094
C16ORF56,C16ORF56,-0.1969925734201756,0.0541618429216328,0.000384066306877,0.0026246611502468,-0.20043683907384363,0.05787150198797068,0.0007105696303141728,0.004909130746416609,True,0.0034442656536680383
C6ORF85,C6ORF85,0.1368159274487173,0.0376248288815325,0.000385144288444,0.0026315527605079,0.1337434765914101,0.0384205078247649,0.0006691053958121703,0.004659238787471462,True,0.003072450857307202
ARL6IP5,ARL6IP5,0.1544766304862084,0.0425017722346475,0.0003875127505408,0.0026472576817631,0.13895840374085294,0.045288058514030366,0.0025918314988646147,0.015604590344580052,True,0.015518226745355468
PLXDC2,PLXDC2,0.2612478884893547,0.0718806350590884,0.0003876838294595,0.0026479484226177,0.32836258751153347,0.07318151512087588,1.5092121645953165e-05,0.00015078575391043914,True,0.06711469902217876
FAM13C1,FAM13C1,0.076917024073535,0.0211657798817359,0.0003882907233827,0.0026516150698564,0.08361516439211683,0.02195675161249157,0.0002099085075947321,0.0016437404052204079,True,0.006698140318581833
PGBD5,PGBD5,0.1651108228217214,0.0454454230563321,0.0003894773360786,0.0026592385461363,0.14014501798553478,0.04688599692279156,0.0033139564019893136,0.01935219719528209,True,0.024965804836186628
HS.558072,HS.558072,-0.1668246286381228,0.04592402753628,0.0003902314314446,0.0026639067017416,-0.13810820956625916,0.04434818010037029,0.002243515190745567,0.01371254455894004,True,0.028716419071863647
FCER2,FCER2,-0.0923510000331402,0.0254272498019635,0.000391135157518,0.0026695944402934,-0.10066364929774745,0.026852537607657483,0.0002605299171701005,0.0020016271305764565,True,0.008312649264607244
PLDN,PLDN,-0.1769439920517683,0.0487210113559009,0.0003913984001365,0.0026709094575491,-0.18062815017440362,0.05157186177010247,0.0006216307734534222,0.004378603806461608,True,0.0036841581226353115
CYP2S1,CYP2S1,-0.0670646099857287,0.0184681587355127,0.0003919758807991,0.0026743679799392,-0.06958378396735108,0.019630950506318166,0.0005373008881513651,0.0038425339026788665,True,0.00251917398162238
DKFZP686O24166,DKFZP686O24166,0.1133930676398151,0.031227103992375,0.0003921503515551,0.0026750761003883,0.11369895616995049,0.03353437783481319,0.000910045668204487,0.006095856346702126,True,0.0003058885301353842
HS.202577,HS.202577,0.2236043706770656,0.0615804159046289,0.0003923494867769,0.0026757675118775,0.20280821190136122,0.061598871494959344,0.0012617058513475332,0.008193294380593468,True,0.02079615877570437
HS.544679,HS.544679,-0.1560488174286418,0.0429760564848699,0.0003923931113174,0.0026757675118775,-0.1429500751430048,0.045053252658878495,0.0018606553849008763,0.011610612316069014,True,0.013098742285636983
ZSWIM3,ZSWIM3,0.0507313873909038,0.0139746572730481,0.000393538558341,0.0026830949881056,0.05017600112099842,0.014736568966359715,0.0008670976438851375,0.005847460687266668,True,0.0005553862699053808
