gene_symbol_target,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,gene_symbol_upper,gene_symbol_de,feature_id,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC,gene_symbol
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,,CCDC30,,,,,,,,,,,,,,,,,CCDC30
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,,CEP85L,,,,,,,,,,,,,,,,,CEP85L
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,,CSRP3,CSRP3,CSRP3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.7319640639717,11.634074612410258,0.09788945156143802,0.11244824597914893,0.870528932746443,0.3854704208062594,0.6921188074381123,0.09788945156143802,CSRP3
DES,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,,DES,DES,DES,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.415383584905655,13.308677958205127,0.10670562670052725,0.06577680320309681,1.6222379547856087,0.10695508870424693,0.3179750421917462,0.10670562670052725,DES
DMD,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",,,,DMD,DMD,DMD,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.7338144357264165,6.66192077874359,0.0718936569828244,0.02496217723468726,2.8801036186427478,0.0045873946949984085,0.024258004698464408,0.0718936569828244,DMD
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided,,,,DSG2,DSG2,DSG2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.223003918386793,7.163998380564103,0.05900553782268869,0.05313639365306989,1.1104543188974911,0.2686670338388439,0.5724242843362543,0.05900553782268869,DSG2
DSP,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",,,,DSP,DSP,DSP,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.10595600140566,9.059563557589744,0.0463924438159152,0.06221376543099749,0.745694196365111,0.4570761555485695,0.7496968095211562,0.0463924438159152,DSP
EMD,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",,,,EMD,EMD,EMD,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,10.257944759311323,10.466095967666664,-0.20815120835534778,0.047560021419068066,-4.376600391350843,2.3113421932061908e-05,0.00020338306590114274,0.20815120835534778,EMD
EYA4,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss,,,,EYA4,EYA4,EYA4,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.6849103644622625,6.677533447692308,0.00737691676995475,0.04637347034222578,0.1590762286176722,0.8738332655441496,0.9599736942752943,0.00737691676995475,EYA4
FKTN,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",,,,FKTN,FKTN,FKTN,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.434450188490565,11.62733327128205,-0.19288308279148647,0.058982852374036214,-3.2701552235610785,0.0013468737173497882,0.008123311985150612,0.19288308279148647,FKTN
