gene_symbol_target,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,gene_symbol_upper,gene_symbol_de,feature_id,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC,gene_symbol
FLNC,DCM,,ClinVar_PLP_review2plus,False,True,19,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy,,,,FLNC,FLNC,FLNC,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.227104503773578,13.570018512564106,-0.34291400879051903,0.087433501756907,-3.921997882961719,0.0001358290911976974,0.0010232061674896606,0.34291400879051903,FLNC
GATA4,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",GATA4-related_dilated_cardiomyopathy|Transposition_of_the_great_arteries|Atrioventricular_septal_defect_4|Atrial_septal_defect_2,,,,GATA4,GATA4,GATA4,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.761572330160378,7.533572340589746,0.22799998957063197,0.05207864663147243,4.3779937521042624,2.2983599445842377e-05,0.00020233479986679476,0.22799998957063197,GATA4
KIF5B,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,,KIF5B,KIF5B,KIF5B,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.293667194575471,8.793413449025639,0.5002537455498299,0.07186840558389755,6.960690744222021,1.1293397618516811e-10,2.5057561219281538e-09,0.5002537455498299,KIF5B
LAMP2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Danon_disease|Primary_dilated_cardiomyopathy,,,,LAMP2,LAMP2,LAMP2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.052100940867922,9.075769598384612,-0.023668657516691838,0.031959785107513954,-0.7405762409562379,0.4601646834392541,0.751774255587104,0.023668657516691838,LAMP2
LDB3,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy,,,,LDB3,LDB3,LDB3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.20642222981132,8.608327831743589,0.5980943980677303,0.0918469210298027,6.511861163790774,1.1755574830547072e-09,2.1916329312161798e-08,0.5980943980677303,LDB3
MHRT,DCM,,ClinVar_PLP_review2plus,False,True,3,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,,MHRT,,,,,,,,,,,,,,,,,MHRT
MT-TI,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,,MT-TI,,,,,,,,,,,,,,,,,MT-TI
MYBPC3,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4,,,,MYBPC3,MYBPC3,MYBPC3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.304101427075473,14.35378205179487,-0.04968062471940249,0.06983948578629551,-0.711354388711024,0.47802342055803915,0.7641241370819705,0.04968062471940249,MYBPC3
MYH7,DCM,,ClinVar_PLP_review2plus,False,True,66,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",,,,MYH7,MYH7,MYH7,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.712802106698115,14.812225773589745,-0.0994236668916344,0.08929083121978781,-1.1134812559523024,0.2673699372859028,0.571103938527216,0.0994236668916344,MYH7
MYPN,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1KK|not_provided | Cardiovascular_phenotype|MYPN-related_myopathy|Dilated_cardiomyopathy_1KK | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1KK|MYPN-related_myopathy,,,,MYPN,MYPN,MYPN,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,10.013107599056601,9.818094628076922,0.19501297097967935,0.08170171810425235,2.386889474354022,0.018299572751732437,0.0799083454900272,0.19501297097967935,MYPN
NCAPH2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,,NCAPH2,NCAPH2,NCAPH2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.535864680037738,6.536492225641026,-0.0006275456032908966,0.02931386105457183,-0.02140781120994717,0.9829501848676292,0.9940268258317523,0.0006275456032908966,NCAPH2
NEXN,DCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,,NEXN,NEXN,NEXN,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.856179256037732,11.53136450179487,0.32481475424286044,0.05192795284958578,6.255104166800432,4.335134628853129e-09,7.321173813635676e-08,0.32481475424286044,NEXN
NKX2-5,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Noncompaction_cardiomyopathy|Ventricular_fibrillation|Atrial_septal_defect|Primary_dilated_cardiomyopathy|not_provided|Atrial_septal_defect_7,,,,NKX2-5,NKX2-5,NKX2-5,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.87576086061321,10.150741958512823,-0.2749810978996141,0.06752674804098314,-4.072180371143052,7.680644044651182e-05,0.0006086299298866596,0.2749810978996141,NKX2-5
PMS2,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,,PMS2,PMS2,PMS2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.4343574321415105,6.348657238307693,0.0857001938338157,0.018820772351036085,4.553489741832933,1.119753915304287e-05,0.00010468924574754457,0.0857001938338157,PMS2
PPCS,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,,PPCS,PPCS,PPCS,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.711936889792451,9.304208010205128,0.40772887958732185,0.04406661264617775,9.252557777950456,2.9051718579112045e-16,1.5888603198628245e-14,0.40772887958732185,PPCS
PPP1R13L,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_variable_ectodermal_abnormalities|Orofacial_cleft,,,,PPP1R13L,PPP1R13L,PPP1R13L,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,8.982407007990567,8.832786649256409,0.14962035873415397,0.06955317710397292,2.1511649785672775,0.03314331981148642,0.1306878601360195,0.14962035873415397,PPP1R13L
PSEN1,DCM,,ClinVar_PLP_review2plus,False,True,5,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Alzheimer_disease_3|Acne_inversa,_familial,_3|Pick_disease|Frontotemporal_dementia|Dilated_cardiomyopathy_1U|not_provided | Alzheimer_disease_3|Dilated_cardiomyopathy_1U|Acne_inversa,_familial,_3|Frontotemporal_dementia|Pick_disease|not_provided | Autosomal_dominant_PSEN1-related_disorders|Frontotemporal_dementia|Acne_inversa,_familial,_3|Pick_disease|Alzheimer_disease_3|PSEN1-related_disorder|Dilated_cardiomyopathy_1U|not_provided",,,,PSEN1,PSEN1,PSEN1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.138553957207546,6.139223318641025,-0.0006693614334805087,0.013203910291367475,-0.050694182155882075,0.9596399542789626,0.987507034358628,0.0006693614334805087,PSEN1
RAF1,DCM,,ClinVar_PLP_review2plus,False,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiovascular_phenotype|Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | Dilated_cardiomyopathy_1NN|LEOPARD_syndrome_2|Noonan_syndrome_5|not_provided|RASopathy|Noonan_syndrome_3 | Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,RAF1,RAF1,RAF1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.855651122716983,9.91085778333333,-0.0552066606163541,0.036153964772614476,-1.5269877304901136,0.12897288771729865,0.3623150169647331,0.0552066606163541,RAF1
RNF220,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Leukodystrophy,_hypomyelinating,_23,_with_ataxia,_deafness,_liver_dysfunction,_and_dilated_cardiomyopathy",,,,RNF220,RNF220,RNF220,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,8.531341585330187,8.795941374410258,-0.26459978908006915,0.03565088609853999,-7.421969494634954,9.451484821703497e-12,2.4996568452983263e-10,0.26459978908006915,RNF220
SCO2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,,SCO2,SCO2,SCO2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,8.737118926867923,9.176286114333337,-0.4391671874654105,0.051418317287153965,-8.541064947979722,1.7938741169043864e-14,7.207108262034332e-13,0.4391671874654105,SCO2
SDHA,DCM,,ClinVar_PLP_review2plus,False,True,41,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1GG|Hereditary_cancer-predisposing_syndrome|Pheochromocytoma/paraganglioma_syndrome_5|Mitochondrial_complex_II_deficiency,_nuclear_type_1 | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Neurodegeneration_with_ataxia_and_late-onset_optic_atrophy|Pheochromocytoma/paraganglioma_syndrome_5|Hereditary_cancer-predisposing_syndrome|not_provided | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Pheochromocytoma/paraganglioma_syndrome_5",,,,SDHA,SDHA,SDHA,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.72707156792453,11.495645605538462,0.2314259623860645,0.07760192639498731,2.98221929708453,0.003365205443608365,0.018366500259853383,0.2314259623860645,SDHA
SGCB,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E,,,,SGCB,SGCB,SGCB,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.775653197575471,7.691991162615384,0.08366203496008548,0.06779138750441605,1.2341100844799142,0.21918621982279193,0.5091928135091321,0.08366203496008548,SGCB
SGCD,DCM,,ClinVar_PLP_review2plus,False,True,12,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L|Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L,,,,SGCD,SGCD,SGCD,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.769972479245285,7.727313981333336,0.04265849791194859,0.059336283835375765,0.7189276974321734,0.47335861046504546,0.7610982229441802,0.04265849791194859,SGCD
TAB2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided",,,,TAB2,,,,,,,,,,,,,,,,,TAB2
TARID,DCM,,ClinVar_PLP_review2plus,False,True,4,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss | Dilated_cardiomyopathy_1J|EYA4-related_disorder | Rare_genetic_deafness|EYA4-related_disorder|Cardiovascular_phenotype|Dilated_cardiomyopathy_1J,,,,TARID,,,,,,,,,,,,,,,,,TARID
TCAP,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy,,,,TCAP,TCAP,TCAP,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,12.652348052641512,13.048188873076922,-0.39584082043541535,0.09192036319580875,-4.3063452609754735,3.065602677440574e-05,0.0002633843335537252,0.39584082043541535,TCAP
TMEM43,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Arrhythmogenic_right_ventricular_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_5|Hypertrophic_cardiomyopathy,,,,TMEM43,TMEM43,TMEM43,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.575875342933962,10.158055223487178,-0.5821798805532185,0.0703949117023426,-8.270198320794892,8.405680381495575e-14,3.0588594203661688e-12,0.5821798805532185,TMEM43
TNNC1,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_specified|Dilated_cardiomyopathy_1Z|Hypertrophic_cardiomyopathy_13|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy,,,,TNNC1,TNNC1,TNNC1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.533106912547177,14.384952627179487,0.1481542853676785,0.050116352184916425,2.9562064856801102,0.003644292733931684,0.019742614201027558,0.1481542853676785,TNNC1
TNNI3,DCM,,ClinVar_PLP_review2plus,False,True,8,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,,TNNI3,TNNI3,TNNI3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.865921063962267,13.527495835128203,0.3384252288340567,0.05593645755592169,6.050172707052834,1.2042692131032958e-08,1.8888011868672745e-07,0.3384252288340567,TNNI3
TPM1,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,TPM1,TPM1,TPM1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.83960796103773,13.838542026153842,0.0010659348838885085,0.05258337559026981,0.020271328569589825,0.9838551849748871,0.994434887792927,0.0010659348838885085,TPM1
TSFM,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Fatal_mitochondrial_disease_due_to_combined_oxidative_phosphorylation_defect_type_3,,,,TSFM,TSFM,TSFM,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.662100177707547,7.515840178487179,0.14625999922036703,0.04853693175754973,3.013375463264978,0.003056868160550736,0.016876766215055163,0.14625999922036703,TSFM
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,ACTC1,ACTC1,ACTC1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.888996637924535,13.926970170512819,-0.03797353258829367,0.0637474719892316,-0.5956868782923386,0.5523260537857642,0.8120481730950254,0.03797353258829367,ACTC1
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,,,,,,BAG3,BAG3,BAG3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.298924770849053,11.720542688974364,-0.42161791812530525,0.0770601646403808,-5.471282342736788,1.945260897021006e-07,2.492225589324881e-06,0.42161791812530525,BAG3
CSRP3,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,,CSRP3,CSRP3,CSRP3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.7319640639717,11.634074612410258,0.09788945156143802,0.11244824597914893,0.870528932746443,0.3854704208062594,0.6921188074381123,0.09788945156143802,CSRP3
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Hypertrophic_cardiomyopathy_26|Cardiovascular_phenotype | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|Hypertrophic_cardiomyopathy_26|not_provided | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26|Cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy,,,,FLNC,FLNC,FLNC,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.227104503773578,13.570018512564106,-0.34291400879051903,0.087433501756907,-3.921997882961719,0.0001358290911976974,0.0010232061674896606,0.34291400879051903,FLNC
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,JPH2,JPH2,JPH2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.708287757575467,7.698766549871795,0.009521207703675316,0.04234076637348949,0.224870934543045,0.8224006946326319,0.94144931088439,0.009521207703675316,JPH2
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1,,,,LMNA,LMNA,LMNA,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.368632696245283,9.881569287871795,-0.5129365916265141,0.05125661299809187,-10.007227587308765,3.3818838365762513e-18,2.5909063902644696e-16,0.5129365916265141,LMNA
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_4 | Cardiomyopathy|Hypertrophic_cardiomyopathy_4|Cardiovascular_phenotype | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4,,,,MYBPC3,MYBPC3,MYBPC3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.304101427075473,14.35378205179487,-0.04968062471940249,0.06983948578629551,-0.711354388711024,0.47802342055803915,0.7641241370819705,0.04968062471940249,MYBPC3
