gene_symbol,disease_group,source_resource_layer,stratum,is_prespecified_h4_gene,MCI,Adj_MCI,MCI_tier,bootstrap_majority_tier,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_median_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,sigma_disease,sigma_GTEx,sigma_disease_to_GTEx_ratio,GTEx_low_confidence_flag,GTEx_adjustment_status,n_cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,resource_interpretation,has_DCM_generalization_entry,DCM_MCI_if_available,DCM_tier_if_available,resource_version,resource_release_date_utc,primary_data_type,resource_status
CAV3,HCM,primary_HCM_bulk_RNA_resource,,False,0.8000427752056666,1.0104845351008231,HIGH,HIGH,0.6412562876994091,1.0,0.3587437123005909,,0.763,0.237,0.0,0.2406096937029641,1.2030298080947512,0.2000031022373583,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.6667888815399998,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
ALPK3,HCM,primary_HCM_bulk_RNA_resource,,False,0.7976057316404546,0.952209059296004,HIGH,HIGH,0.6397575936793855,1.0,0.36024240632061455,,0.789,0.211,0.0,0.1853284430215791,1.2887968826114795,0.1437995742556806,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.6598258999251083,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
PMS2,HCM,primary_HCM_bulk_RNA_resource,,False,0.7754141536439366,0.9897403163246168,HIGH,HIGH,0.6746318002650559,1.0,0.32536819973494413,,0.908,0.092,0.0,0.1106295196518835,0.5238867546599433,0.2111706750893016,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.5964213913636287,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.7058383042229218,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TNNC1,HCM,primary_HCM_bulk_RNA_resource,,False,0.7751828097694213,0.8042856142880007,HIGH,HIGH,0.6743865142816066,1.0,0.32561348571839344,,0.787,0.213,0.0,0.0431896359044197,1.6381750671385276,0.0263644812882306,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.8338556469602514,0.3333333333333333,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.6575652471827559,MODERATE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
KIF5B,HCM,primary_HCM_bulk_RNA_resource,,False,0.7695246707816087,1.041203084137076,HIGH,HIGH,0.5484836045565706,1.0,0.45151639544342936,,0.774,0.226,0.0,0.2706686852640833,0.9762431109747616,0.2772554113020326,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.579594297471263,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.25,UNSTABLE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
MYL3,HCM,primary_HCM_bulk_RNA_resource,HCM_sarcomeric,True,0.7526322412963301,0.9653464993132008,HIGH,HIGH,0.6108987375679494,1.0,0.38910126243205057,,0.766,0.234,0.0,0.2850764072358427,1.3173105590017526,0.2164078965949163,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.53133021322761,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
FLNC,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.7283850847571424,0.9666235731777928,HIGH,HIGH,0.5626445724244521,1.0,0.4373554275755479,,0.748,0.252,0.0,0.5044500897403315,1.9823579418245152,0.2544697297583138,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.4620526231156447,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.7004028491452671,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
MT-TL1,HCM,primary_HCM_bulk_RNA_resource,,False,0.7086829235607361,1.023477382996277,HIGH,HIGH,0.7086829235607361,1.0,0.29131707643926386,,1.0,0.0,0.0,0.378689723917444,1.0502933935025274,0.3605561324675063,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,2,1.0,0.5248083530306746,0.5,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
LAMP2,HCM,primary_HCM_bulk_RNA_resource,,False,0.6903439971857486,0.7974002176898318,MODERATE,MODERATE,0.5810674459569171,1.0,0.41893255404308294,,0.451,0.549,0.0,0.0958734471048353,0.8448431882810553,0.1134807600211614,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.591459039578329,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",True,0.8092147798376992,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
RAF1,HCM,primary_HCM_bulk_RNA_resource,,False,0.6752302474844579,0.7890721100763475,MODERATE,MODERATE,0.6470003306746381,1.0,0.35299966932536186,,0.443,0.557,0.0,0.1420532234473193,1.145914023906225,0.1239649925594628,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.5482768975746417,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",True,0.94693862838173,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
SSUH2,HCM,primary_HCM_bulk_RNA_resource,,False,0.6571492956096299,1.7459895812163626,MODERATE,MODERATE,0.6571492956096299,1.0,0.34285070439037013,,0.465,0.535,0.0,0.7148060414612941,0.3319408192640829,2.15341410268863,False,DISEASE_VARIABILITY_EXCEEDS_GTEx_BASELINE,2,1.0,0.377569416027514,0.5,Moderate transcript concordance. Candidate for conditional follow-up with additional cohort or orthogonal evidence.,False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
CSRP3,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.6431434629210778,0.7429309961102324,MODERATE,MODERATE,0.6164098516536075,1.0,0.3835901483463925,,0.328,0.672,0.0,0.2175746481775564,1.9162485049386355,0.1135419793501803,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.4566003702506983,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",True,0.8458124798193376,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
