gene_symbol,disease_group,n_plp_variants,max_review_weight,review_status_examples,condition_examples
GATA4,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",GATA4-related_dilated_cardiomyopathy|Transposition_of_the_great_arteries|Atrioventricular_septal_defect_4|Atrial_septal_defect_2
GJD2-DT,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Primary_dilated_cardiomyopathy
KCNJ8-AS1,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Dilated_cardiomyopathy_1O|not_provided
LAMP2,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Danon_disease|Primary_dilated_cardiomyopathy
LDB3,DCM,2,2,"criteria_provided,_multiple_submitters,_no_conflicts",LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy
LMNA,DCM,82,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy"
LOC101927055,DCM,5,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Cardiovascular_phenotype|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J
LOC110121486,DCM,2,2,"criteria_provided,_multiple_submitters,_no_conflicts",LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy
LOC126805877,DCM,7,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Long_QT_syndrome|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Charcot-Marie-Tooth_disease_type_2|Dilated_cardiomyopathy_1A
LOC126806420,DCM,13,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|not_provided|Cardiovascular_phenotype | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|not_provided|Primary_dilated_cardiomyopathy
LOC126806421,DCM,11,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Early-onset_myopathy_with_fatal_cardiomyopathy | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Cardiovascular_phenotype|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J
LOC126806422,DCM,14,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G
