gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,
DES,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,
DMD,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",,,
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided,,,
DSP,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",,,
EMD,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",,,
EYA4,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss,,,
FKTN,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",,,
FLNC,DCM,,ClinVar_PLP_review2plus,False,True,19,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy,,,
GATA4,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",GATA4-related_dilated_cardiomyopathy|Transposition_of_the_great_arteries|Atrioventricular_septal_defect_4|Atrial_septal_defect_2,,,
KIF5B,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,
LAMP2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Danon_disease|Primary_dilated_cardiomyopathy,,,
LDB3,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy,,,
MHRT,DCM,,ClinVar_PLP_review2plus,False,True,3,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,
MT-TI,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,
MYBPC3,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4,,,
MYH7,DCM,,ClinVar_PLP_review2plus,False,True,66,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",,,
MYPN,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1KK|not_provided | Cardiovascular_phenotype|MYPN-related_myopathy|Dilated_cardiomyopathy_1KK | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1KK|MYPN-related_myopathy,,,
NCAPH2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,
NEXN,DCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,
NKX2-5,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Noncompaction_cardiomyopathy|Ventricular_fibrillation|Atrial_septal_defect|Primary_dilated_cardiomyopathy|not_provided|Atrial_septal_defect_7,,,
PMS2,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,
PPCS,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,
PPP1R13L,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_variable_ectodermal_abnormalities|Orofacial_cleft,,,
PSEN1,DCM,,ClinVar_PLP_review2plus,False,True,5,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Alzheimer_disease_3|Acne_inversa,_familial,_3|Pick_disease|Frontotemporal_dementia|Dilated_cardiomyopathy_1U|not_provided | Alzheimer_disease_3|Dilated_cardiomyopathy_1U|Acne_inversa,_familial,_3|Frontotemporal_dementia|Pick_disease|not_provided | Autosomal_dominant_PSEN1-related_disorders|Frontotemporal_dementia|Acne_inversa,_familial,_3|Pick_disease|Alzheimer_disease_3|PSEN1-related_disorder|Dilated_cardiomyopathy_1U|not_provided",,,
RAF1,DCM,,ClinVar_PLP_review2plus,False,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiovascular_phenotype|Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | Dilated_cardiomyopathy_1NN|LEOPARD_syndrome_2|Noonan_syndrome_5|not_provided|RASopathy|Noonan_syndrome_3 | Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,
RNF220,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Leukodystrophy,_hypomyelinating,_23,_with_ataxia,_deafness,_liver_dysfunction,_and_dilated_cardiomyopathy",,,
SCO2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",,,
SDHA,DCM,,ClinVar_PLP_review2plus,False,True,41,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1GG|Hereditary_cancer-predisposing_syndrome|Pheochromocytoma/paraganglioma_syndrome_5|Mitochondrial_complex_II_deficiency,_nuclear_type_1 | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Neurodegeneration_with_ataxia_and_late-onset_optic_atrophy|Pheochromocytoma/paraganglioma_syndrome_5|Hereditary_cancer-predisposing_syndrome|not_provided | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Pheochromocytoma/paraganglioma_syndrome_5",,,
SGCB,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E,,,
SGCD,DCM,,ClinVar_PLP_review2plus,False,True,12,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L|Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L,,,
TAB2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided",,,
TARID,DCM,,ClinVar_PLP_review2plus,False,True,4,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss | Dilated_cardiomyopathy_1J|EYA4-related_disorder | Rare_genetic_deafness|EYA4-related_disorder|Cardiovascular_phenotype|Dilated_cardiomyopathy_1J,,,
TCAP,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy,,,
TMEM43,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Arrhythmogenic_right_ventricular_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_5|Hypertrophic_cardiomyopathy,,,
TNNC1,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_specified|Dilated_cardiomyopathy_1Z|Hypertrophic_cardiomyopathy_13|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy,,,
