stratum,n_genes,mean_MCI,median_MCI,sd_MCI,min_MCI,max_MCI,n_HIGH,n_MODERATE,n_UNSTABLE
HCM_non_sarcomeric,7,0.5642361075192938,0.6431434629210778,0.25678572227279006,0.1333333333333333,0.8281811808437982,3,1,3
HCM_sarcomeric,8,0.441447827649046,0.34245846662279644,0.2940241716918781,0.1333333333333333,0.9617210925247786,2,1,5
