gene_symbol,n_cohorts_bootstrapped,n_bootstrap_iterations,MCI_bootstrap_point_estimate,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_prob_MODERATE_or_HIGH,bootstrap_majority_tier
ACTC1,3,1000,0.21666666666666667,0.21666666666666667,1.0,0.7833333333333333,0.45849333595511194,0.4574227493244788,0.2442290074947244,0.339,0.228,0.433,0.5670000000000001,UNSTABLE
ACTN2,3,1000,0.9347924185794565,0.9177188161943441,1.0,0.08228118380565586,0.9519340136821807,0.9577236529209789,0.022751378455220253,1.0,0.0,0.0,1.0,HIGH
ALPK3,3,1000,0.7976057316404546,0.6397575936793855,1.0,0.36024240632061455,0.8144570343681291,0.7985343062627502,0.11350934051896924,0.789,0.211,0.0,1.0,HIGH
BAG3,3,1000,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,0.8471164940574705,0.8281811808437982,0.09688239228921526,1.0,0.0,0.0,1.0,HIGH
CACNA1C,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.3314061101024562,0.13333333333333333,0.26387345560686715,0.125,0.217,0.658,0.34199999999999997,UNSTABLE
CASR,1,0,,,,,,,,,,,,INSUFFICIENT_COVERAGE
CAV3,3,1000,0.8000427752056666,0.6412562876994091,1.0,0.3587437123005909,0.8185351573465472,0.8000427752056666,0.12806893368401664,0.763,0.237,0.0,1.0,HIGH
CEP85L,2,1000,0.0,0.0,0.75,0.75,0.375,0.375,0.37518764074229016,0.5,0.0,0.5,0.5,UNSTABLE
COQ9,3,1000,0.21666666666666667,0.21666666666666667,1.0,0.7833333333333333,0.4212210253658579,0.3257509977888742,0.22405414914075147,0.108,0.352,0.54,0.45999999999999996,UNSTABLE
CSRP3,3,1000,0.6431434629210778,0.6164098516536075,1.0,0.3835901483463925,0.7107020814089364,0.6824805945744021,0.08783756942677866,0.328,0.672,0.0,1.0,MODERATE
DES,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.30976605726914397,0.16681621749870454,0.23887259776823275,0.091,0.221,0.688,0.312,UNSTABLE
FLNC,3,1000,0.7283850847571424,0.5626445724244521,1.0,0.4373554275755479,0.7629415990015539,0.7736751959038533,0.12856512993128205,0.748,0.252,0.0,1.0,HIGH
GLA,3,1000,0.9600291718029872,0.9509437988197817,1.0,0.04905620118021825,0.9711129268032611,0.9748475714213589,0.014229813208948741,1.0,0.0,0.0,1.0,HIGH
JPH2,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.31689348181954574,0.13333333333333333,0.2290578855911992,0.107,0.233,0.66,0.34,UNSTABLE
KCNH2,3,1000,0.8813520672732007,0.8037036585699497,1.0,0.19629634143005026,0.9042808098783424,0.8813520672732007,0.06562758319514041,1.0,0.0,0.0,1.0,HIGH
KIF5B,3,1000,0.7695246707816087,0.5484836045565706,1.0,0.45151639544342936,0.7878946592488424,0.7698187720499566,0.1611514385871427,0.774,0.226,0.0,1.0,HIGH
LAMP2,3,1000,0.6903439971857486,0.5810674459569171,1.0,0.41893255404308294,0.7205232401898026,0.6903439971857486,0.10099589886773225,0.451,0.549,0.0,1.0,MODERATE
LMNA,3,1000,0.3999888656354379,0.21666666666666667,1.0,0.7833333333333333,0.5570695182697102,0.3999888656354379,0.3032717140713474,0.358,0.0,0.642,0.358,UNSTABLE
LZTR1,3,1000,0.4113290672251504,0.21666666666666667,1.0,0.7833333333333333,0.5551979702467771,0.4113290672251504,0.2879615592430638,0.356,0.0,0.644,0.356,UNSTABLE
MRPL44,3,1000,0.3858025289641727,0.21666666666666667,1.0,0.7833333333333333,0.5472566490347283,0.3858025289641727,0.31276620940756766,0.341,0.0,0.659,0.341,UNSTABLE
MT-TI,2,1000,0.5439293516517061,0.5439293516517061,0.75,0.20607064834829392,0.6440796867489769,0.5439293516517061,0.1030464625260712,0.486,0.514,0.0,1.0,MODERATE
MT-TL1,2,1000,0.7086829235607361,0.7086829235607361,1.0,0.29131707643926386,0.792630681315443,0.75,0.12161009301208978,1.0,0.0,0.0,1.0,HIGH
MTO1,3,1000,0.21666666666666667,0.21666666666666667,1.0,0.7833333333333333,0.43874346166249756,0.44731213728366526,0.23046492987864628,0.117,0.333,0.55,0.45,UNSTABLE
MYBPC3,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.30442512890797446,0.13333333333333333,0.2553665599558807,0.093,0.216,0.691,0.309,UNSTABLE
MYH6,3,1000,0.9680603596734159,0.9617837957178976,1.0,0.03821620428210237,0.9765992011063438,0.9680941232395492,0.013908388448243318,1.0,0.0,0.0,1.0,HIGH
MYH7,3,1000,0.292774455340535,0.13333333333333333,1.0,0.8666666666666667,0.43839379649794036,0.292774455340535,0.27191511043561717,0.22,0.229,0.551,0.449,UNSTABLE
MYL2,3,1000,0.3921424779050579,0.21666666666666667,1.0,0.7833333333333333,0.5275597704035857,0.3921424779050579,0.2811334928809866,0.326,0.127,0.547,0.453,UNSTABLE
