gene_symbol,MCI_original_from_step5,MCI_bootstrap_point_estimate,MCI_original_minus_bootstrap_point,MCI_CI95_lower,MCI_CI95_upper,MCI_original_inside_bootstrap_CI,bootstrap_point_inside_bootstrap_CI,MCI_tier,bootstrap_majority_tier
MTO1,0.2166666666666666,0.21666666666666667,-8.326672684688674e-17,0.21666666666666667,1.0,False,True,UNSTABLE,UNSTABLE
NEXN,0.2166666666666666,0.21666666666666667,-8.326672684688674e-17,0.13333333333333333,1.0,True,True,UNSTABLE,UNSTABLE
TNNT2,0.2142705021088397,0.21427050210883974,-5.551115123125783e-17,0.13333333333333333,0.75,True,True,UNSTABLE,UNSTABLE
CACNA1C,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
DES,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
JPH2,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
MYBPC3,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
MYO6,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
TTN,0.1333333333333333,0.13333333333333333,-2.7755575615628914e-17,0.13333333333333333,0.75,False,True,UNSTABLE,UNSTABLE
CEP85L,0.0,0.0,0.0,0.0,0.75,True,True,UNSTABLE,UNSTABLE
CASR,,,,,,False,False,INSUFFICIENT_COHORT_COVERAGE,INSUFFICIENT_COVERAGE
RPL36A-HNRNPH2,,,,,,False,False,INSUFFICIENT_COHORT_COVERAGE,INSUFFICIENT_COVERAGE
