"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","feature_id","ensembl_gene_id","gene_symbol_de","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC","gene_symbol"
"CCDC30","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",NA,NA,NA,"CCDC30","ENSG00000186409","ENSG00000186409","CCDC30","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.1902271202361,13.2700924422196,0.479703411106443,0.10480736331048,4.57700104223952,8.43844993850358e-06,7.6011889107951e-05,2.93889388895781,8.35991394397123,0.479703411106443,"CCDC30"
"CEP85L","DCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy",NA,NA,NA,"CEP85L","ENSG00000111860","ENSG00000111860","CEP85L","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.0382166680261,13.0632122443704,-0.251257750274718,0.145740492778272,-1.72400782709703,0.0863095771550907,0.180152603742461,-5.4946525663462,12.0717542457727,0.251257750274718,"CEP85L"
"CSRP3","DCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M",NA,NA,NA,"CSRP3","ENSG00000129170","ENSG00000129170","CSRP3","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.9256400679574,13.8305223886307,0.491163839430456,0.124245577498039,3.95316959622332,0.000108213450585529,0.000705832930514085,0.519417231251344,17.6684321179989,0.491163839430456,"CSRP3"
"DES","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",NA,NA,NA,"DES","ENSG00000175084","ENSG00000175084","DES","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.58015597920342,8.51091741257076,-0.0469256860362233,0.102130443969692,-0.459468148891518,0.6464157414334,0.760947999363625,-6.85886577677493,19.9874224367533,0.0469256860362233,"DES"
"DMD","DCM","","ClinVar_PLP_review2plus","False","True",43,2,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",NA,NA,NA,"DMD","ENSG00000198947","ENSG00000198947","DMD","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,5.6127346825759,5.76034633025774,-0.0601773054183855,0.17350759942415,-0.346828067578056,0.729098801214488,0.823759157725128,-6.90407298594472,15.4156750356514,0.0601773054183855,"DMD"
"DSG2","DCM","","ClinVar_PLP_review2plus","False","True",8,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided",NA,NA,NA,"DSG2","ENSG00000046604","ENSG00000046604","DSG2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.5687950437391,11.5674241794109,-0.208340818861522,0.141531083908767,-1.47204990668921,0.142638100208378,0.264444853281319,-5.8905095843907,13.830654710244,0.208340818861522,"DSG2"
"DSP","DCM","","ClinVar_PLP_review2plus","False","True",44,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",NA,NA,NA,"DSP","ENSG00000096696","ENSG00000096696","DSP","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.1775587058654,11.8180673263548,-0.500373410753422,0.135683585855582,-3.68779618844984,0.000294084872380783,0.00168496766830578,-0.418970853823118,16.6488593906628,0.500373410753422,"DSP"
"EMD","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",NA,NA,NA,"EMD","ENSG00000102119","ENSG00000102119","EMD","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.8698356405304,11.9306185518473,0.154871290656537,0.0926246550762363,1.67203095686637,0.0961405469522076,0.195718721220007,-5.58128356226811,13.0117242098538,0.154871290656537,"EMD"
"EYA4","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss",NA,NA,NA,"EYA4","ENSG00000112319","ENSG00000112319","EYA4","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.4765113450661,13.5182951928122,-0.505558901775082,0.156570562688503,-3.22895244862146,0.00146052250064772,0.00652571878863905,-1.90655278956838,12.4902301407162,0.505558901775082,"EYA4"
"FKTN","DCM","","ClinVar_PLP_review2plus","False","True",42,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",NA,NA,NA,"FKTN","ENSG00000106692","ENSG00000106692","FKTN","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.1062974504116,13.3238506480089,-0.0205831995323272,0.109773928842676,-0.187505355318259,0.851461636873992,0.908374366028976,-6.9464675294328,12.1408216135686,0.0205831995323272,"FKTN"
