gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction,matched_in_DE
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.1218955742620339,0.1068435604452356,-1.1408789987349164,0.2553413141057784,0.3959073490821001,18.380249989217386,18.502145563479427,28.0,166.0,0.1218955742620339,down_in_HCM,True
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,,,,,,GSE141910,HCM_vs_Control,0.15092501604686603,0.11083885740622776,1.361661601163221,0.17490033958688397,0.29892435009267365,15.52855831843526,15.37763330238839,28.0,166.0,0.15092501604686603,up_in_HCM,True
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy,_familial_restrictive,_1|Hypertrophic_cardiomyopathy_7 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,,GSE141910,HCM_vs_Control,0.5216546375856148,0.15747278821124602,3.3126652770371185,0.0011042959767472642,0.004833735557369648,17.609821521056393,17.088166883470787,28.0,166.0,0.5216546375856148,up_in_HCM,True
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3",,,,GSE141910,HCM_vs_Control,-0.09269144369422044,0.08021563848797401,-1.1555283413734445,0.24931008714036768,0.3882794349482314,19.4565828020334,19.549274245727613,28.0,166.0,0.09269144369422044,down_in_HCM,True
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,0.011025191717739413,0.07295486764346977,0.15112345582777964,0.8800369905726534,0.9251632485219495,19.425579950626446,19.414554758908714,28.0,166.0,0.011025191717739413,up_in_HCM,True
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,,GSE141910,HCM_vs_Control,0.16181425220488266,0.0630146083317134,2.567884757024607,0.010992600295750138,0.03307965040234433,18.826798233703677,18.664983981498814,28.0,166.0,0.16181425220488266,up_in_HCM,True
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_familial_hypertrophic_27|Cardiovascular_phenotype|not_provided|Primary_familial_hypertrophic_cardiomyopathy | Cardiomyopathy,_familial_hypertrophic_27|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy",,,,GSE141910,HCM_vs_Control,0.31895085045002025,0.11981583854758576,2.6620090825750595,0.00842603400108294,0.026551688078646545,16.114957980990198,15.796007130540188,28.0,166.0,0.31895085045002025,up_in_HCM,True
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Long_QT_syndrome_8|Cardiac_arrhythmia|Long_QT_syndrome|not_provided|Hypertrophic_cardiomyopathy_1|Timothy_syndrome,,,,GSE141910,HCM_vs_Control,-0.08167686505851574,0.08880587736611419,-0.9197236430849263,0.3588712483787362,0.5053459664741419,14.305316669453395,14.38699353451191,28.0,166.0,0.08167686505851574,down_in_HCM,True
CASR,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_hypocalcemia_1|Familial_hypocalciuric_hypercalcemia|Hypertrophic_cardiomyopathy|Hypercalcemia|Hypocalciuria|Parathyroid_gland_adenoma|Familial_hypocalciuric_hypercalcemia_1|Neonatal_severe_primary_hyperparathyroidism|Epilepsy,_idiopathic_generalized,_susceptibility_to,_8|not_provided",,,,,,,,,,,,,,,,,False
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome | Hypertrophic_cardiomyopathy_1|Long_QT_syndrome_9|Rippling_muscle_disease_2|Distal_myopathy,_Tateyama_type|Elevated_circulating_creatine_kinase_activity|Long_QT_syndrome|not_provided",,,,GSE141910,HCM_vs_Control,0.08484288059387579,0.15688389444565512,0.5408004492345486,0.5892719801673201,0.710835483732169,12.373053366765031,12.288210486171161,28.0,166.0,0.08484288059387579,up_in_HCM,True
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.27298912456874375,0.1428989449795317,-1.9103648708382392,0.05757644629412513,0.12686416927435593,11.838165613409801,12.111154737978547,28.0,166.0,0.27298912456874375,down_in_HCM,True
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided | not_provided|Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome,,,,GSE141910,HCM_vs_Control,-0.28583474229310785,0.09130820421870282,-3.1304387676760355,0.002018096327468796,0.008067591731900199,14.87296848436365,15.158803226656762,28.0,166.0,0.28583474229310785,down_in_HCM,True
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,,GSE141910,HCM_vs_Control,-0.048236743099752344,0.10104274522333319,-0.4773894750497468,0.6336277856238137,0.7465379746231569,19.946147697812318,19.994384440912068,28.0,166.0,0.048236743099752344,down_in_HCM,True
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.4111015190743852,0.07585683464000581,-5.419439408793576,1.7791240835869123e-07,2.316239392365999e-06,10.911014526873727,11.322116045948114,28.0,166.0,0.4111015190743852,down_in_HCM,True
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Congenital_long_QT_syndrome|not_provided|Long_QT_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.710044935498903,0.12287024846123852,-5.778819074520701,2.996600692943108e-08,4.693406821358356e-07,13.220750733120582,13.930795668619497,28.0,166.0,0.710044935498903,down_in_HCM,True
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,0.010465315171282297,0.08896370791004765,0.11763577999541017,0.9064792221451494,0.9424187027333718,15.796642535601336,15.786177220430055,28.0,166.0,0.010465315171282297,up_in_HCM,True
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy|not_provided | Cardiovascular_phenotype|not_provided|Danon_disease|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.2152729454452217,0.07330730997928965,-2.936582252247959,0.0037242277177364403,0.01352381066093049,14.097838308087855,14.313111253533084,28.0,166.0,0.2152729454452217,down_in_HCM,True
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Hereditary_cancer-predisposing_syndrome|Cardiovascular_phenotype|LZTR1-related_disorder|not_provided|Hypertrophic_cardiomyopathy_1,,,,GSE141910,HCM_vs_Control,0.08971149571275294,0.10965444799665472,0.8181291078633656,0.41429764765226706,0.5589485753524575,12.608918181181926,12.519206685469175,28.0,166.0,0.08971149571275294,up_in_HCM,True
MHRT,HCM,,ClinVar_PLP_review2plus,False,True,9,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Cardiomyopathy|not_specified|not_provided|Hypertrophic_cardiomyopathy_1|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|MYH7-related_skeletal_myopathy|Abnormality_of_the_musculature|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|Congenital_muscular_dystrophy | Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,,,,,,,,,,,,,,,False
MRPL44,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Infantile_hypertrophic_cardiomyopathy_due_to_MRPL44_deficiency|not_provided,,,,GSE141910,HCM_vs_Control,-0.05494705245016679,0.054957319595155596,-0.9998131796626102,0.31865931325671093,0.46429559785310004,13.217004711646345,13.271951764096517,28.0,166.0,0.05494705245016679,down_in_HCM,True
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,,GSE141910,HCM_vs_Control,-0.03429403221443528,0.22183376091758059,-0.1545933859327065,0.8773042703089982,0.9235490706374664,10.234348329313475,10.268642361527915,28.0,166.0,0.03429403221443528,down_in_HCM,True
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,"Maternally-inherited_mitochondrial_myopathy|Hypertrophic_cardiomyopathy|MELAS_syndrome|Diabetes-deafness_syndrome_maternally_transmitted|Leigh_Syndrome_(mtDNA_mutation)|Auditory_neuropathy_spectrum_disorder|MT-TL1-related_disorders|MT-TL1-related_disorder|Leigh_syndrome,_mitochondrial|Short_stature|Sensorineural_hearing_loss_disorder|Glucose_intolerance|Stroke_disorder|not_specified|MERRF_syndrome|not_provided|Mitochondrial_disease|Age_related_macular_degeneration_2|MERRF/MELAS_overlap_syndrome|Histiocytoid_cardiomyopathy|Cyclical_vomiting_syndrome|3-methylglutaconic_aciduria_type_1|Leigh_syndrome|Focal_segmental_glomerulosclerosis_1|Cerebral_palsy|Mitochondrial_complex_IV_deficiency,_nuclear_type_1|See_cases",,,,GSE141910,HCM_vs_Control,-0.6662340681855963,0.23863791132836917,-2.7918198934822587,0.005771153093865554,0.01936935410201831,11.333164411651879,11.999398479837478,28.0,166.0,0.6662340681855963,down_in_HCM,True
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | Inborn_genetic_diseases|not_provided|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | MTO1-related_disorder|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency|not_provided,,,,GSE141910,HCM_vs_Control,-0.20217441041162115,0.058652277888201716,-3.4470001454502732,0.0006964022273095425,0.0032713764106017664,12.387126445835534,12.58930085624715,28.0,166.0,0.20217441041162115,down_in_HCM,True
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",MYH6-related_disorder|Hypertrophic_cardiomyopathy_14|Abnormal_heart_morphology|not_provided,,,,GSE141910,HCM_vs_Control,-2.743184915210445,0.24245553873143125,-11.314177145893456,4.5344618810745716e-23,1.499044514363099e-20,15.784003453766685,18.527188368977118,28.0,166.0,2.743184915210445,down_in_HCM,True
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Progressive_sensorineural_hearing_loss-hypertrophic_cardiomyopathy_syndrome|Rare_genetic_deafness|not_provided,,,,GSE141910,HCM_vs_Control,-0.06034744560405414,0.0914961332247167,-0.6595627976522174,0.5103247814804963,0.6450664126415696,12.253690295036849,12.314037740640904,28.0,166.0,0.06034744560405414,down_in_HCM,True
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,,GSE141910,HCM_vs_Control,-0.20833526239159128,0.10839159634054363,-1.9220610215670746,0.056078480177954436,0.12428838782886036,17.015684411373623,17.22401967376522,28.0,166.0,0.20833526239159128,down_in_HCM,True
