gene_symbol_target,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,gene_symbol_upper,feature_id,gene_symbol_de,cohort,disease,comparison,model,model_formula,normalization,transformation,n_samples,n_hcm,n_control,mean_log2CPM_hcm,mean_log2CPM_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC,gene_symbol
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,,CCDC30,CCDC30,CCDC30,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,1.502996776091141,1.1578170975338085,0.34517967855733234,0.060699058414069286,5.686738601489146,9.554819290606222e-08,7.125633966080482e-07,0.34517967855733234,CCDC30
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,,CEP85L,CEP85L,CEP85L,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,3.5359649098474693,3.486896019589575,0.049068890257891185,0.1386272628648122,0.35396277214058997,0.7239984679491468,0.7846332776664519,0.049068890257891185,CEP85L
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,,CSRP3,CSRP3,CSRP3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,10.901499231434613,10.848864639369491,0.05263459206511922,0.12883872683134603,0.40853083043904626,0.6836244272699467,0.7508529520420693,0.05263459206511922,CSRP3
DES,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,,DES,DES,DES,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,12.905252955135131,13.105654601594866,-0.20040164645973135,0.11458830872076518,-1.7488838843767267,0.08291141105778987,0.13016129266943582,0.20040164645973135,DES
DMD,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",,,,DMD,DMD,DMD,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,7.7815344314021715,7.296589310691337,0.4849451207108333,0.14294271778432652,3.392583604311509,0.0009430076639326474,0.002653162540337436,0.4849451207108333,DMD
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided,,,,DSG2,DSG2,DSG2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,5.786948346088546,5.7129571956430425,0.07399115044549931,0.12893247939863917,0.573875184830117,0.5671445117996187,0.6489031986510095,0.07399115044549931,DSG2
DSP,DCM,,ClinVar_PLP_review2plus,False,True,44,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",,,,DSP,DSP,DSP,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,8.644548357144682,8.795505112017876,-0.15095675487319715,0.13137747406597153,-1.149030729555615,0.2528670551880964,0.3336563294486254,0.15095675487319715,DSP
EMD,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",,,,EMD,EMD,EMD,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,4.790179571864663,5.108274958688789,-0.3180953868241241,0.08172531300503608,-3.892250456165551,0.00016494642624541076,0.0005700900069359839,0.3180953868241241,EMD
EYA4,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss,,,,EYA4,EYA4,EYA4,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,4.161555016566697,4.359029380990755,-0.19747436442405752,0.1400040267944265,-1.4104906047739398,0.1610255971971157,0.22839138745667265,0.19747436442405752,EYA4
FKTN,DCM,,ClinVar_PLP_review2plus,False,True,42,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",,,,FKTN,FKTN,FKTN,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120.0,97.0,23.0,3.900123056476732,3.7391143408656604,0.16100871561107266,0.10517735179983502,1.5308306670193728,0.12848777981267986,0.18903482414385717,0.16100871561107266,FKTN
