feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,normalization,transformation,n_samples,n_hcm,n_control,mean_log2CPM_hcm,mean_log2CPM_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
HCP5,HCP5,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.642580110956794,3.75487133154842,-0.11229122059162544,0.08921406362152953,-1.258671738886321,0.21063345412762977,0.28648032356685016,0.11229122059162544
DNTTIP1,DNTTIP1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.057188692367835,3.947902520995691,0.1092861713721418,0.08684444616700453,1.258412900255949,0.21072667128290848,0.28658247827819106,0.1092861713721418
GGTA1P,GGTA1P,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.5602721738945684,3.3124569048161545,0.24781526907841478,0.19704621024684713,1.2576505215094844,0.21100140705349824,0.2869314545479174,0.24781526907841478
ZNF326,ZNF326,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.336267938165443,4.208633642379385,0.12763429578605667,0.10154119758652246,1.25697055795802,0.2112466644123483,0.2872402879104583,0.12763429578605667
RP11-139J15.7,RP11-139J15.7,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.0112604953643158,0.9378916605008562,0.07336883486345958,0.05839121741002084,1.256504627198753,0.21141484236381647,0.2874442693513539,0.07336883486345958
TCAP,TCAP,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,10.705741658640802,10.913233309885182,-0.2074916512443834,0.16514797424475727,-1.256398403875489,0.21145319744653557,0.2874654271256884,0.2074916512443834
SERGEF,SERGEF,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.3165998956956755,3.391785978939145,-0.07518608324347031,0.05984433441623711,-1.2563609233336321,0.21146673212417946,0.2874654271256884,0.07518608324347031
ZNF525,ZNF525,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.030651460501234,2.1290752761905476,-0.09842381568931313,0.07834865865903701,-1.2562284712191507,0.21151456726831047,0.28749617861420207,0.09842381568931313
TOM1L2,TOM1L2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,7.874971101119835,7.742447096486004,0.13252400463383207,0.10549613799825094,1.2561976878815149,0.2115256858197756,0.28749617861420207,0.13252400463383207
PCSK2,PCSK2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.0112955482929173,1.174167843060194,-0.16287229476727655,0.12966389926750244,-1.2561113439235982,0.21155687444649293,0.2875089575252187,0.16287229476727655
NDST1,NDST1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,6.239889711094642,6.371961031063679,-0.13207131996903887,0.10514637484204331,-1.2560710739428125,0.21157142166932244,0.2875089575252187,0.13207131996903887
ST6GALNAC6,ST6GALNAC6,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.375793648233332,5.509725770451749,-0.13393212221842,0.10667394011516329,-1.2555280331243905,0.21176766254019758,0.28774656809151666,0.13393212221842
PCYT1A,PCYT1A,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,7.035691423336328,6.941161138182525,0.09453028515380235,0.07529374228780432,1.2554866086011223,0.21178263775622305,0.28774656809151666,0.09453028515380235
STAT1,STAT1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.733521299747138,5.902890858336226,-0.16936955858908775,0.13493012850601518,-1.2552389926875172,0.21187216857303479,0.2878435007156708,0.16936955858908775
SPATA24,SPATA24,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.911755344064046,2.827704053063445,0.08405129100059949,0.06696399012243219,1.2551714861513792,0.2118965818063196,0.28785195739629305,0.08405129100059949
NAA30,NAA30,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.535461918045082,4.373908176847645,0.16155374119743815,0.1287802810851819,1.2544912919593503,0.21214268383136886,0.28816154101066377,0.16155374119743815
SRPK2,SRPK2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.513821231238993,4.648928534538976,-0.1351073032999851,0.10774232213679927,-1.2539854406371604,0.21232584217430134,0.2883855800077663,0.1351073032999851
TRPT1,TRPT1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.58135869021693,4.729179699143618,-0.14782100892669148,0.1178889987471674,-1.253899943994929,0.21235681017286684,0.2884028900537021,0.14782100892669148
SIRT3,SIRT3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.022098394320306,4.926720142170815,0.0953782521494887,0.07607532483732951,1.2537344053861654,0.2124167798077284,0.2884595810225768,0.0953782521494887
ATXN2,ATXN2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.96148888359554,4.876944867975893,0.08454401561964664,0.0674441095186805,1.2535418767183788,0.21248654270758027,0.2885295602651365,0.08454401561964664
RNF44,RNF44,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.8810495819465345,4.016534773118663,-0.1354851911721291,0.10810833194907116,-1.253235423482021,0.21259762082336328,0.2886556234686468,0.1354851911721291
RP11-468E2.11,RP11-468E2.11,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.4167990826707664,1.3294681031944628,0.08733097947630358,0.0696909356822125,1.2531181942301488,0.2126401233783753,0.2886885641748449,0.08733097947630358
MTATP8P2,MTATP8P2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.490945618514027,1.6155162938551686,-0.12457067534114216,0.0994851491445167,-1.252153476296096,0.2129901268595937,0.2891389387270484,0.12457067534114216
MUM1,MUM1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.083975059148737,4.208620769049622,-0.12464570990088486,0.09955934604711703,-1.2519739718046718,0.21305529825315056,0.2892026031524454,0.12464570990088486
FAM173A,FAM173A,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.0019499926162292,1.1656838795589257,-0.1637338869426967,0.1308324352030032,-1.2514777905696146,0.21323551902141502,0.2894224120096839,0.1637338869426967
RP11-140K17.3,RP11-140K17.3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.5239006587350157,2.4044514202552456,0.11944923847976979,0.09546943491933967,1.2511778097428796,0.21334453077895643,0.2895455401858987,0.11944923847976979
KTN1,KTN1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,7.982514845670023,7.789435817998797,0.19307902767122576,0.1543764398968772,1.2507026836491484,0.2135172729260296,0.2897551330241249,0.19307902767122576
GSTK1,GSTK1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,7.444545125694242,7.360738187442121,0.08380693825211893,0.06701084941200605,1.2506473054362388,0.21353741349684288,0.2897576186230846,0.08380693825211893
LRRN4CL,LRRN4CL,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.92267693397439,1.7923921260942606,0.1302848078801289,0.10420560822612662,1.2502667572114765,0.21367585310474865,0.28992061481788,0.1302848078801289
CHSY3,CHSY3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.034461281657349,0.9258485588650487,0.10861272279230032,0.08690128562557958,1.2498402297552422,0.2138310974299054,0.2901063821625103,0.10861272279230032
MDN1,MDN1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.763168681462159,5.661994154623022,0.10117452683913908,0.08099719403885852,1.2491115036725895,0.21409652443184699,0.29041022049623905,0.10117452683913908
MMRN1,MMRN1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.1028785886841328,1.3784663071192795,-0.2755877184351476,0.2206308483965924,-1.2490896918447603,0.21410447275459352,0.29041022049623905,0.2755877184351476
ALKBH4,ALKBH4,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.266973903875666,2.160629500249159,0.10634440362650616,0.08513857665865988,1.2490742481268544,0.21411010064135708,0.29041022049623905,0.10634440362650616
FAM76A,FAM76A,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.5309218650659475,3.434834863449281,0.09608700161666672,0.07693364788617639,1.2489593858701173,0.2141519612956562,0.2904421063900124,0.09608700161666672
CHCHD3P3,CHCHD3P3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.288258094157449,1.2118551303823615,0.07640296377508726,0.061179707146946656,1.2488285305383382,0.214199657785484,0.2904672612418859,0.07640296377508726
DDX26B,DDX26B,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.041592669436805,2.9160085019522386,0.1255841674845679,0.1005632475471525,1.2488077955684904,0.21420721634993364,0.2904672612418859,0.1255841674845679
MAMLD1,MAMLD1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.452620139344362,2.3176426376513772,0.13497750169298434,0.10810689742622405,1.2485558729968893,0.21429906580468364,0.2905669135902093,0.13497750169298434
TRAF1,TRAF1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.2624527392841136,3.1294657802538457,0.13298695903026825,0.10653016483422931,1.248350260578383,0.21437405217136946,0.2906254549121842,0.13298695903026825
PIK3CB,PIK3CB,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.733899706428043,4.867814351604901,-0.13391464517685892,0.1072744528716269,-1.2483367809585735,0.2143789688262883,0.2906254549121842,0.13391464517685892
DYNLRB1,DYNLRB1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,6.080374818252643,6.191309460994622,-0.11093464274197729,0.08889467778777957,-1.2479334590403068,0.21452611750198614,0.2908000287440199,0.11093464274197729
UQCRBP1,UQCRBP1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.271349255695266,2.400612686541061,-0.12926343084579528,0.10358916369656157,-1.2478470356652365,0.21455765795001716,0.29081787381954194,0.12926343084579528
TP53TG1,TP53TG1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.4804396013663825,2.579176564100813,-0.09873696273443122,0.07913528149147454,-1.247698382738026,0.21461191716440947,0.2908665068976573,0.09873696273443122
ZNF319,ZNF319,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.823740170843691,2.9382245521358072,-0.11448438129211619,0.09176791294285358,-1.247542606350967,0.21466878723390534,0.29091866987187753,0.11448438129211619
RP11-418J17.1,RP11-418J17.1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.149479293497842,2.0649089348058625,0.08457035869197915,0.06779533950605682,1.2474361705117454,0.21470765062778716,0.29094642339544136,0.08457035869197915
CCDC142,CCDC142,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.775510255468152,4.926162771357936,-0.15065251588978557,0.12079774713519724,-1.247146734625562,0.21481335962257944,0.29106474566669027,0.15065251588978557
ARRB1,ARRB1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.9701849135427256,4.086440880340445,-0.11625596679771899,0.09324465449948881,-1.2467842518345793,0.21494580069422303,0.2912192656268105,0.11625596679771899
PBXIP1,PBXIP1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.968186528815542,5.829118145200581,0.13906838361495732,0.11155942861937398,1.246585656954557,0.21501838697495065,0.29129267182550667,0.13906838361495732
ROR1,ROR1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.124855292269748,3.9659832639205286,0.15887202834921998,0.1274608107372856,1.246438237998323,0.2150722800616562,0.29134074332412657,0.15887202834921998
CCT8,CCT8,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,6.828099733556126,6.938656619138686,-0.11055688558256116,0.08871277272670276,-1.2462341350005315,0.21514691184368573,0.291401149210091,0.11055688558256116
VEZF1,VEZF1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.653622274171927,5.74653248022505,-0.09291020605312239,0.07455387951016514,-1.2462155780968371,0.21515369825097394,0.291401149210091,0.09291020605312239
GLMN,GLMN,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.5917064982030196,2.470085341756707,0.12162115644631222,0.09760273042092303,1.2460835462471895,0.2152019878585183,0.2914416104611424,0.12162115644631222
