"mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC"
222.940317747606,-4.97639885647923,0.207279771048877,-24.0081259801555,2.28722453225048e-127,7.33375674020794e-123,"SLC11A1","SLC11A1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.97639885647923
480.674714887881,-6.95869731722657,0.306528044545153,-22.7016660989449,4.31336374174417e-114,6.91518475076425e-110,"IL1RL1","IL1RL1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,6.95869731722657
1967.54453815518,-7.38479498765203,0.325689730155682,-22.6743256046853,8.03028081202995e-114,8.58276413189761e-110,"RP11-766F14.2","RP11-766F14.2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,7.38479498765203
146.082147530822,-4.42850920420989,0.214630658930817,-20.6331622251476,1.3830356108319e-94,1.10864134564285e-90,"MT1M","MT1M","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.42850920420989
2795.03595739983,-5.31579697568776,0.264704695331824,-20.0819897396383,1.06060356870461e-89,6.80143856538891e-86,"SERPINA3","SERPINA3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,5.31579697568776
349.375748107366,-3.78685782782424,0.191604271173973,-19.7639530926002,6.08475945933759e-87,3.25169545507001e-83,"METTL7B","METTL7B","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.78685782782424
240.484269055968,-3.3627775381081,0.170749391127008,-19.6942285762342,2.41649849504129e-86,1.1068943963572e-82,"SLA","SLA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.3627775381081
296.556989694387,5.04429975946663,0.263715239574754,19.1278280602997,1.4811799480926e-81,5.93656923195512e-78,"SEZ6L","SEZ6L","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,5.04429975946663
55926.8130981923,-3.12688632993162,0.166500876220595,-18.7799992463034,1.10081639309829e-78,3.92184186981151e-75,"MYH6","MYH6","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.12688632993162
1451.80832418444,-3.86856590333256,0.207828594519976,-18.6142138538146,2.46450524166008e-77,7.52584003706098e-74,"CD163","CD163","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.86856590333256
70.4882524014955,-5.6169234023148,0.301794932421436,-18.6117220632159,2.58184382508953e-77,7.52584003706098e-74,"MT1A","MT1A","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,5.6169234023148
440.904817216152,-4.86826959501435,0.275068447075072,-17.6983934245489,4.31440300254584e-70,1.15280848228025e-66,"S100A9","S100A9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.86826959501435
