"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol_de","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC","gene_symbol"
"CCDC30","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",NA,NA,NA,"CCDC30",93.4172615201815,0.627569076363275,0.0895353835762473,7.00917392986701,2.39729289946104e-12,4.27037775157327e-11,"CCDC30","CCDC30","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.627569076363275,"CCDC30"
"CEP85L","DCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy",NA,NA,NA,"CEP85L",627.994273727031,-0.179428646323231,0.161447512964708,-1.11137448343632,0.266407190912417,0.386449519065134,"CEP85L","CEP85L","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.179428646323231,"CEP85L"
"CSRP3","DCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M",NA,NA,NA,"CSRP3",112586.282239306,-0.295293228473147,0.148423104441051,-1.98953680146495,0.046641983956108,0.0960457628648543,"CSRP3","CSRP3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.295293228473147,"CSRP3"
"DES","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",NA,NA,NA,"DES",446723.791932215,-0.10966191467971,0.115618932627308,-0.948477141137431,0.342886604487822,0.469200925499212,"DES","DES","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.10966191467971,"DES"
"DMD","DCM","","ClinVar_PLP_review2plus","False","True",43,2,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided",NA,NA,NA,"DMD",11963.4530287118,0.520670802221976,0.13163947597005,3.95527860001841,7.6445514488344e-05,0.000362971860884683,"DMD","DMD","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.520670802221976,"DMD"
"DSG2","DCM","","ClinVar_PLP_review2plus","False","True",8,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided",NA,NA,NA,"DSG2",3038.56665411996,0.067928235872667,0.115863584118752,0.58627770225928,0.557688912694517,0.670029125323629,"DSG2","DSG2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.067928235872667,"DSG2"
"DSP","DCM","","ClinVar_PLP_review2plus","False","True",44,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy",NA,NA,NA,"DSP",23053.2596219044,-0.120416745802774,0.113951723768601,-1.05673474538482,0.290632662955204,0.413393478277263,"DSP","DSP","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.120416745802774,"DSP"
"EMD","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_3C|X-linked_Emery-Dreifuss_muscular_dystrophy|not_provided",NA,NA,NA,"EMD",1538.09273749044,-0.260012188109098,0.0857643276420469,-3.03170555005463,0.00243176289736066,0.00777155841133978,"EMD","EMD","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.260012188109098,"EMD"
"EYA4","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_nonsyndromic_hearing_loss_10|Dilated_cardiomyopathy_1J | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10 | Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss",NA,NA,NA,"EYA4",1017.25763691628,-0.336638716945224,0.143365933489766,-2.3481081505967,0.0188690415830498,0.0448858928198611,"EYA4","EYA4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.336638716945224,"EYA4"
"FKTN","DCM","","ClinVar_PLP_review2plus","False","True",42,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Walker-Warburg_congenital_muscular_dystrophy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A1|FKTN-related_disorder|Cardiovascular_phenotype|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|not_provided | Cardiomyopathy|Walker-Warburg_congenital_muscular_dystrophy|Dilated_cardiomyopathy_1X|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2M|Muscular_dystrophy-dystroglycanopathy_(congenital_without_intellectual_disability),_type_B4",NA,NA,NA,"FKTN",754.750649377639,0.265867708945957,0.0958116463171054,2.77489970338283,0.00552187340088457,0.0157129347467131,"FKTN","FKTN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.265867708945957,"FKTN"
