"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol_de","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC","gene_symbol"
"FLNC","DCM","","ClinVar_PLP_review2plus","False","True",19,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy",NA,NA,NA,"FLNC",88585.458505379,-1.62014792212368,0.209746523442732,-7.72431359305004,1.12457676371316e-14,2.68691723932181e-13,"FLNC","FLNC","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.62014792212368,"FLNC"
"GATA4","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","GATA4-related_dilated_cardiomyopathy|Transposition_of_the_great_arteries|Atrioventricular_septal_defect_4|Atrial_septal_defect_2",NA,NA,NA,"GATA4",4340.34076851946,0.362536416890524,0.0928997644819368,3.90244710427672,9.52250524555827e-05,0.000442122224433218,"GATA4","GATA4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.362536416890524,"GATA4"
"KIF5B","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy",NA,NA,NA,"KIF5B",10078.750256702,0.573321374913781,0.120353299427279,4.76365315817701,1.90119183758733e-06,1.29097448285473e-05,"KIF5B","KIF5B","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.573321374913781,"KIF5B"
"LAMP2","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","not_provided|Danon_disease|Primary_dilated_cardiomyopathy",NA,NA,NA,"LAMP2",2548.39093851944,-0.0307235990684889,0.0874856837393932,-0.351184305308853,0.725450083767606,0.808341377742721,"LAMP2","LAMP2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0307235990684889,"LAMP2"
"LDB3","DCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy",NA,NA,NA,"LDB3",75789.2138350256,0.0780725586478532,0.098172934947802,0.795255420339261,0.426464939734672,0.551288978699102,"LDB3","LDB3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0780725586478532,"LDB3"
"MHRT","DCM","","ClinVar_PLP_review2plus","False","True",3,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",NA,NA,NA,"MHRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MHRT"
"MT-TI","DCM","","ClinVar_PLP_review2plus","False","True",1,3,"reviewed_by_expert_panel","Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome",NA,NA,NA,"MT-TI",3640.07384761369,-0.371733802202506,0.211585078622173,-1.75689989399635,0.0789348737259815,0.148409041348063,"MT-TI","MT-TI","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.371733802202506,"MT-TI"
"MYBPC3","DCM","","ClinVar_PLP_review2plus","False","True",7,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4",NA,NA,NA,"MYBPC3",144154.97607711,0.0874487830243299,0.149394240535476,0.58535578554358,0.558308511936294,0.670522291060204,"MYBPC3","MYBPC3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0874487830243299,"MYBPC3"
"MYH7","DCM","","ClinVar_PLP_review2plus","False","True",66,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",NA,NA,NA,"MYH7",1046004.85290271,0.449774081278351,0.125411299778476,3.58639199237088,0.000335284841404966,0.00136031546941779,"MYH7","MYH7","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.449774081278351,"MYH7"
"MYPN","DCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1KK|not_provided | Cardiovascular_phenotype|MYPN-related_myopathy|Dilated_cardiomyopathy_1KK | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1KK|MYPN-related_myopathy",NA,NA,NA,"MYPN",16021.1170958358,0.0974498851154725,0.113849819703059,0.855951158900729,0.39202479556491,0.517747880591205,"MYPN","MYPN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0974498851154725,"MYPN"
"NCAPH2","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",NA,NA,NA,"NCAPH2",882.31592142632,-0.202311181967842,0.127426480983012,-1.58766985015315,0.11236101412675,0.197205296237348,"NCAPH2","NCAPH2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.202311181967842,"NCAPH2"
"NEXN","DCM","","ClinVar_PLP_review2plus","False","True",3,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure",NA,NA,NA,"NEXN",25626.218929434,0.32933136870124,0.135961460265709,2.42224059713414,0.0154251340933047,0.0378041351041597,"NEXN","NEXN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.32933136870124,"NEXN"
"NKX2-5","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Noncompaction_cardiomyopathy|Ventricular_fibrillation|Atrial_septal_defect|Primary_dilated_cardiomyopathy|not_provided|Atrial_septal_defect_7",NA,NA,NA,"NKX2-5",1575.8024962556,-0.376161925064874,0.14749827923109,-2.55028009157673,0.0107636405341684,0.0278296633731411,"NKX2-5","NKX2-5","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.376161925064874,"NKX2-5"
"PMS2","DCM","","ClinVar_PLP_review2plus","False","True",1,3,"reviewed_by_expert_panel","Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma",NA,NA,NA,"PMS2",288.553617952466,0.35002442599817,0.067369481586959,5.19559328278882,2.04067975537588e-07,1.64196626540457e-06,"PMS2","PMS2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.35002442599817,"PMS2"
"PPCS","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",NA,NA,NA,"PPCS",1412.49043742893,0.434697937228032,0.053091295703605,8.1877439882959,2.66168252789417e-16,7.92425149251612e-15,"PPCS","PPCS","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.434697937228032,"PPCS"
"PPP1R13L","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Primary_dilated_cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_variable_ectodermal_abnormalities|Orofacial_cleft",NA,NA,NA,"PPP1R13L",2241.80152475424,0.255452133387059,0.108999762903064,2.34360265181712,0.01909850590447,0.04535099558031,"PPP1R13L","PPP1R13L","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.255452133387059,"PPP1R13L"
"PSEN1","DCM","","ClinVar_PLP_review2plus","False","True",5,2,"criteria_provided,_multiple_submitters,_no_conflicts","Alzheimer_disease_3|Acne_inversa,_familial,_3|Pick_disease|Frontotemporal_dementia|Dilated_cardiomyopathy_1U|not_provided | Alzheimer_disease_3|Dilated_cardiomyopathy_1U|Acne_inversa,_familial,_3|Frontotemporal_dementia|Pick_disease|not_provided | Autosomal_dominant_PSEN1-related_disorders|Frontotemporal_dementia|Acne_inversa,_familial,_3|Pick_disease|Alzheimer_disease_3|PSEN1-related_disorder|Dilated_cardiomyopathy_1U|not_provided",NA,NA,NA,"PSEN1",1350.56863775383,-0.131484000107457,0.0533774736024485,-2.46328631225113,0.0137669931334796,0.0343014117516428,"PSEN1","PSEN1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.131484000107457,"PSEN1"
"RAF1","DCM","","ClinVar_PLP_review2plus","False","True",5,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | Dilated_cardiomyopathy_1NN|LEOPARD_syndrome_2|Noonan_syndrome_5|not_provided|RASopathy|Noonan_syndrome_3 | Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy",NA,NA,NA,"RAF1",9821.41777105148,-0.0580399665099661,0.0474680311231392,-1.22271695574231,0.221436620529844,0.33552969144506,"RAF1","RAF1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0580399665099661,"RAF1"
"RNF220","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Leukodystrophy,_hypomyelinating,_23,_with_ataxia,_deafness,_liver_dysfunction,_and_dilated_cardiomyopathy",NA,NA,NA,"RNF220",2010.74985652417,-0.291102609810001,0.0622471742581817,-4.67655943067551,2.91728080700532e-06,1.91209508985729e-05,"RNF220","RNF220","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.291102609810001,"RNF220"
"SCO2","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy",NA,NA,NA,"SCO2",239.408332536024,-0.766222227727829,0.175049102759724,-4.37718454792402,1.20222176437934e-05,6.90581840232593e-05,"SCO2","SCO2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.766222227727829,"SCO2"
"SDHA","DCM","","ClinVar_PLP_review2plus","False","True",41,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1GG|Hereditary_cancer-predisposing_syndrome|Pheochromocytoma/paraganglioma_syndrome_5|Mitochondrial_complex_II_deficiency,_nuclear_type_1 | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Neurodegeneration_with_ataxia_and_late-onset_optic_atrophy|Pheochromocytoma/paraganglioma_syndrome_5|Hereditary_cancer-predisposing_syndrome|not_provided | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Pheochromocytoma/paraganglioma_syndrome_5",NA,NA,NA,"SDHA",28033.63906848,0.154515470517366,0.0963814280659839,1.60316643587791,0.108897913549996,0.192200291741458,"SDHA","SDHA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.154515470517366,"SDHA"
"SGCB","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E",NA,NA,NA,"SGCB",4377.32998627201,0.152361264383526,0.0918146714920378,1.65944354978974,0.0970264468564147,0.17546847106622,"SGCB","SGCB","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.152361264383526,"SGCB"
"SGCD","DCM","","ClinVar_PLP_review2plus","False","True",12,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L|Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L",NA,NA,NA,"SGCD",6837.83879569171,0.0314047952523679,0.134556765407191,0.233394397950424,0.815455162861363,0.87441490007313,"SGCD","SGCD","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0314047952523679,"SGCD"
"TAB2","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided",NA,NA,NA,"TAB2",3272.95230190427,-0.072264058507992,0.0987462150089479,-0.73181598405006,0.464280891647688,0.585859996449881,"TAB2","TAB2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.072264058507992,"TAB2"
"TARID","DCM","","ClinVar_PLP_review2plus","False","True",4,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss | Dilated_cardiomyopathy_1J|EYA4-related_disorder | Rare_genetic_deafness|EYA4-related_disorder|Cardiovascular_phenotype|Dilated_cardiomyopathy_1J",NA,NA,NA,"TARID",31.5720148513154,-0.103790089727086,0.232680797376048,-0.44606211985489,0.655552374443862,0.751855754700718,"TARID","TARID","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.103790089727086,"TARID"
"TCAP","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy",NA,NA,NA,"TCAP",103175.951079577,-0.12651117606126,0.159379218986109,-0.793774601645443,0.427326661075269,0.552024578410114,"TCAP","TCAP","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.12651117606126,"TCAP"
"TMEM43","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Arrhythmogenic_right_ventricular_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_5|Hypertrophic_cardiomyopathy",NA,NA,NA,"TMEM43",3199.65158367262,-0.835966970944937,0.0938062694182036,-8.91163219824957,5.02867132675626e-19,1.99060885705077e-17,"TMEM43","TMEM43","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.835966970944937,"TMEM43"
"TNNC1","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|not_specified|Dilated_cardiomyopathy_1Z|Hypertrophic_cardiomyopathy_13|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"TNNC1",143302.412633931,0.174152100995692,0.126522625043782,1.37645026678373,0.16868227457857,0.27214594203921,"TNNC1","TNNC1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.174152100995692,"TNNC1"
"TNNI3","DCM","","ClinVar_PLP_review2plus","False","True",8,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"TNNI3",119469.621525448,0.411224920864906,0.165798720472121,2.48026594954365,0.0131284421599825,0.0329562647316744,"TNNI3","TNNI3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.411224920864906,"TNNI3"
"TPM1","DCM","","ClinVar_PLP_review2plus","False","True",7,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"TPM1",373545.273696424,0.193968349561005,0.069726198283518,2.7818575275293,0.00540487615236162,0.0154265576775256,"TPM1","TPM1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.193968349561005,"TPM1"
"TSFM","DCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","not_provided|Primary_dilated_cardiomyopathy|Fatal_mitochondrial_disease_due_to_combined_oxidative_phosphorylation_defect_type_3",NA,NA,NA,"TSFM",1766.84125816091,0.171492341318211,0.0575633763830574,2.97919184199706,0.00289009769660264,0.00903461953240392,"TSFM","TSFM","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.171492341318211,"TSFM"
"ACTC1","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",5,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"ACTC1",448142.900482935,0.19119323995466,0.0959764695874835,1.99208452630554,0.0463617844364575,0.0956099984673639,"ACTC1","ACTC1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.19119323995466,"ACTC1"
"BAG3","HCM","HCM_non_sarcomeric","PreSpecified_H4_Stratum","True","False",0,NA,"nan","nan",NA,NA,NA,"BAG3",5216.37457026774,-0.319946131364508,0.0826198881864554,-3.87250743601175,0.000107721388362222,0.000494555927326215,"BAG3","BAG3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.319946131364508,"BAG3"
"CSRP3","HCM","HCM_non_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M",NA,NA,NA,"CSRP3",112586.282239306,-0.295293228473147,0.148423104441051,-1.98953680146495,0.046641983956108,0.0960457628648543,"CSRP3","CSRP3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.295293228473147,"CSRP3"
"FLNC","HCM","HCM_non_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",94,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Hypertrophic_cardiomyopathy_26|Cardiovascular_phenotype | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|Hypertrophic_cardiomyopathy_26|not_provided | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26|Cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy",NA,NA,NA,"FLNC",88585.458505379,-1.62014792212368,0.209746523442732,-7.72431359305004,1.12457676371316e-14,2.68691723932181e-13,"FLNC","FLNC","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.62014792212368,"FLNC"
"JPH2","HCM","HCM_non_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"JPH2",10489.206531856,0.218926300516411,0.0958162290131678,2.28485615402715,0.0223212637206893,0.0517841690138327,"JPH2","JPH2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.218926300516411,"JPH2"
"LMNA","HCM","HCM_non_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",NA,NA,NA,"LMNA",4247.36829615297,-0.670531692330559,0.140887094782237,-4.75935495275114,1.94212633010141e-06,1.31567573937145e-05,"LMNA","LMNA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.670531692330559,"LMNA"
